DATE,agu,dur,mty,mva,mxo,slt,tij,vaq
2017-07-05,0.563,0.4177,0.6795,0.6154,0.519,0.4026,0.6709,0.5385
2017-07-06,0.568,0.4125,0.6709,0.6203,0.5125,0.4103,0.675,0.5316
2017-07-07,0.573,0.4198,0.6625,0.625,0.5185,0.4051,0.6667,0.525
2017-07-08,0.578,0.4146,0.6543,0.6296,0.5244,0.4125,0.6585,0.5185
2017-07-09,0.571,0.4096,0.6585,0.622,0.5181,0.4198,0.6627,0.5244
2017-07-11,0.571,0.4167,0.6627,0.6265,0.5181,0.4198,0.6667,0.5301
2017-07-12,0.57,0.4235,0.6548,0.631,0.5238,0.4096,0.6706,0.5357
2017-07-13,0.563,0.4186,0.6471,0.6353,0.5176,0.4048,0.6744,0.5412
2017-07-14,0.563,0.4253,0.6512,0.6395,0.5233,0.4118,0.6782,0.5349
2017-07-15,0.573,0.4318,0.6552,0.6322,0.5227,0.407,0.6818,0.5287
2017-07-16,0.578,0.4318,0.6552,0.6322,0.5227,0.407,0.6818,0.5287
2017-07-18,0.571,0.4222,0.6517,0.6292,0.5222,0.3977,0.6889,0.5393
2017-07-19,0.571,0.4176,0.6556,0.6333,0.5165,0.4045,0.6923,0.5333
2017-07-20,0.581,0.4239,0.6593,0.6374,0.5109,0.4111,0.6957,0.5275
2017-07-21,0.581,0.4301,0.663,0.6413,0.5109,0.4176,0.6989,0.5217
2017-07-22,0.579,0.4255,0.6667,0.6452,0.5213,0.413,0.7021,0.5161
2017-07-23,0.583,0.4211,0.6702,0.6383,0.5158,0.4086,0.7053,0.5106
2017-07-25,0.588,0.4167,0.6632,0.6316,0.5208,0.4043,0.7083,0.5158
2017-07-26,0.592,0.4124,0.6563,0.6354,0.5155,0.4,0.7113,0.5208
2017-07-27,0.592,0.4124,0.6495,0.6354,0.5155,0.3958,0.7143,0.5258
2017-07-28,0.596,0.4082,0.6531,0.6289,0.5204,0.4021,0.7071,0.5204
2017-07-29,0.59,0.404,0.6465,0.6224,0.5253,0.4082,0.71,0.5253
2017-07-30,0.594,0.41,0.64,0.6263,0.52,0.404,0.703,0.53
2017-08-01,0.588,0.4059,0.6436,0.63,0.5248,0.4,0.6961,0.5347
2017-08-02,0.592,0.402,0.6373,0.6337,0.5196,0.4059,0.699,0.5294
2017-08-03,0.587,0.3981,0.6408,0.6373,0.5243,0.402,0.6923,0.534
2017-08-04,0.581,0.4038,0.6442,0.6408,0.5288,0.3981,0.6857,0.5288
2017-08-05,0.585,0.4,0.6381,0.6346,0.5238,0.4038,0.6887,0.5333
2017-08-06,0.589,0.4057,0.6321,0.6286,0.5189,0.4,0.6916,0.5377
2017-08-07,0.583,0.4019,0.6262,0.6226,0.5234,0.4057,0.6944,0.5421
2017-08-08,0.578,0.3981,0.6296,0.6262,0.5185,0.4112,0.6881,0.5463
2017-08-09,0.582,0.3945,0.6239,0.6204,0.5229,0.4074,0.6909,0.5505
