"","DATE","vaq","tij","lar","mxo","mty","mva","yuc","qui","agu","dur","leo","oax","slt","pue","tab","cam"
"1",2018-03-23,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0
"2",2018-03-24,0,0.5,1,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0,0.5,0,0
"3",2018-03-25,0,0.666666666666667,1,0.666666666666667,1,0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.333333333333333
"4",2018-03-27,0,0.5,0.75,0.75,1,0.5,1,0.5,0.75,0.5,0.25,0.5,0,0.5,0,0.5
