"","DATE","AWAY","HOME","AW","AL","HW","HL"
"1","2017-03-31","roc","min",0,0,2,0
"2","2017-03-31","bal","nor",1,0,0,0
"3","2017-03-31","lou","cin",0,0,0,0
"4","2017-03-31","vra","oax",1,0,0,1
"5","2017-03-31","mva","mxo",1,0,0,1
"6","2017-03-31","leo","pue",0,1,1,0
"7","2017-03-31","tab","cam",0,1,1,0
"8","2017-03-31","dur","agu",1,0,0,1
"9","2017-03-31","slt","mty",1,0,0,1
"10","2017-03-31","qui","yuc",0,1,1,0
"11","2017-03-31","vaq","tij",0,1,1,0
