"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","Sultanes de Monterrey",18,12,5,0.705882352941177,2.4,5.33333333333333,4.33333333333333,1.23076923076923,0.602352941176471,34,23,18
"2","Tecolotes de 2 Laredos",18,9,8,0.529411764705882,1.125,4.88888888888889,3.94444444444444,1.23943661971831,0.605709816190849,35,22,17
"3","Rieleros de Aguascalientes",18,9,8,0.529411764705882,1.125,5.88888888888889,5.22222222222222,1.12765957446809,0.559784774810682,32,25,12
"4","Toros de Tijuana",18,8,9,0.470588235294118,0.888888888888889,5.66666666666667,5.05555555555556,1.12087912087912,0.556810275622157,32,25,11
"5","Acereros de Monclova",18,7,10,0.411764705882353,0.7,5.38888888888889,6.11111111111111,0.881818181818182,0.437444790552792,25,32,-13
"6","Generales de Durango",18,7,10,0.411764705882353,0.7,7.55555555555556,9,0.839506172839506,0.413410818059902,24,33,-26
"7","Saraperos de Saltillo",18,6,11,0.352941176470588,0.545454545454545,4.72222222222222,5.66666666666667,0.833333333333333,0.409836065573771,23,34,-17
"8","Algodoneros Union Laguna",18,3,14,0.176470588235294,0.214285714285714,3.05555555555556,5.61111111111111,0.544554455445545,0.228716165129291,13,44,-46
