"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","APERTURAS EN CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA","CAPACIDAD","PCT CAPACIDAD"
"1","Acereros del Norte",5620,8500,3294,38,4363,165795,8500,51
"2","Algodoneros Union Laguna",4866,7640,5224,44,7040,309777,7689,92
"3","Bravos de Leon",4512,6097,1,40,3980,159208,6500,61
"4","Caliente de Durango",4898,5081,512,40,1743,69718,4983,35
"5","Charros de Jalisco",4377,9513,2122,39,3819,148928,16500,23
"6","Conspiradores de Queretaro",3566,4672,1,39,1936,75523,6800,28
"7","Diablos Rojos del Mexico",5768,19989,5554,40,11598,463908,20062,58
"8","Dorados de Chihuahua",5014,6835,248,46,1569,72193,15500,10
"9","El Aguila de Veracruz",4159,7319,1380,38,3503,133110,7319,48
"10","Guerreros de Oaxaca",4440,7200,1100,35,2665,93269,7200,37
"11","Leones de Yucatan",4284,5329,1,35,3096,108349,5104,61
"12","Olmecas de Tabasco",4603,7498,1366,41,3612,148098,6600,55
"13","Pericos de Puebla",4248,9892,3581,37,5118,189351,9200,56
"14","Piratas de Campeche",3771,4321,1,37,1462,54088,4190,35
"15","Rieleros de Aguascalientes",4182,5344,1,38,3345,127122,6496,51
"16","Saraperos de Saltillo",5762,10480,3189,42,6528,274160,11000,59
"17","Sultanes de Monterrey",5003,18010,1,33,8616,284329,21803,40
"18","Tecos de los Dos Laredos",3913,7103,2973,41,3714,152284,5000,74
"19","Tigres de Quintana Roo",4735,10285,2046,39,5221,203605,10825,48
"20","Toros de Tijuana",4321,17016,3983,38,9581,364062,17000,56
