"","team_name","attendance_average_home","attendance_total_home"
"1","Guerreros de Oaxaca",947,27451
"2","Pericos de Puebla",2424,58175
"3","Piratas de Campeche",1171,23419
"4","Acereros del Norte",3420,109447
"5","Rieleros de Aguascalientes",1244,29860
"6","Leones de Yucatan",3545,109895
"7","Toros de Tijuana",9824,196471
"8","Sultanes de Monterrey",4657,149011
"9","Bravos de Leon",2215,70869
"10","Diablos Rojos del Mexico",3706,111188
"11","Saraperos de Saltillo",3404,108913
"12","Tecos de los Dos Laredos",2756,85437
"13","Tigres de Quintana Roo",1714,53146
"14","Olmecas de Tabasco",1651,51189
"15","Generales de Durango",985,27587
"16","Mariachis de Guadalajara",2126,61652
"17","El Aguila de Veracruz",2059,65900
"18","Algodoneros Union Laguna",3354,107319
