"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","APERTURAS EN CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA","CAPACIDAD","PCT CAPACIDAD"
"1","Acereros del Norte",5620,8500,2896,44,4306,189443,8500,51
"2","Algodoneros Union Laguna",4946,7640,5224,44,7040,309777,7689,92
"3","Bravos de Leon",4387,6097,1,42,4013,168531,6500,62
"4","Caliente de Durango",5278,5081,512,40,1743,69718,4983,35
"5","Charros de Jalisco",4370,9513,2122,42,3966,166568,16500,24
"6","Conspiradores de Queretaro",4358,4672,1,39,1936,75523,6800,28
"7","Diablos Rojos del Mexico",5715,19989,5554,43,11761,505726,20062,59
"8","Dorados de Chihuahua",5177,6835,248,46,1569,72193,15500,10
"9","El Aguila de Veracruz",4073,7319,1380,41,3440,141020,7319,47
"10","Guerreros de Oaxaca",4440,7200,1100,40,2724,108954,7200,38
"11","Leones de Yucatan",4161,5329,1,37,3143,116276,5104,62
"12","Olmecas de Tabasco",4552,7498,1366,44,3771,165910,6600,57
"13","Pericos de Puebla",4233,9892,3581,38,5091,193448,9200,55
"14","Piratas de Campeche",3771,4321,1,42,1483,62272,4190,35
"15","Rieleros de Aguascalientes",4305,5344,1,39,3387,132079,6496,52
"16","Saraperos de Saltillo",5614,10480,3189,45,6491,292105,11000,59
"17","Sultanes de Monterrey",5003,18010,1,39,8379,326777,21803,38
"18","Tecos de los Dos Laredos",3913,7103,2973,47,3679,172917,5000,74
"19","Tigres de Quintana Roo",4568,10285,2046,39,5221,203605,10825,48
"20","Toros de Tijuana",4249,17016,3983,41,9610,393996,17000,57
