"","team_name","attendance_average_home","attendance_total_home"
"1","Guerreros de Oaxaca",1712,71916
"2","Pericos de Puebla",3271,137392
"3","Piratas de Campeche",4466,174171
"4","Acereros del Norte",4569,205603
"5","Rieleros de Aguascalientes",1735,74606
"6","Leones de Yucatan",9781,440165
"7","Toros de Tijuana",10088,453961
"8","Sultanes de Monterrey",8490,382048
"9","Bravos de Leon",4008,172365
"10","Diablos Rojos del Mexico",6443,244845
"11","Saraperos de Saltillo",5676,249732
"12","Tecos de los Dos Laredos",4064,178813
"13","Tigres de Quintana Roo",4292,184564
"14","Olmecas de Tabasco",2268,81656
"15","Generales de Durango",1685,70771
"16","Mariachis de Guadalajara",1835,78910
"17","El Aguila de Veracruz",3686,162191
"18","Algodoneros Union Laguna",4670,200815
