"","team_name","attendance_average_home","attendance_total_home"
"1","Guerreros de Oaxaca",2235,96090
"2","Pericos de Puebla",4460,169463
"3","Piratas de Campeche",1670,66785
"4","Acereros del Norte",4231,186175
"5","Rieleros de Aguascalientes",1875,75000
"6","Leones de Yucatan",10558,506765
"7","Toros de Tijuana",9299,418462
"8","Sultanes de Monterrey",8438,371262
"9","Bravos de Leon",4605,193402
"10","Diablos Rojos del Mexico",10509,451884
"11","Saraperos de Saltillo",7149,300240
"12","Tecos de los Dos Laredos",3641,160218
"13","Tigres de Quintana Roo",4836,212804
"14","Olmecas de Tabasco",4826,188208
"15","Generales de Durango",1990,83570
"16","Mariachis de Guadalajara",2418,106405
"17","El Aguila de Veracruz",4858,194320
"18","Algodoneros Union Laguna",5915,260250
