"","team_name","attendance_average_home","attendance_total_home"
"1","Charros de Jalisco",3942,130095
"2","Guerreros de Oaxaca",2698,89028
"3","Pericos de Puebla",5201,171628
"4","Piratas de Campeche",1473,45658
"5","Acereros del Norte",4388,153584
"6","Rieleros de Aguascalientes",3237,110042
"7","Leones de Yucatan",3290,98690
"8","Toros de Tijuana",9859,325351
"9","Sultanes de Monterrey",8445,253344
"10","Bravos de Leon",4182,146365
"11","Diablos Rojos del Mexico",11812,425219
"12","Saraperos de Saltillo",6681,220470
"13","Tecos de los Dos Laredos",3759,131566
"14","Tigres de Quintana Roo",5543,171844
"15","Olmecas de Tabasco",3482,125356
"16","Caliente de Durango",1801,61248
"17","Conspiradores de Queretaro",1799,61181
"18","El Aguila de Veracruz",3332,113301
"19","Dorados de Chihuahua",1706,68220
"20","Algodoneros Union Laguna",6993,251749
