"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","APERTURAS EN CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA","CAPACIDAD","PCT CAPACIDAD"
"1","Acereros del Norte",5498,8500,2896,44,4306,189443,8500,51
"2","Algodoneros Union Laguna",4902,7640,5224,47,7070,332273,7689,92
"3","Bravos de Leon",4440,6097,1,42,4013,168531,6500,62
"4","Caliente de Durango",5278,5081,512,43,1772,76206,4983,36
"5","Charros de Jalisco",4229,9513,2122,42,3966,166568,16500,24
"6","Conspiradores de Queretaro",4358,4672,1,42,2023,84945,6800,30
"7","Diablos Rojos del Mexico",5648,19989,5554,43,11761,505726,20062,59
"8","Dorados de Chihuahua",5396,6835,248,46,1569,72193,15500,10
"9","El Aguila de Veracruz",4073,7319,1380,44,3422,150585,7319,47
"10","Guerreros de Oaxaca",4521,7200,1100,40,2724,108954,7200,38
"11","Leones de Yucatan",4161,5329,1,41,3287,134781,5104,64
"12","Olmecas de Tabasco",4461,7498,1366,44,3771,165910,6600,57
"13","Pericos de Puebla",4237,9892,3581,41,5136,210570,9200,56
"14","Piratas de Campeche",3721,4321,1,42,1483,62272,4190,35
"15","Rieleros de Aguascalientes",4305,5344,1,43,3410,146619,6496,52
"16","Saraperos de Saltillo",5740,10480,3189,45,6491,292105,11000,59
"17","Sultanes de Monterrey",5003,18010,1,42,8431,354094,21803,39
"18","Tecos de los Dos Laredos",4267,7103,2973,47,3679,172917,5000,74
"19","Tigres de Quintana Roo",4568,10285,2046,42,5214,218978,10825,48
"20","Toros de Tijuana",4249,17016,3983,44,9527,419200,17000,56
