"","runs","hits","doubles","triples","home_runs","base_on_balls","hit_by_pitch"
"376",4,5,2,0,0,4,0
"377",0,1,0,0,0,0,0
"378",1,1,0,0,0,0,1
"379",17,11,2,0,1,12,0
"380",6,11,0,0,0,3,4
"381",7,5,1,0,2,4,2
"382",3,4,1,0,0,3,0
"383",3,10,2,0,1,4,3
"384",3,6,1,0,0,0,0
"385",2,2,1,0,0,2,0
"386",4,2,0,0,0,3,1
"387",4,7,2,0,1,3,1
"388",2,3,1,0,0,3,0
"389",5,13,1,1,1,2,0
"390",3,4,2,0,0,6,0
"391",1,1,0,0,0,0,0
"392",1,1,0,0,0,2,0
"393",8,7,2,0,0,8,0
"394",2,1,0,0,0,1,0
"395",6,4,2,1,0,1,1
"396",3,1,0,0,0,2,0
"397",4,5,2,0,0,5,1
"398",4,4,1,0,0,1,1
"399",2,6,0,0,0,4,0
"400",2,2,0,0,0,1,0
"401",1,3,2,0,0,3,0
"402",4,4,1,0,2,2,1
"403",0,2,1,0,0,0,0
"404",3,1,0,0,1,1,0
"405",1,3,0,0,0,4,0
"406",0,1,0,0,0,2,0
"407",1,1,1,0,0,1,0
"408",2,3,0,1,0,1,0
"409",0,3,0,0,0,1,0
"410",4,1,0,0,0,2,0
"411",0,2,0,0,0,2,0
"412",0,0,0,0,0,0,0
"413",0,0,0,0,0,0,0
"414",0,0,0,0,0,0,0
"415",1,0,0,0,0,0,0
"416",0,0,0,0,0,0,0
"417",0,0,0,0,0,0,0
"418",0,0,0,0,0,0,0
"419",1,0,0,0,0,1,0
"420",2,0,0,0,0,0,0
"421",3,0,0,0,0,0,0
"422",2,0,0,0,0,0,0
"423",0,0,0,0,0,0,0
"424",0,0,0,0,0,1,0
"425",0,0,0,0,0,0,0
"426",1,0,0,0,0,1,0
"427",0,0,0,0,0,0,0
"428",0,0,0,0,0,0,0
"429",0,0,0,0,0,0,0
"430",0,0,0,0,0,0,0
"431",0,0,0,0,0,0,0
"432",0,0,0,0,0,0,0
"433",0,0,0,0,0,0,0
"434",0,0,0,0,0,0,1
"435",2,0,0,0,0,0,0
"436",1,0,0,0,0,1,0
"437",0,0,0,0,0,0,0
"438",0,0,0,0,0,0,0
"439",0,0,0,0,0,0,0
"440",0,0,0,0,0,0,0
"441",0,0,0,0,0,0,0
"442",1,0,0,0,0,0,0
"443",2,0,0,0,0,0,0
"444",0,0,0,0,0,0,0
"445",0,0,0,0,0,0,0
"446",0,0,0,0,0,0,0
"447",0,0,0,0,0,0,0
"448",0,0,0,0,0,0,0
"449",0,0,0,0,0,0,0
"450",0,0,0,0,0,0,0
