"","DATE","AWAY","aR","aH","aE","AW","AL","HOME","hR","hH","hE","HW","HL","ATT","TIME"
"72","2018-04-01","DUR",3,8,2,5,4,"TIJ",4,7,0,4,5,12415,170
"73","2018-04-03","SLT",4,10,0,4,6,"MXO",2,3,0,6,4,2400,181
"74","2018-04-03","TIJ",10,14,2,4,6,"LEO",16,16,1,4,6,3217,193
"75","2018-04-03","OAX",10,16,2,4,6,"MVA",7,10,2,4,6,6550,217
"76","2018-04-03","YUC",7,13,1,7,3,"DUR",24,28,2,6,4,1,240
"77","2018-04-03","PUE",11,10,3,7,3,"LAR",6,8,3,5,5,2833,228
"78","2018-04-03","AGU",4,9,0,6,4,"CAM",3,5,1,2,8,1581,170
"79","2018-04-03","MTY",2,8,1,8,2,"TAB",3,6,3,4,6,2708,155
"80","2018-04-03","QUI",1,6,1,7,3,"VAQ",0,7,2,2,8,2978,187
"81","2018-04-04","SLT",3,5,1,4,7,"MXO",10,14,0,7,4,1850,184
"82","2018-04-04","TIJ",7,12,0,5,6,"LEO",4,9,1,4,7,2059,213
"83","2018-04-04","OAX",10,12,2,4,7,"MVA",11,16,2,5,6,5783,212
"84","2018-04-04","YUC",3,8,1,7,4,"DUR",4,10,0,7,4,1,174
"85","2018-04-04","PUE",7,12,0,8,3,"LAR",2,7,1,5,6,2311,204
"86","2018-04-04","AGU",1,6,1,6,5,"CAM",4,10,0,3,8,1982,182
"87","2018-04-04","MTY",10,14,0,9,2,"TAB",4,11,2,4,7,4026,176
"88","2018-04-04","QUI",2,7,0,8,3,"VAQ",1,8,1,2,9,2789,182
"89","2018-04-05","SLT",8,12,0,4,8,"MXO",9,11,2,8,4,2100,208
"90","2018-04-05","TIJ",6,10,1,6,6,"LEO",4,5,4,4,8,2997,183
"91","2018-04-05","OAX",10,13,3,5,7,"MVA",6,14,0,5,7,6108,206
"92","2018-04-05","YUC",16,19,3,8,4,"DUR",5,11,2,7,5,1758,197
"93","2018-04-05","PUE",0,4,0,8,4,"LAR",5,7,1,6,6,3755,154
