,Pitcher_Name,H,HR,R,ER,SO,BB,BK,W,L,HLD,SV,IP,ERA,WHIP
58,DUSTIN CRENSHAW,7,1,3,3,1,3,0,0,0,0,0,5.0,5.40,2.00
59,EDER LLAMAS,5,0,3,3,5,2,0,0,1,0,0,5.2,4.76,1.24
60,EDGAR GOMEZ,6,1,6,6,1,3,0,0,0,0,1,2.1,23.14,3.86
61,EDGAR GONZALEZ,8,1,4,4,2,1,0,0,0,0,0,3.1,10.80,2.70
62,EDGAR TORRES,2,2,2,2,0,0,0,0,0,2,0,1.1,13.50,1.50
63,EDUARD SANTOS,2,0,2,2,3,1,0,0,1,0,0,1.0,18.00,3.00
64,EDWIN QUIRARTE,0,0,0,0,1,0,0,0,0,0,0,1.0,0.00,0.00
65,EDWIN SALAS,3,0,1,1,3,2,0,1,1,0,0,5.0,1.80,1.00
66,EGER ACOSTA,2,0,1,1,2,1,0,0,0,0,0,2.0,4.50,1.50
67,EL'HAJJ MUHAMMAD,0,0,0,0,1,0,0,0,0,0,2,3.1,0.00,0.00
68,ESTEBAN HARO,3,0,2,2,0,0,1,1,0,0,0,2.0,9.00,1.50
69,EUMIR SEPULVEDA,4,0,0,0,1,4,0,0,0,0,0,5.0,0.00,1.60
70,FABIAN COTA,2,0,0,0,2,0,0,0,0,1,0,2.2,0.00,0.75
71,FABIAN WILLIAMSON,4,1,3,3,0,3,0,0,0,0,0,0.0,Inf,Inf
72,FEDERICO CASTANEDA,3,0,1,1,1,2,0,0,0,0,0,1.1,6.75,3.75
73,FELIPE ARREDONDO,4,1,2,2,1,0,0,0,0,0,0,2.1,7.71,1.71
74,FELIPE GONZALEZ,3,0,1,1,4,3,0,0,0,2,0,3.1,2.70,1.80
75,FERNANDO GALLEGOS,6,1,4,4,3,2,0,0,1,0,0,3.1,10.80,2.40
76,FERNANDO VILLALOBOS,5,0,4,4,2,1,0,1,0,1,0,4.0,9.00,1.50
77,FRANCISCO CAMPOS,6,1,7,7,0,1,0,0,1,0,0,1.1,47.25,5.25
78,FRANCISCO DEL ROSARIO,2,0,1,1,5,2,0,1,0,1,1,4.2,1.93,0.86
79,FRANCISCO GIL,1,0,0,0,1,1,0,0,0,0,0,2.0,0.00,1.00
80,FRANCISCO HARO,6,0,2,2,2,1,0,0,0,0,0,2.2,6.75,2.62
81,FRANCISCO MORENO,4,1,2,1,4,0,0,0,0,0,0,4.0,2.25,1.00
82,FRANCISCO RODRIGUEZ,7,0,1,1,7,2,0,0,0,0,0,10.0,0.90,0.90
83,FRANKIE DE LA CRUZ,12,0,7,6,10,3,0,0,2,0,0,11.2,4.63,1.29
84,FREDDY GARCIA,7,0,2,2,8,0,0,0,1,0,0,5.0,3.60,1.40
85,FREDY QUINTERO,2,0,0,0,3,2,0,0,0,1,1,3.1,0.00,1.20
86,GABE AGUILAR,3,0,0,0,4,2,0,0,0,1,0,2.2,0.00,1.88
87,GABINO AVALOS,1,0,1,0,0,1,0,0,0,0,0,0.0,NA,Inf
88,GERARDO GUTIERREZ,1,0,0,0,3,0,0,0,0,0,0,2.0,0.00,0.50
89,GERARDO SANCHEZ,1,0,0,0,2,0,0,0,0,1,0,2.0,0.00,0.50
90,GONZALO SANUDO,2,0,0,0,2,0,0,0,0,0,0,3.0,0.00,0.67
91,GUILLERMO TRUJILLO,8,2,4,4,1,1,0,0,0,0,0,5.1,6.75,1.69
92,HASSAN PENA,8,0,1,1,4,3,0,0,0,1,0,3.0,3.00,3.67
93,HECTOR AMBRIZ,4,0,2,2,2,2,0,0,1,0,0,3.2,4.91,1.64
94,HECTOR GALVAN,9,0,4,4,2,2,0,0,0,0,0,5.1,6.75,2.06
95,HENDERSON ALVAREZ,3,0,1,1,4,2,0,0,0,0,0,5.0,1.80,1.00
96,HENRY OMANA,0,0,1,0,1,3,0,0,0,1,0,2.0,0.00,1.50
97,HERIBERTO RUELAS,0,0,0,0,1,3,0,0,0,0,0,2.2,0.00,1.12
98,HUGO GUTIERREZ,7,0,6,6,1,0,0,0,0,0,0,1.0,54.00,7.00
99,HUMBERTO MONTIEL,6,0,5,5,0,3,0,0,1,0,0,3.1,13.50,2.70
100,IRWIN DELGADO,5,0,2,2,4,2,0,0,0,0,0,5.2,3.18,1.24
101,ISAAC JIMENEZ,2,0,1,1,2,0,0,1,0,0,0,2.0,4.50,1.00
102,ISMAEL CASTILLO,0,0,3,3,3,2,0,0,1,1,0,3.0,9.00,0.67
103,IVAN SALAS,0,0,0,0,2,0,0,1,0,1,0,2.0,0.00,0.00
104,IVAN ZAVALA,3,0,2,2,2,2,0,0,1,0,0,1.2,10.80,3.00
105,JAIME LUGO,5,1,2,2,3,0,0,0,0,0,0,4.0,4.50,1.25
106,JASON URQUIDEZ,1,0,0,0,1,0,0,0,0,0,0,1.0,0.00,1.00
107,JAVIER REYNOSO,3,1,2,2,0,0,0,0,0,2,0,1.2,10.80,1.80
108,JAVIER SOLANO,8,1,4,3,9,2,0,2,0,0,0,10.0,2.70,1.00
109,JEAN MACHI,3,0,0,0,4,0,0,1,0,0,0,3.2,0.00,0.82
110,JEFF IBARRA,3,0,0,0,4,0,0,0,0,1,0,3.2,0.00,0.82
111,JESSE ESTRADA,3,0,0,0,1,0,0,0,0,2,1,2.1,0.00,1.29
112,JESUS ADRIAN CASTILLO,4,0,1,1,6,2,0,1,0,0,0,5.0,1.80,1.20
113,JESUS ALCANTAR,4,0,4,3,1,0,0,0,0,0,0,1.1,20.25,3.00
114,JESUS ANGUAMEA,4,0,1,0,3,4,0,0,0,0,0,5.2,0.00,1.41
115,JESUS BARRAZA,0,0,0,0,4,2,0,2,0,0,0,5.1,0.00,0.38
116,JESUS GARCIA,5,0,3,3,1,0,0,0,0,2,0,2.1,11.57,2.14
117,JOAQUIN LARA,4,1,2,2,5,0,0,1,0,0,0,2.1,7.71,1.71
118,JOHN MILLAN,7,0,3,3,0,0,0,0,0,0,0,3.1,8.10,2.10
119,JONATHAN CASTELLANOS,4,0,0,0,1,2,0,1,0,0,0,6.0,0.00,1.00
120,JONATHAN FRUTOS,3,0,1,1,0,0,0,0,0,0,0,1.1,6.75,2.25
121,JONATHAN PARTIDA,0,0,0,0,0,1,0,0,0,0,0,1.2,0.00,0.60
122,JORDAN ABOITES,2,2,2,2,3,0,0,0,0,0,0,1.2,10.80,1.20
123,JORGE IBARRA,3,0,1,1,3,0,0,0,0,0,0,3.0,3.00,1.00
124,JORGE REYES,2,0,1,1,2,2,0,0,0,0,0,3.0,3.00,1.33
