,Pitcher_Name,SO,BB,IP,ERA,WHIP,BB/9,K/9
83,FRANKIE DE LA CRUZ,10,3,11.2,4.63,1.29,2.31,7.71
84,FREDDY GARCIA,8,0,5.0,3.60,1.40,0.00,14.40
85,FREDY QUINTERO,3,2,3.1,0.00,1.20,5.40,8.10
86,GABE AGUILAR,4,2,2.2,0.00,1.88,6.75,13.50
87,GABINO AVALOS,0,1,0.0,NA,Inf,Inf,NA
88,GERARDO GUTIERREZ,3,0,2.0,0.00,0.50,0.00,13.50
89,GERARDO SANCHEZ,2,0,2.0,0.00,0.50,0.00,9.00
90,GONZALO SANUDO,2,0,3.0,0.00,0.67,0.00,6.00
91,GUILLERMO TRUJILLO,1,1,5.1,6.75,1.69,1.69,1.69
92,HASSAN PENA,4,3,3.0,3.00,3.67,9.00,12.00
93,HECTOR AMBRIZ,2,2,3.2,4.91,1.64,4.91,4.91
94,HECTOR GALVAN,2,2,5.1,6.75,2.06,3.38,3.38
95,HENDERSON ALVAREZ,4,2,5.0,1.80,1.00,3.60,7.20
96,HENRY OMANA,1,3,2.0,0.00,1.50,13.50,4.50
97,HERIBERTO RUELAS,1,3,2.2,0.00,1.12,10.12,3.38
98,HUGO GUTIERREZ,1,0,1.0,54.00,7.00,0.00,9.00
99,HUMBERTO MONTIEL,0,3,3.1,13.50,2.70,8.10,0.00
100,IRWIN DELGADO,4,2,5.2,3.18,1.24,3.18,6.35
101,ISAAC JIMENEZ,2,0,2.0,4.50,1.00,0.00,9.00
102,ISMAEL CASTILLO,3,2,3.0,9.00,0.67,6.00,9.00
103,IVAN SALAS,2,0,2.0,0.00,0.00,0.00,9.00
104,IVAN ZAVALA,2,2,1.2,10.80,3.00,10.80,10.80
105,JAIME LUGO,3,0,4.0,4.50,1.25,0.00,6.75
106,JASON URQUIDEZ,1,0,1.0,0.00,1.00,0.00,9.00
107,JAVIER REYNOSO,0,0,1.2,10.80,1.80,0.00,0.00
108,JAVIER SOLANO,9,2,10.0,2.70,1.00,1.80,8.10
109,JEAN MACHI,4,0,3.2,0.00,0.82,0.00,9.82
110,JEFF IBARRA,4,0,3.2,0.00,0.82,0.00,9.82
111,JESSE ESTRADA,1,0,2.1,0.00,1.29,0.00,3.86
112,JESUS ADRIAN CASTILLO,6,2,5.0,1.80,1.20,3.60,10.80
113,JESUS ALCANTAR,1,0,1.1,20.25,3.00,0.00,6.75
114,JESUS ANGUAMEA,3,4,5.2,0.00,1.41,6.35,4.76
115,JESUS BARRAZA,4,2,5.1,0.00,0.38,3.38,6.75
116,JESUS GARCIA,1,0,2.1,11.57,2.14,0.00,3.86
117,JOAQUIN LARA,5,0,2.1,7.71,1.71,0.00,19.29
118,JOHN MILLAN,0,0,3.1,8.10,2.10,0.00,0.00
119,JONATHAN CASTELLANOS,1,2,6.0,0.00,1.00,3.00,1.50
120,JONATHAN FRUTOS,0,0,1.1,6.75,2.25,0.00,0.00
121,JONATHAN PARTIDA,0,1,1.2,0.00,0.60,5.40,0.00
122,JORDAN ABOITES,3,0,1.2,10.80,1.20,0.00,16.20
123,JORGE IBARRA,3,0,3.0,3.00,1.00,0.00,9.00
124,JORGE REYES,2,2,3.0,3.00,1.33,6.00,6.00
125,JORGE RIVERA,2,0,4.2,0.00,1.07,0.00,3.86
126,JOSE ASCANIO,2,1,2.1,3.86,1.29,3.86,7.71
127,JOSE BARAJAS,2,3,1.0,54.00,8.00,27.00,18.00
128,JOSE CARLOS MEDINA,2,1,2.1,3.86,1.71,3.86,7.71
129,JOSE LOPEZ CRUZ,2,0,2.2,3.38,1.88,0.00,6.75
130,JOSE MANUEL LOPEZ,2,2,3.1,2.70,2.40,5.40,5.40
131,JOSE MARRUJO,3,2,5.0,3.60,1.20,3.60,5.40
132,JOSE MERAZ,1,0,0.2,13.50,3.00,0.00,13.50
133,JOSE PINA,7,3,10.0,2.70,0.80,2.70,6.30
134,JOSE SAMAYOA,2,1,6.0,0.00,0.33,1.50,3.00
135,JOSH JUDY,0,0,1.1,0.00,0.00,0.00,0.00
136,JOSH LOWEY,10,6,8.1,4.32,1.68,6.48,10.80
137,JOSH LUEKE,1,0,4.0,0.00,0.00,0.00,2.25
138,JOVANY LOPEZ,1,0,0.2,13.50,1.50,0.00,13.50
139,JUAN MACIAS,4,1,3.0,0.00,1.00,3.00,12.00
140,JUAN OMAR ESPINOZA,2,0,3.0,0.00,0.00,0.00,6.00
141,JUAN PABLO ORAMAS,5,2,5.0,1.80,1.80,3.60,9.00
142,JUAN RAMON NORIEGA,1,0,3.0,0.00,0.67,0.00,3.00
143,JUAN RODRIGUEZ,1,2,3.0,0.00,0.67,6.00,3.00
144,JUAN SANDOVAL,2,0,2.0,9.00,1.00,0.00,9.00
145,JULIAN ARBALLO,1,0,0.2,0.00,3.00,0.00,13.50
146,JULIO FELIX,2,0,5.1,6.75,0.75,0.00,3.38
147,KELVIN MARTE,0,4,4.1,6.23,2.31,8.31,0.00
148,KYLE DRABEK,1,4,1.0,63.00,8.00,36.00,9.00
149,KYLE LOBSTEIN,5,1,5.1,0.00,1.12,1.69,8.44
150,LEURIS GOMEZ,3,1,4.0,2.25,0.75,2.25,6.75
151,LINDER CASTRO,3,1,3.0,6.00,2.00,3.00,9.00
152,LUIS ANGEL DANIEL,5,2,5.0,3.60,0.80,3.60,9.00
153,LUIS AYALA,5,2,2.2,10.12,2.25,6.75,16.88
154,LUIS DE LA O,2,0,4.1,0.00,0.46,0.00,4.15
155,LUIS IVAN RODRIGUEZ,3,4,5.0,10.80,1.80,7.20,5.40
156,LUIS MENDEZ,0,3,3.2,14.73,2.45,7.36,0.00
157,LUIS NIEBLA,5,6,9.1,4.82,1.61,5.79,4.82
158,LUIS PAYAN,2,2,5.0,3.60,1.60,3.60,3.60
159,LUIS PEREZ,5,3,5.1,1.69,1.50,5.06,8.44
160,MAIKEL CLETO,1,1,2.0,4.50,1.50,4.50,4.50
161,MANNY ACOSTA,5,0,4.0,0.00,0.50,0.00,11.25
162,MANUEL AL FLORES,4,0,5.0,5.40,1.20,0.00,7.20
163,MANUEL BAEZ,2,0,3.0,6.00,1.33,0.00,6.00
164,MANUEL VALDEZ,4,1,2.2,6.75,0.75,3.38,13.50
165,MARCO ANTONIO DUARTE,2,2,3.2,14.73,2.73,4.91,4.91
166,MARCO CAMARENA,0,0,1.2,0.00,0.00,0.00,0.00
167,MARCO CARRILLO,6,0,5.1,3.38,0.94,0.00,10.12
168,MARCO MENDIVIL,0,0,1.1,6.75,1.50,0.00,0.00
169,MARCO QUEVEDO,2,2,3.2,4.91,1.91,4.91,4.91
170,MARCO RAMIREZ,3,2,3.2,2.45,1.09,4.91,7.36
171,MARCO TOVAR,3,4,5.0,1.80,1.40,7.20,5.40
172,MARCOS MACHADO,0,0,0.1,27.00,6.00,0.00,0.00
173,MARCOS RIVAS,0,1,2.1,0.00,1.29,3.86,0.00
174,MARIO GONZALEZ,1,1,6.0,4.50,1.67,1.50,1.50
175,MARIO MORALES,1,2,2.2,6.75,2.25,6.75,3.38
176,MARK SERRANO,4,0,3.2,4.91,0.82,0.00,9.82
177,MARLON ARIAS,6,10,7.0,12.86,2.57,12.86,7.71
178,MARTIN SOTELO,0,1,2.1,3.86,1.71,3.86,0.00
179,MAURICIO LARA,3,2,3.0,3.00,1.67,6.00,9.00
180,MICHAELANGELO GUZMAN,0,2,0.1,54.00,18.00,54.00,0.00
181,MIGUEL MEJIA,0,1,2.1,3.86,1.29,3.86,0.00
182,MIGUEL PENA,1,3,5.0,1.80,1.20,5.40,1.80
183,MITCH LAMBSON,9,1,12.0,2.25,0.92,0.75,6.75
184,NATHANAEL SANTIAGO,5,2,3.1,2.70,0.60,5.40,13.50
185,NICK STRUCK,4,2,4.0,0.00,1.25,4.50,9.00
186,NICOLAS HEREDIA,3,1,3.0,6.00,1.33,3.00,9.00
187,NORMAN ELENES,4,2,3.0,3.00,0.67,6.00,12.00
188,OCTAVIO ACOSTA,4,1,5.2,1.59,1.06,1.59,6.35
