"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","mty",6,6,0,1,Inf,6,3.16666666666667,1.89473684210526,0.782136391068196,45,12,17
"2","lar",6,4,2,0.666666666666667,2,6,3.66666666666667,1.63636363636364,0.728089887640449,42,15,14
"3","agu",6,4,2,0.666666666666667,2,8,6,1.33333333333333,0.64,36,21,12
"4","dur",6,4,2,0.666666666666667,2,6.83333333333333,7.33333333333333,0.931818181818182,0.464749792645839,26,31,-3
"5","mva",6,3,3,0.5,1,3.5,5.5,0.636363636363636,0.288235294117647,16,41,-12
"6","tij",6,2,4,0.333333333333333,0.5,4,4.5,0.888888888888889,0.441379310344828,25,32,-3
"7","slt",6,1,5,0.166666666666667,0.2,3.83333333333333,5,0.766666666666667,0.370188943317005,21,36,-7
"8","vaq",6,0,6,0,0,3,6,0.5,0.2,11,46,-18
