"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","mxo",6,4,2,0.666666666666667,2,6.66666666666667,5,1.33333333333333,0.64,36,21,10
"2","yuc",6,4,2,0.666666666666667,2,4.66666666666667,3.16666666666667,1.47368421052632,0.68471615720524,39,18,9
"3","qui",6,4,2,0.666666666666667,2,7,6.16666666666667,1.13513513513514,0.563038621129907,32,25,5
"4","pue",6,4,2,0.666666666666667,2,4.83333333333333,4.33333333333333,1.11538461538462,0.554383651944628,32,25,3
"5","leo",6,2,4,0.333333333333333,0.5,5.16666666666667,7.83333333333333,0.659574468085106,0.303154574132492,17,40,-16
"6","oax",6,2,4,0.333333333333333,0.5,5.5,5,1.1,0.547511312217195,31,26,3
"7","tab",6,2,4,0.333333333333333,0.5,3.33333333333333,3.33333333333333,1,0.5,28,29,0
"8","cam",6,2,4,0.333333333333333,0.5,4.83333333333333,7.16666666666667,0.674418604651163,0.312639405204461,18,39,-14
