"","total_splits","season","num_teams","rank","games_played","runs","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","era","innings_pitched","earned_runs","whip","batters_faced","outs","games_pitched","hit_batsmen","wild_pitches","pickoffs","total_bases","strikeout_walk_ratio","strikeouts_per9inn","walks_per9inn","hits_per9inn","runs_scored_per9","home_runs_per9","catchers_interference","sac_bunts","sac_flies","passed_ball","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"63",83,"2024",1,63,43,269,56,263,156,1,414,31,".296",1397,".376",".487",".863",10,26,".722","6.50","347.1",251,"1.64",1613,1042,43,31,45,0,681,"1.69","6.81","4.04","10.73","6.97","1.45",1,13,15,0,6304,"Charros de Jalisco","/api/v1/teams/6304",642344,"Jhon Nuñez","/api/v1/people/642344","Jhon","Nuñez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"64",83,"2024",1,64,41,249,50,246,162,5,433,18,".329",1318,".406",".517",".923",9,20,".690","6.57","316.1",231,"1.88",1523,949,41,18,28,1,682,"1.52","7.00","4.61","12.32","7.08","1.42",1,12,12,2,6303,"Conspiradores de Queretaro","/api/v1/teams/6303",544827,"Carlos Paulino","/api/v1/people/544827","Carlos","Paulino",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"65",83,"2024",1,65,19,110,21,88,67,6,167,3,".321",521,".400",".495",".895",5,5,".500","6.68","125.1",93,"1.87",599,376,19,3,18,0,258,"1.31","6.32","4.81","11.99","7.90","1.51",0,6,2,1,6303,"Conspiradores de Queretaro","/api/v1/teams/6303",660840,"Jose Lizarraga","/api/v1/people/660840","Jose","Lizarraga",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"66",83,"2024",2,66,59,361,58,332,215,7,554,29,".308",1798,".386",".486",".872",19,24,".558","6.83","447.0",339,"1.72",2087,1341,59,29,29,0,874,"1.54","6.68","4.33","11.15","7.27","1.17",0,21,24,4,575,"Dorados de Chihuahua","/api/v1/teams/575",642751,"Carlos Martínez","/api/v1/people/642751","Carlos","Martínez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"67",83,"2024",1,67,16,73,9,83,44,0,121,7,".331",366,".411",".484",".895",0,12,"1.000","7.06","88.0",69,"1.88",422,264,16,7,9,0,177,"1.89","8.49","4.50","12.38","7.47","0.92",0,3,2,2,575,"Dorados de Chihuahua","/api/v1/teams/575",678405,"Hansen Lopez","/api/v1/people/678405","Hansen","Lopez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"68",83,"2024",1,68,16,65,11,55,46,4,92,8,".305",302,".408",".460",".868",5,13,".722","7.20","75.0",60,"1.84",363,225,16,8,11,0,139,"1.20","6.60","5.52","11.04","7.80","1.32",0,5,2,1,523,"Piratas de Campeche","/api/v1/teams/523",594092,"Angel Chavarin","/api/v1/people/594092","Angel","Chavarin",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"69",83,"2024",1,69,46,290,72,277,198,9,427,27,".314",1361,".408",".536",".944",18,27,".600","7.31","336.1",273,"1.86",1612,1009,46,27,41,2,729,"1.40","7.41","5.30","11.43","7.76","1.93",0,13,13,2,579,"Guerreros de Oaxaca","/api/v1/teams/579",593449,"Gabriel Lino","/api/v1/people/593449","Gabriel","Lino",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"70",83,"2024",2,70,25,162,20,154,100,10,237,16,".315",753,".401",".475",".876",3,19,".864","7.34","182.2",149,"1.84",889,548,25,16,20,0,358,"1.54","7.59","4.93","11.68","7.98","0.99",0,8,12,7,4444,"Caliente de Durango","/api/v1/teams/4444",641104,"Carlos Mendivil","/api/v1/people/641104","Carlos","Mendivil",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"71",83,"2024",1,71,6,11,0,13,8,0,14,2,".269",52,".381",".308",".689",0,0,".---","7.62","13.0",11,"1.69",63,39,6,2,3,0,16,"1.63","9.00","5.54","9.69","7.62","0.00",0,0,1,0,434,"Bravos de Leon","/api/v1/teams/434",823976,"Ivan Morales","/api/v1/people/823976","Ivan","Morales",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"72",83,"2024",1,72,16,101,18,69,58,5,146,7,".336",434,".415",".535",".950",7,13,".650","7.69","103.0",88,"1.98",513,309,16,7,6,0,232,"1.19","6.03","5.07","12.76","8.83","1.57",0,5,9,1,4444,"Caliente de Durango","/api/v1/teams/4444",660842,"Juan Uriarte","/api/v1/people/660842","Juan","Uriarte",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"73",83,"2024",2,73,8,30,7,22,14,0,49,3,".350",140,".418",".564",".982",3,1,".250","7.94","34.0",30,"1.85",160,102,8,3,4,0,79,"1.57","5.82","3.71","12.97","7.94","1.85",0,2,1,0,579,"Guerreros de Oaxaca","/api/v1/teams/579",685736,"Cristian Mejia","/api/v1/people/685736","Cristian","Mejia",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"74",83,"2024",1,74,4,10,1,9,3,0,14,2,".333",42,".396",".500",".896",0,2,"1.000","8.38","9.2",9,"1.76",48,29,4,2,1,0,21,"3.00","8.38","2.79","13.03","9.31","0.93",0,0,1,0,6304,"Charros de Jalisco","/api/v1/teams/6304",678411,"Gustavo Ruiz","/api/v1/people/678411","Gustavo","Ruiz",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"75",83,"2024",1,75,2,4,1,4,2,0,3,0,".200",15,".294",".467",".761",0,3,"1.000","9.00","4.0",4,"1.25",17,12,2,0,0,0,7,"2.00","9.00","4.50","6.75","9.00","2.25",0,0,0,0,560,"Acereros del Norte","/api/v1/teams/560",811607,"Omar Bustamante","/api/v1/people/811607","Omar","Bustamante",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"76",83,"2024",1,75,6,12,3,5,4,0,20,0,".377",53,".421",".604","1.025",0,0,".---","9.00","12.0",12,"2.00",57,36,6,0,0,0,32,"1.25","3.75","3.00","15.00","9.00","2.25",0,0,0,0,520,"Pericos de Puebla","/api/v1/teams/520",680023,"Daniel Mercado","/api/v1/people/680023","Daniel","Mercado",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"77",83,"2024",1,75,3,3,0,1,2,0,5,0,".417",12,".500",".500","1.000",1,2,".667","9.00","3.0",3,"2.33",14,9,3,0,1,0,6,"0.50","3.00","6.00","15.00","9.00","0.00",0,0,0,0,496,"Leones de Yucatan","/api/v1/teams/496",827111,"Jafet Ojeda","/api/v1/people/827111","Jafet","Ojeda",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","catching"
"78",83,"2024",1,75,1,1,0,0,2,0,2,0,".400",5,".571",".400",".971",0,0,".---","9.00","1.0",1,"4.00",7,3,1,0,0,0,2,"0.00","0.00","18.00","18.00","9.00","0.00",0,0,0,0,532,"Diablos Rojos del Mexico","/api/v1/teams/532",827462,"Joseph Uzeta","/api/v1/people/827462","Joseph","Uzeta",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"79",83,"2024",1,79,6,47,9,39,23,0,62,3,".380",163,".461",".650","1.111",1,5,".833","11.09","37.1",46,"2.28",192,112,6,3,2,0,106,"1.70","9.40","5.54","14.95","11.33","2.17",0,1,2,0,6304,"Charros de Jalisco","/api/v1/teams/6304",660518,"Juan Camacho","/api/v1/people/660518","Juan","Camacho",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"80",83,"2024",1,80,3,7,2,6,4,0,8,0,".333",24,".429",".625","1.054",0,0,".---","12.60","5.0",7,"2.40",28,15,3,0,5,0,15,"1.50","10.80","7.20","14.40","12.60","3.60",0,0,0,0,536,"Tecos de los Dos Laredos","/api/v1/teams/536",824051,"Eduardo Luna","/api/v1/people/824051","Eduardo","Luna",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"81",83,"2024",1,81,4,11,4,4,4,0,11,0,".458",24,".536","1.125","1.661",0,0,".---","19.80","5.0",11,"3.00",29,15,4,0,0,0,27,"1.00","7.20","7.20","19.80","19.80","7.20",0,1,0,0,532,"Diablos Rojos del Mexico","/api/v1/teams/532",682655,"Fernando Villalobos","/api/v1/people/682655","Fernando","Villalobos",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"82",83,"2024",1,82,1,3,1,0,1,0,2,0,".400",5,".500","1.000","1.500",0,0,".---","27.00","1.0",3,"3.00",6,3,1,0,1,0,5,"0.00","0.00","9.00","18.00","27.00","9.00",0,0,0,0,532,"Diablos Rojos del Mexico","/api/v1/teams/532",827712,"Edwin Villavicencio","/api/v1/people/827712","Edwin","Villavicencio",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
"83",83,"2024",1,83,1,8,2,0,4,0,5,0,".455",11,".600","1.091","1.691",0,0,".---","36.00","2.0",8,"4.50",15,6,1,0,1,0,12,"0.00","0.00","18.00","22.50","36.00","9.00",0,0,0,0,442,"Olmecas de Tabasco","/api/v1/teams/442",677900,"Manuel Barradas","/api/v1/people/677900","Manuel","Barradas",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","catching"
