"","Year","Name","Team","POS","GP","AB","PA","LOB","SH","SF","GO","AO","GO/AO","BABIP","AB/HR","K%","BB%","BB/K","wOBA","wRAA","wRC","wRC+"
"43","2019","Manuel Orduno","TIG","2B",77,285,333,104,16,3,0,56,"0.00",".386","47.50",13.8,7.2,52.2,0.4,42.4,94,119
"44","2019","Yordanys Linares","TIG","CF",75,294,320,111,1,1,0,57,"0.00",".382","58.80",12.8,5.9,46.3,0.389,37.8,87,120
"45","2019","Chris Roberson","MTY","LF",72,260,289,132,0,0,0,73,"0.00",".359","32.50",10,8.7,86.2,0.413,40,84,97
"46","2019","Brian Hernandez","TIG","3B",117,456,497,204,0,3,1,128,"0.01",".364","41.46",11.1,7.2,65.5,0.392,59.9,136,120
"47","2019","Alfredo Lopez","MVA","X",53,77,94,39,1,0,0,19,"0.00",".413","-.--",14.9,13.8,92.9,0.43,14.4,29,104
"48","2019","Jovan Rosa","TAB","1B",67,243,282,106,0,4,1,48,"0.02",".395","20.25",20.6,11,53.4,0.427,42.4,86,119
"49","2019","Jasson Atondo","CAM","3B",109,446,490,159,11,2,0,90,"0.00",".367","111.50",9.4,6.3,67.4,0.367,48.7,124,109
"50","2019","Roger Bernadina","LAG","CF",34,128,142,59,0,0,0,21,"0.00",".394","32.00",17.6,9.2,52,0.405,18.7,41,107
"51","2019","Carlos Rivero","LEO","3B",109,423,475,191,0,2,0,102,"0.00",".372","17.62",17.7,10.3,58.3,0.432,73.4,147,89
"52","2019","Juan Carlos Perez","AGS","RF",106,412,477,204,3,1,0,95,"0.00",".385","37.46",15.1,11.3,75,0.415,66.8,140,96
"53","2019","Balbino Fuenmayor","LAR","DH",107,416,452,188,0,5,1,114,"0.01",".344","13.42",16.8,6,35.5,0.433,70.2,140,109
"54","2019","Jaime Brena","OAX","2B",1,3,3,3,0,0,0,0,"-.--",".500","-.--",33.3,0,0,0.317,0.2,1,61
"55","2019","Antonio Lamas","PUE","3B",96,375,410,160,2,2,2,88,"0.02",".353","28.85",11.5,6.6,57.4,0.394,50.1,113,92
"56","2019","Maxwell Leon","TIJ","2B",73,241,293,86,7,0,0,50,"0.00",".385","24.10",16.7,11.3,67.3,0.443,48,93,112
"57","2019","Jay Austin","CAM","CF",109,434,485,129,6,4,0,109,"0.00",".347","28.93",11.1,8,72.2,0.399,61.4,136,108
"58","2019","Sergio Perez","PUE","X",77,219,239,86,3,3,3,41,"0.07",".367","36.50",15.1,5.4,36.1,0.377,25.8,63,91
"59","2019","Art Charles","YUC","DH",37,116,141,47,0,2,0,29,"0.00",".397","12.89",25.5,15.6,61.1,0.464,25.6,47,112
"60","2019","Cedric Hunter","LEO","CF",109,397,455,192,0,5,2,131,"0.02",".333","20.90",11,11.6,106,0.427,68.3,138,89
"61","2019","O'Koyea Dickson","DUR","LF",27,107,120,50,0,1,0,37,"0.00",".333","21.40",10.8,8.3,76.9,0.426,17.9,36,89
"62","2019","Alan Espinoza","TAB","C",96,331,365,141,0,5,4,76,"0.05",".353","25.46",14.8,6.6,44.4,0.397,45.6,102,121
"63","2019","Rodolfo Amador","MVA","3B",119,463,511,251,5,3,1,128,"0.01",".331","24.37",9.4,6.7,70.8,0.399,64.7,143,105
"64","2019","Daniel Carbonell","TAB","RF",112,411,468,206,1,7,3,105,"0.03",".372","25.69",18.2,9.2,50.6,0.412,64.4,136,120
"65","2019","Amadeo Zazueta","MTY","SS",103,387,434,166,6,5,0,99,"0.00",".334","55.29",6.7,6.2,93.1,0.381,48.3,115,97
"66","2019","Bruce Maxwell","MVA","C",109,424,487,206,0,3,1,89,"0.01",".369","17.67",19.3,12.1,62.8,0.43,74.4,149,104
"67","2019","Israel Nunez","LEO","C",57,163,173,86,0,2,1,44,"0.02",".362","54.33",13.9,2.3,16.7,0.354,15.3,42,86
"68","2019","Rainel Rosario","SLT","LF",114,448,514,179,0,2,2,111,"0.02",".344","17.23",15.2,12.1,79.5,0.434,80.2,159,98
"69","2019","Henry Alejandro Rodriguez","CAM","DH",114,436,480,187,4,4,0,113,"0.00",".334","18.96",13.3,6.7,50,0.403,62.4,136,108
"70","2019","Niuman Romero","LAG","3B",86,334,370,124,0,3,1,88,"0.01",".356","66.80",11.6,8.4,72.1,0.376,39.6,97,109
"71","2019","Rudy Flores","LAR","1B",89,310,344,120,0,0,0,52,"0.00",".385","13.48",25.3,7.6,29.9,0.44,55.5,108,110
"72","2019","Juan Perez","SLT","CF",112,469,519,173,2,4,1,123,"0.01",".363","20.39",18.7,7.9,42.3,0.408,69.6,150,97
"73","2019","Leo German","LAR","LF",105,379,420,139,7,1,0,73,"0.00",".380","37.90",17.9,6.4,36,0.385,48.2,113,111
"74","2019","Alex Valdez","OAX","1B",96,379,432,177,0,2,0,103,"0.00",".368","23.69",17.8,11.3,63.6,0.416,60.9,127,94
"75","2019","Kristian Delgado","SLT","SS",59,112,128,53,1,0,0,28,"0.00",".366","56.00",13.3,10.2,76.5,0.394,15.7,35,98
"76","2019","Aneury Tavárez","DUR","CF",70,299,330,105,3,0,0,75,"0.00",".375","33.22",17.6,6.1,34.5,0.395,40.6,91,88
"77","2019","Chris Valencia","SLT","X",49,81,89,30,1,2,0,16,"0.00",".377","27.00",21.3,3.4,15.8,0.379,9.8,23,99
"78","2019","Olmo Rosario","CAM","LF",115,443,502,215,1,7,0,136,"0.00",".328","36.92",8.4,9,107.1,0.388,58.9,136,109
"79","2019","Luis Alfonso Cruz","TIJ","2B",91,334,361,151,0,3,1,112,"0.01",".304","12.37",13,5.3,40.4,0.431,55.4,111,112
"80","2019","Erick Aybar","MVA","2B",88,351,415,152,0,5,2,78,"0.03",".358","35.10",14.7,12.8,86.9,0.41,56.4,120,105
"81","2019","Luis Juarez","YUC","DH",94,351,407,186,0,6,0,116,"0.00",".325","29.25",9.1,11.8,129.7,0.399,51.5,114,114
"82","2019","Tony Campana","MTY","CF",116,502,550,186,12,1,0,110,"0.00",".367","251.00",12.7,6,47.1,0.365,53.8,138,97
"83","2019","Cyle Hankerd","MEX","LF",38,135,161,71,0,3,0,29,"0.00",".392","27.00",22.4,11.2,50,0.416,22.7,47,80
"84","2019","Jorge Vazquez","SLT","DH",75,267,291,119,0,4,0,45,"0.00",".351","13.35",22.7,6.5,28.8,0.414,40.5,85,98
"85","2019","Arturo Rodriguez","LAR","C",87,302,323,127,1,2,2,94,"0.02",".335","23.23",13.3,4.3,32.6,0.38,35.7,85,112
"86","2019","Carlos Figueroa","MEX","CF",112,485,535,207,4,3,0,99,"0.00",".349","242.50",9.3,7.7,82,0.354,47.3,130,74
"87","2019","Ricky Rodriguez","MVA","RF",85,259,296,136,0,3,0,60,"0.00",".379","16.19",24.3,9.1,37.5,0.425,44,90,104
"88","2019","Marc Flores","AGS","1B",104,351,455,151,0,7,3,78,"0.04",".326","10.97",18.5,19.3,104.8,0.486,91,161,97
"89","2019","Matt Clark","LEO","1B",76,285,339,128,0,7,0,75,"0.00",".328","10.56",21.5,13,60.3,0.463,61.2,113,90
"90","2019","Yadir Drake","MTY","RF",77,247,286,108,3,2,0,67,"0.00",".318","22.46",9.4,10.5,111.1,0.413,39.6,84,96
"91","2019","Isaac Rodriguez","TIJ","SS",109,437,505,158,6,6,4,96,"0.04",".355","54.62",13.7,8.9,65.2,0.379,55.4,133,114
"92","2019","Alejandro Gonzalez","OAX","CF",108,377,447,165,3,3,0,85,"0.00",".378","41.89",17.9,12.1,67.5,0.409,60.3,129,94
"93","2019","Nicholas Torres","PUE","LF",113,425,495,184,0,4,1,76,"0.01",".386","17.71",24.2,11.5,47.5,0.428,74.8,151,93
"94","2019","Jesus Valdez","TIJ","LF",103,359,387,154,0,2,0,104,"0.00",".336","18.90",16,5.9,37.1,0.395,47.7,107,114
"95","2019","Julian Castro","AGS","3B",75,178,192,75,0,3,2,34,"0.06",".359","178.00",14.1,4.2,29.6,0.34,14.7,44,95
"96","2019","Roberto Valenzuela","LAR","SS",117,462,520,169,9,3,2,119,"0.02",".347","51.33",12.3,7.7,62.5,0.372,53.9,134,111
"97","2019","Cade Gotta","MVA","CF",45,182,220,67,1,4,0,47,"0.00",".379","45.50",19.1,15,78.6,0.399,27.8,62,104
"98","2019","Sebastián Elizalde","MTY","LF",39,99,113,44,0,1,0,38,"0.00",".345","99.00",10.6,10.6,100,0.371,11.6,29,96
"99","2019","David Vidal","MEX","2B",109,425,501,188,0,9,0,115,"0.00",".336","21.25",15.6,13,83.3,0.412,68.9,146,79
"100","2019","Edgar Munoz","LAG","RF",41,157,176,51,1,0,0,38,"0.00",".364","31.40",17.6,9.1,51.6,0.392,21.2,48,110
"101","2019","Daniel Jimenez","MEX","LF",55,125,129,72,0,0,0,34,"0.00",".375","-.--",16.3,2.3,14.3,0.324,8.1,28,71
"102","2019","Joshua Rodriguez","LAR","3B",117,449,509,204,0,4,1,117,"0.01",".366","20.41",21.4,10.6,49.5,0.406,67.4,146,110
"103","2019","Danny Ortiz","PUE","RF",117,462,530,212,0,9,1,149,"0.01",".314","11.00",19.6,9.6,49,0.446,88.1,170,93
"104","2019","Carlos Munoz","DUR","1B",106,353,415,149,1,6,1,122,"0.01",".330","50.43",9.6,11.1,115,0.385,47.6,112,86
"105","2019","Justin Greene","TIG","LF",36,151,168,46,4,0,0,31,"0.00",".394","37.75",22.6,7.7,34.2,0.372,17.4,43,122
"106","2019","Richy Pedroza","AGS","SS",111,422,520,150,4,2,2,125,"0.02",".359","140.67",12.3,17.5,142.2,0.398,65.4,145,96
"107","2019","Sergio Garcia","PUE","CF",24,58,63,29,1,0,0,13,"0.00",".409","-.--",22.2,4.8,21.4,0.335,4.6,14,92
"108","2019","Samar Leyva","OAX","SS",112,419,454,158,2,7,3,123,"0.02",".336","41.90",13,3.1,23.7,0.368,45.6,115,93
"109","2019","Carlos Lopez","LEO","RF",98,313,378,145,5,5,0,74,"0.00",".361","313.00",13.5,14,103.9,0.374,39.8,98,87
"110","2019","Ricardo Valenzuela","MEX","C",58,155,173,76,1,3,0,53,"0.00",".319","31.00",10.4,7.5,72.2,0.369,17.5,44,76
"111","2019","Ciro Norzagaray","LAG","2B",104,356,405,132,2,2,1,74,"0.01",".369","89.00",16.5,9.1,55.2,0.376,43.4,106,109
"112","2019","Josuan Hernandez","SLT","SS",101,376,419,168,2,3,2,91,"0.02",".338","26.86",15,7.9,52.4,0.386,48.4,113,97
"113","2019","Jose Aguilar","YUC","RF",91,299,350,148,5,2,3,65,"0.05",".368","99.67",16,9.7,60.7,0.386,40.4,94,115
"114","2019","Felix Perez","MTY","RF",89,351,404,198,0,4,0,97,"0.00",".305","11.70",17.1,10.4,60.9,0.447,67.5,130,97
"115","2019","Francisco Ferreiro","LAG","LF",114,446,496,164,9,4,1,109,"0.01",".373","111.50",17.9,7.1,39.3,0.356,44.7,121,110
"116","2019","Xorge Carrillo","TIJ","C",63,212,242,83,2,1,1,59,"0.02",".339","35.33",13.6,8.3,60.6,0.387,28.2,65,114
"117","2019","Santiago Gonzalez","DUR","DH",108,444,485,206,2,3,1,113,"0.01",".326","31.71",12.2,4.3,35.6,0.375,51.5,126,87
"118","2019","Issmael Salas","PUE","3B",95,343,378,131,1,7,0,106,"0.00",".310","24.50",11.1,6.6,59.5,0.372,39.2,97,92
"119","2019","Junior Lake","TIJ","CF",114,428,507,182,0,2,0,99,"0.00",".348","20.38",18.3,14,76.3,0.422,74,152,112
"120","2019","Missael Rivera","LAG","SS",91,281,333,149,5,7,0,76,"0.00",".354","21.62",20.7,10.2,49.3,0.407,44.4,96,108
"121","2019","Francisco Lugo","AGS","LF",61,170,175,91,0,0,1,31,"0.03",".342","-.--",10.3,1.1,11.1,0.325,11.2,38,95
"122","2019","Jose Manuel Orozco","SLT","1B",74,230,256,107,1,2,0,41,"0.00",".401","20.91",28.9,7.8,27,0.394,31.3,71,97
"123","2019","Jairo Perez","CAM","DH",13,46,51,15,0,0,0,13,"0.00",".333","46.00",11.8,3.9,33.3,0.388,6,14,107
"124","2019","Mario Vega","PUE","SS",62,115,126,64,4,2,0,40,"0.00",".327","57.50",11.1,2.4,21.4,0.33,8.6,28,90
"125","2019","Francisco Rivera","LAG","DH",94,283,322,119,1,1,0,73,"0.00",".336","31.44",14.3,11.2,78.3,0.381,35.8,85,110
"126","2019","Yosmany Guerra","TIG","SS",108,362,425,146,1,7,2,102,"0.02",".343","51.71",14.6,12.5,85.5,0.38,47,112,121
"127","2019","Javier Salazar","TIJ","SS",116,494,536,182,8,3,4,124,"0.03",".359","61.75",17.4,5.2,30.1,0.352,46.5,129,115
"128","2019","Yeison Asencio","TIJ","RF",104,400,435,186,0,5,2,94,"0.02",".309","23.53",11.7,5.1,43.1,0.373,45.5,112,115
"129","2019","Eric Meza","OAX","1B",63,146,157,82,0,1,1,39,"0.03",".339","24.33",18.5,5.1,27.6,0.369,15.9,40,93
"130","2019","Angel Erro","TIG","1B",42,103,114,30,2,0,0,27,"0.00",".345","103.00",13.2,7.9,60,0.349,9.6,27,123
"131","2019","Ruben Sosa","TIG","CF",108,426,502,162,9,0,1,71,"0.01",".358","60.86",16.1,10.6,65.4,0.38,55.5,133,120
"132","2019","Christian Navarro","CAM","RF",48,40,45,12,0,0,0,4,"0.00",".407","40.00",26.7,8.9,33.3,0.374,4.7,12,106
