"","Year","Name","Team","POS","GP","AB","PA","LOB","SH","SF","GO","AO","GO/AO","BABIP","AB/HR","K%","BB%","BB/K","wOBA","wRAA","wRC","wRC+"
"454","2021","Carlos Garzon","DUR","C",37,113,126,50,0,0,32,18,"1.78",".351","37.67",26.2,7.9,30.3,0.344,-7.1,11,61
"455","2021","Daniel Sanchez","LEO","C",37,117,132,64,4,1,41,33,"1.24",".255","16.71",12.9,6.8,52.9,0.361,-5.5,13,70
"456","2021","Diego Lizarraga","LEO","2B",26,53,60,23,2,1,20,11,"1.82",".326","-.--",18.3,6.7,36.4,0.288,-6.2,2,22
"457","2021","Rigoberto Terrazas","OAX","3B",55,194,212,91,4,1,49,67,"0.73",".287","32.33",15.1,6.1,40.6,0.327,-15,15,77
"458","2021","Luis Rodriguez","LAR","2B",30,42,51,18,0,0,15,9,"1.67",".314","-.--",13.7,17.6,128.6,0.347,-2.7,5,118
"459","2021","Christian Villanueva","MTY","DH",52,162,206,78,0,3,28,64,"0.44",".281","27.00",15,17.5,116.1,0.389,-3.7,26,92
"460","2021","Jorge Flores","YUC","SS",56,170,202,103,6,3,66,49,"1.35",".288","-.--",9.9,7.9,80,0.312,-16.8,12,159
"461","2021","Alex Valdez","LAR","3B",51,182,206,113,2,0,47,57,"0.82",".301","60.67",16,10.7,66.7,0.332,-13.7,16,132
"462","2021","Mario Cabrera","OAX","LF",32,97,109,29,1,0,30,26,"1.15",".313","-.--",15.6,9.2,58.8,0.31,-9.3,6,72
"463","2021","Peter O'Brien","TIJ","RF",60,233,251,124,0,2,46,47,"0.98",".321","14.56",32.7,5.6,17.1,0.369,-8.8,27,131
"464","2021","Jose Zepeda","OAX","2B",28,70,79,38,3,0,20,15,"1.33",".347","70.00",25.3,7.6,30,0.305,-7.1,4,69
"465","2021","Luis Juarez","YUC","DH",59,214,237,103,0,1,56,75,"0.75",".260","23.78",12.2,8.4,69,0.342,-13.7,20,142
"466","2021","Sergio Burruel","CAM","C",54,164,190,64,4,1,61,42,"1.45",".283","54.67",12.6,11.1,87.5,0.327,-13.4,14,126
"467","2021","Alberth Martinez","DUR","RF",40,133,147,62,0,1,28,45,"0.62",".284","26.60",18.4,8.8,48.1,0.337,-9.1,12,58
"468","2021","Jose Martinez","DUR","3B",20,47,50,34,0,0,12,7,"1.71",".387","-.--",32,6,18.8,0.287,-5.2,2,13
"469","2021","Julian Leon","MEX","C",33,98,113,59,0,0,19,22,"0.86",".328","19.60",28.3,11.5,40.6,0.368,-4.1,12,46
"470","2021","Gilberto Carrera","LEO","SS",56,185,204,81,6,1,69,37,"1.86",".315","185.00",19.1,3.9,20.5,0.286,-21.5,7,16
"471","2021","Humberto Sosa","YUC","C",34,99,107,46,0,0,21,34,"0.62",".267","19.80",17.8,7.5,42.1,0.335,-6.8,8,152
"472","2021","Fernando Perez","YUC","X",46,119,135,68,0,0,30,28,"1.07",".326","59.50",23,11.1,48.4,0.324,-9.9,9,156
"473","2021","Bryan Araiza","OAX","CF",45,139,162,73,1,2,36,26,"1.38",".330","27.80",27.8,12.3,44.4,0.346,-8.8,14,82
"474","2021","Hector Mora","VER","SS",60,179,194,85,2,1,58,38,"1.53",".319","179.00",21.1,6.2,29.3,0.283,-20.9,7,138
"475","2021","Arel Campoy","LAG","SS",30,52,66,23,4,1,17,17,"1.00",".302","-.--",15.2,12.1,80,0.317,-5.2,4,142
"476","2021","Xorge Carrillo","TIJ","C",8,16,20,5,0,0,4,6,"0.67",".286","-.--",10,10,100,0.359,-0.9,2,131
"477","2021","Aloysius Cruz","TAB","X",14,8,11,6,0,0,0,2,"0.00",".333","8.00",36.4,9.1,25,0.512,0.9,3,102
"478","2021","Kevin Garcia","PUE","C",26,60,66,31,0,1,20,20,"1.00",".245","30.00",9.1,4.5,50,0.318,-5.2,4,71
"479","2021","Jorge Gonzalez","AGS","1B",18,40,40,21,0,0,11,7,"1.57",".333","40.00",30,0,0,0.27,-4.8,1,43
"480","2021","Gerson Manzanillo","CAM","DH",21,36,41,26,2,0,9,13,"0.69",".310","-.--",17.1,7.3,42.9,0.283,-4.4,1,230
"481","2021","Carlos Morales","CAM","DH",8,20,21,6,0,0,7,2,"3.50",".357","-.--",28.6,4.8,16.7,0.263,-2.6,0,Inf
"482","2021","Heriberto Morales","MEX","C",3,4,4,1,0,0,1,1,"1.00",".333","-.--",25,0,0,0.238,-0.6,0,Inf
"483","2021","Ismael Moreno","TAB","X",9,16,16,6,0,0,6,3,"2.00",".250","16.00",18.8,0,0,0.318,-1.3,1,184
"484","2021","Nico Giarratano","DUR","SS",61,181,203,81,4,3,62,31,"2.00",".331","181.00",24.6,6.9,28,0.285,-21.6,7,9
"485","2021","Jesus Loya","DUR","LF",37,105,121,45,0,1,31,29,"1.07",".302","-.--",16.5,11.6,70,0.315,-9.8,7,49
"486","2021","Kristian Delgado","SLT","SS",42,69,84,41,1,1,20,21,"0.95",".259","23.00",15.5,10.7,69.2,0.367,-3.1,9,91
"487","2021","Markus Montelongo","LEO","2B",55,126,154,51,4,1,58,20,"2.90",".295","-.--",14.3,12.3,86.4,0.323,-11.4,10,57
"488","2021","Óscar Hernández","TIJ","C",14,41,43,29,0,0,8,15,"0.53",".281","41.00",18.6,2.3,12.5,0.292,-4.3,2,164
"489","2021","Italo Motta","CAM","X",28,41,51,14,0,0,14,10,"1.40",".294","-.--",13.7,19.6,142.9,0.341,-3,4,133
"490","2021","Moises Gutierrez","DUR","2B",64,234,264,127,0,3,47,56,"0.84",".340","58.50",29.2,9.1,31.2,0.31,-22.5,15,42
"491","2021","Norberto Obeso","YUC","LF",55,152,176,73,4,1,49,50,"0.98",".269","76.00",11.9,9.1,76.2,0.314,-14.4,11,153
"492","2021","Manuel Orduno","TIG","LF",21,74,81,22,1,2,33,19,"1.74",".261","-.--",8.6,4.9,57.1,0.256,-10.6,1,493
"493","2021","Chris Carter","MVA","DH",26,91,102,48,0,0,11,27,"0.41",".296","15.17",30.4,10.8,35.5,0.361,-4.3,10,113
"494","2021","Richy Pedroza","AGS","SS",16,58,74,19,0,1,16,21,"0.76",".260","58.00",10.8,20.3,187.5,0.351,-3.7,7,85
"495","2021","Jorge Cantu","MEX","1B",36,121,134,56,0,0,29,30,"0.97",".322","121.00",24.6,8.2,33.3,0.296,-13,6,-26
"496","2021","Eric Meza","OAX","DH",53,176,190,75,0,1,40,44,"0.91",".276","17.60",26.8,6.3,23.5,0.328,-13.3,14,75
"497","2021","Sebastian Valle","YUC","C",46,152,180,76,1,1,19,52,"0.37",".307","30.40",26.1,13.9,53.2,0.344,-10.1,15,146
"498","2021","Luis Perez Elizondo","CAM","X",28,55,60,29,0,0,10,22,"0.45",".256","27.50",16.7,8.3,50,0.313,-5,4,120
"499","2021","Jose Augusto Figueroa","VER","LF",44,115,123,65,0,0,45,16,"2.81",".282","38.33",22,4.9,22.2,0.304,-11.1,6,138
"500","2021","Jose Alvarez","TIJ","1B",48,188,199,95,0,4,52,57,"0.91",".268","47.00",19.6,1,5.1,0.266,-24.3,4,268
"501","2021","Maxwell Leon","VER","1B",30,94,114,44,2,0,26,22,"1.18",".281","23.50",22.8,14.9,65.4,0.357,-5.2,11,116
"502","2021","Alejandro Flores","LAG","C",55,167,206,94,4,3,45,52,"0.87",".285","83.50",18.4,14.1,76.3,0.336,-13,16,131
"503","2021","Ali Solis","MTY","C",30,90,98,47,2,0,19,20,"0.95",".315","22.50",32.7,4.1,12.5,0.308,-8.5,5,92
"504","2021","Juan Perez","SLT","CF",65,249,293,107,4,1,53,68,"0.78",".291","24.90",25.6,10.9,42.7,0.349,-15.2,26,94
"505","2021","Julio Perez","LEO","1B",29,56,64,28,0,0,17,12,"1.42",".293","56.00",21.9,3.1,14.3,0.318,-5,4,52
"506","2021","Jeremy Martinez","MVA","C",30,95,105,55,4,0,36,25,"1.44",".260","47.50",15.2,5.7,37.5,0.286,-11.1,4,125
"507","2021","Irving Zazueta","TIG","CF",31,65,69,26,0,0,14,14,"1.00",".333","65.00",31.9,4.3,13.6,0.284,-7.4,2,291
"508","2021","Joshua Rodriguez","LAR","3B",53,178,201,103,2,2,42,45,"0.93",".292","29.67",26.9,8,29.6,0.32,-15.4,13,143
"509","2021","Rodolfo Amador","TAB","DH",29,92,97,48,0,2,25,30,"0.83",".257","46.00",18.6,3.1,16.7,0.265,-11.9,2,355
"510","2021","Julian Castro","AGS","2B",27,57,61,24,2,0,22,14,"1.57",".277","-.--",16.4,3.3,20,0.241,-8.8,0,Inf
"511","2021","Daniel Cornejo","LEO","X",30,57,64,23,0,0,20,12,"1.67",".273","57.00",18.8,6.2,33.3,0.303,-5.8,3,43
"512","2021","Beder Gutierrez","LAR","RF",22,22,24,15,1,0,4,5,"0.80",".333","22.00",37.5,4.2,11.1,0.296,-2.3,1,176
"513","2021","Alexis Wilson","TIG","C",42,132,152,70,1,1,38,44,"0.86",".236","26.40",14.5,11.2,77.3,0.322,-11.4,10,177
"514","2021","Francisco Hernandez","LAG","CF",32,106,117,47,3,1,33,27,"1.22",".296","-.--",22.2,6,26.9,0.259,-15,2,214
"515","2021","Art Charles","YUC","1B",53,190,221,90,0,3,39,53,"0.74",".258","17.27",26.2,11.8,44.8,0.346,-12.1,19,143
"516","2021","Alejandro Gonzalez","TIG","CF",62,217,262,95,8,2,53,69,"0.77",".288","72.33",21.4,11.1,51.8,0.309,-22.5,15,185
"517","2021","Lane Adams","TIG","RF",35,120,131,75,0,1,23,29,"0.79",".333","120.00",32.1,7.6,23.8,0.27,-15.6,3,317
"518","2021","Adalberto Carrillo","TIJ","LF",35,80,93,39,0,1,21,22,"0.95",".271","40.00",21.5,8.6,40,0.316,-7.4,6,150
"519","2021","Luis Cossio","PUE","X",24,49,50,35,0,0,13,3,"4.33",".407","-.--",44,2,4.5,0.237,-7.3,0,Inf
"520","2021","Alfredo Meza","DUR","C",4,9,10,2,0,1,3,4,"0.75",".222","-.--",10,0,0,0.19,-1.9,0,Inf
"521","2021","Cade Gotta","AGS","CF",16,59,68,26,1,0,16,18,"0.89",".267","59.00",19.1,11.8,61.5,0.305,-6.1,4,70
"522","2021","Gorkys Hernández","MEX","LF",43,159,182,70,0,1,31,39,"0.79",".307","39.75",30.2,11,36.4,0.304,-16.4,9,-10
"523","2021","Michael Robles","DUR","DH",25,69,74,40,0,0,21,16,"1.31",".288","-.--",23,6.8,29.4,0.249,-10.1,0,-Inf
"524","2021","Jonathan Jones","YUC","CF",18,60,68,24,0,1,24,14,"1.71",".240","60.00",14.7,8.8,60,0.283,-7.3,2,238
"525","2021","Brayan Mendoza","AGS","CF",26,51,53,26,1,0,15,9,"1.67",".303","51.00",32.1,1.9,5.9,0.247,-7.3,0,-Inf
"526","2021","Engelb Vielma","MEX","SS",25,85,92,55,0,2,20,31,"0.65",".250","85.00",19.6,5.4,27.8,0.245,-12.9,0,-Inf
"527","2021","German Revilla","TIG","C",13,19,20,7,0,0,3,4,"0.75",".300","19.00",40,5,12.5,0.301,-1.9,1,193
"528","2021","Erick Migueles","TIG","RF",50,124,154,67,1,1,38,26,"1.46",".276","62.00",23.4,15.6,66.7,0.327,-10.9,11,169
"529","2021","Greifer Andrade","AGS","RF",8,24,24,7,0,0,9,6,"1.50",".250","-.--",16.7,0,0,0.205,-4.2,-1,106
"530","2021","Miguel Ojeda Jr.","OAX","C",25,72,80,28,0,1,19,14,"1.36",".298","72.00",31.2,8.8,28,0.262,-10.1,1,-10
"531","2021","Carlos M. Rodriguez","SLT","C",34,96,112,55,0,3,20,24,"0.83",".279","32.00",31.2,10.7,34.3,0.296,-10.9,5,84
"532","2021","Marco Jaime","YUC","2B",27,54,67,31,3,0,27,11,"2.45",".222","54.00",11.9,10.4,87.5,0.327,-4.7,5,144
"533","2021","Eduardo Arredondo","VER","1B",3,10,11,3,0,0,4,3,"1.33",".222","-.--",9.1,9.1,100,0.257,-1.4,0,Inf
"534","2021","Marco Guzman","CAM","3B",35,90,100,39,3,0,25,22,"1.14",".241","22.50",28,7,25,0.285,-10.6,4,143
"535","2021","Javier Mireles","SLT","X",18,10,10,9,0,0,4,2,"2.00",".250","-.--",20,0,0,0.19,-1.9,0,Inf
"536","2021","Felix Perez","LEO","1B",17,60,71,32,0,0,15,17,"0.88",".220","20.00",22.5,14.1,62.5,0.335,-4.5,6,56
"537","2021","Jaime Santos","DUR","X",8,5,6,1,0,0,4,0,"4.00",".200","-.--",0,16.7,Inf,0.313,-0.5,0,Inf
"538","2021","Jose Manuel Orozco","TIG","LF",47,137,155,78,0,0,31,42,"0.74",".223","22.83",23.9,11,45.9,0.302,-14.2,8,194
"539","2021","Tony Campana","YUC","CF",20,82,92,30,1,0,32,21,"1.52",".235","-.--",15.2,9.8,64.3,0.249,-12.6,0,Inf
"540","2021","Leo German","VER","LF",45,108,126,58,2,0,41,31,"1.32",".213","54.00",13.5,11.1,82.4,0.291,-12.7,5,143
"541","2021","Granden Goetzman","TIG","DH",9,36,39,23,0,0,7,9,"0.78",".304","-.--",33.3,7.7,23.1,0.234,-5.8,0,-Inf
"542","2021","T.J. White","MVA","3B",21,52,62,31,2,1,14,11,"1.27",".233","17.33",32.3,9.7,30,0.311,-5.2,4,108
"543","2021","Kevin Flores","VER","1B",35,74,87,39,3,0,33,13,"2.54",".246","-.--",19.5,11.5,58.8,0.256,-11.4,1,231
"544","2021","Daniel Mercado","LAG","C",18,37,38,25,0,0,7,12,"0.58",".269","-.--",28.9,0,0,0.21,-6.5,-1,24
"545","2021","Alfredo Lopez","MVA","X",28,16,18,5,0,0,4,5,"0.80",".250","-.--",22.2,0,0,0.252,-2.4,0,Inf
"546","2021","Ramon R Ramirez","PUE","X",8,16,16,8,0,0,4,1,"4.00",".375","-.--",50,0,0,0.178,-3.2,-1,125
"547","2021","Daniel Castro","TIJ","SS",36,118,128,77,1,0,43,35,"1.23",".222","-.--",14.8,5.5,36.8,0.225,-20.1,-2,-122
"548","2021","Oziel Flores","VER","SS",21,43,50,21,1,1,14,11,"1.27",".250","-.--",24,8,33.3,0.263,-6.2,1,168
"549","2021","Jose Luna","TAB","X",37,76,83,46,0,0,19,22,"0.86",".226","38.00",25.3,8.4,33.3,0.256,-10.9,1,536
"550","2021","Jesus Sanchez","LEO","RF",5,11,12,13,0,0,3,2,"1.50",".167","11.00",33.3,8.3,25,0.33,-0.8,1,53
"551","2021","Omar Renteria","MTY","C",35,78,84,51,0,0,24,10,"2.40",".277","78.00",35.7,6,16.7,0.228,-13,-1,179
"552","2021","Jorge Vazquez","SLT","DH",17,56,58,38,0,0,12,13,"0.92",".265","56.00",36.2,3.4,9.5,0.213,-9.7,-1,188
"553","2021","Hector Hernandez","VER","SS",26,45,49,26,0,0,9,18,"0.50",".229","-.--",20.4,8.2,40,0.225,-7.7,-1,-2
"554","2021","Francisco Williams","CAM","1B",16,17,23,14,1,0,4,7,"0.57",".231","-.--",17.4,13,75,0.311,-1.9,1,186
"555","2021","Christian Navarro","CAM","RF",23,35,39,19,0,0,14,4,"3.50",".250","-.--",28.2,10.3,36.4,0.244,-5.5,0,Inf
"556","2021","Sebastian Diaz","CAM","DH",11,18,19,6,0,0,6,5,"1.20",".214","-.--",21.1,5.3,25,0.191,-3.5,-1,40
"557","2021","Oscar Sanay","MVA","X",10,6,7,3,0,0,1,3,"0.33",".200","-.--",14.3,0,0,0.255,-0.9,0,Inf
"558","2021","Adolfo Valdez","YUC","LF",5,6,7,3,0,0,2,0,"2.00",".333","-.--",42.9,14.3,33.3,0.246,-1,0,Inf
"559","2021","Eduardo Santos","CAM","C",22,39,41,22,1,0,19,8,"2.38",".188","-.--",17.1,2.4,14.3,0.162,-8.6,-3,63
"560","2021","Hans Wilson","OAX","C",26,66,72,24,3,0,33,9,"3.67",".204","-.--",23.6,2.8,11.8,0.175,-14.4,-4,135
"561","2021","Jorge Sesma","LAG","X",34,53,62,18,2,0,24,7,"3.43",".216","-.--",25.8,8.1,31.2,0.227,-9.6,-1,-61
"562","2021","Edson Garcia","TIJ","SS",39,89,94,35,0,2,29,27,"1.07",".188","-.--",23.4,3.2,13.6,0.159,-20,-7,49
"563","2021","Loidel Chapelli","CAM","RF",3,7,7,0,0,0,3,0,"3.00",".250","-.--",42.9,0,0,0.136,-1.6,-1,46
"564","2021","Hector Tellez","TAB","X",30,28,30,22,0,0,7,5,"1.40",".200","28.00",40,6.7,16.7,0.216,-4.9,-1,-98
"565","2021","Elmer Lopez","DUR","CF",44,109,117,62,2,1,28,23,"1.22",".222","109.00",39.3,3.4,8.7,0.173,-23.5,-7,153
"566","2021","Ivan Chavez","LEO","3B",7,22,26,18,0,0,7,3,"2.33",".231","-.--",34.6,15.4,44.4,0.228,-4,0,Inf
"567","2021","Angel Chavarin","TAB","C",15,31,34,18,0,0,12,4,"3.00",".200","-.--",32.4,8.8,27.3,0.184,-6.5,-2,-8
"568","2021","Alejandro Rivero","TAB","SS",32,39,47,13,2,0,17,14,"1.21",".147","-.--",10.6,10.6,100,0.213,-7.9,-1,-131
"569","2021","Jose Del Palacio","VER","X",4,8,8,6,0,0,1,2,"0.50",".250","-.--",50,0,0,0.119,-2,-1,74
"570","2021","Jorge Tartabull","PUE","CF",3,8,9,7,0,0,4,2,"2.00",".143","-.--",11.1,11.1,100,0.191,-1.7,0,Inf
"571","2021","Juan Macias","SLT","X",27,25,27,16,0,0,6,5,"1.20",".214","-.--",40.7,7.4,18.2,0.163,-5.7,-2,103
"572","2021","Jorge Rivera","TIG","SS",37,50,60,23,5,0,26,16,"1.63",".140","-.--",11.7,8.3,71.4,0.174,-12,-3,17
"573","2021","Yancarlo Angulo","DUR","LF",20,54,59,36,1,1,10,21,"0.48",".167","-.--",32.2,5.1,15.8,0.146,-13.2,-5,135
"574","2021","Andres Moreno","OAX","X",19,36,38,18,0,1,10,5,"2.00",".211","-.--",47.4,2.6,5.6,0.12,-9.3,-4,114
"575","2021","Edgar Salazar","MVA","3B",4,9,11,5,0,0,3,3,"1.00",".143","-.--",18.2,18.2,100,0.227,-1.7,0,Inf
"576","2021","Sergio Barthelemy","CAM","LF",5,19,22,10,0,0,6,5,"1.20",".154","-.--",27.3,13.6,50,0.192,-4.1,-1,51
"577","2021","Cristian Mejia","LAR","C",24,30,33,12,0,0,12,8,"1.50",".130","-.--",21.2,9.1,42.9,0.157,-7.1,-2,76
"578","2021","Rafael Polo","MVA","LF",3,10,10,8,0,0,7,1,"7.00",".111","-.--",10,0,0,0.095,-2.7,-1,117
"579","2021","Juan Santana","MVA","RF",3,10,11,8,0,0,4,4,"1.00",".111","-.--",9.1,9.1,100,0.157,-2.4,-1,71
"580","2021","Kevin Zamudio","LAG","C",7,10,11,7,0,0,3,1,"3.00",".200","-.--",45.5,0,0,0.163,-2.3,-1,49
"581","2021","Antonio Castaneda","MEX","X",34,31,33,17,0,0,16,5,"3.20",".125","-.--",21.2,3,14.3,0.135,-7.7,-3,163
"582","2021","Jose Gaitan","VER","X",7,12,12,5,0,0,3,3,"1.00",".143","-.--",41.7,0,0,0.079,-3.4,-2,75
"583","2021","Pedro Ordaz","OAX","2B",19,32,32,15,0,0,9,14,"0.64",".080","-.--",21.9,0,0,0.059,-9.5,-5,110
"584","2021","Jesus Alcantar","DUR","P",22,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"585","2021","Bryant Aragon","LAG","1B",3,4,4,1,0,0,1,0,"1.00",".000","-.--",75,0,0,0,-1.4,-1,74
"586","2021","Marco Avena","CAM","C",2,2,2,0,0,0,1,1,"1.00",".000","-.--",0,0,NA,0,-0.7,0,Inf
"587","2021","Edgar Bravo","LAG","DH",2,1,1,1,0,0,1,0,"1.00",".000","-.--",0,0,NA,0,-0.3,0,Inf
"588","2021","Andrew Bynum","TIG","DH",1,1,1,2,0,0,0,0,"-.--",".---","-.--",100,0,0,0,-0.3,0,Inf
"589","2021","Oliver Carrillo","YUC","X",2,2,2,1,0,0,1,0,"1.00",".000","-.--",50,0,0,0,-0.7,0,Inf
"590","2021","Rogelio Cobos","VER","CF",3,1,2,1,0,0,1,0,"1.00",".000","-.--",0,50,Inf,0.386,0,0,Inf
"591","2021","Jesus Cordova","PUE","C",1,1,1,1,0,0,0,0,"-.--",".---","-.--",100,0,0,0,-0.3,0,Inf
"592","2021","Manuel Cruz","TAB","C",3,2,2,1,0,0,0,0,"-.--",".---","-.--",100,0,0,0,-0.7,0,Inf
"593","2021","Tiago Da Silva","DUR","P",20,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"594","2021","Hector Estrada","PUE","X",2,2,2,1,0,0,1,0,"1.00",".000","-.--",50,0,0,0,-0.7,0,Inf
"595","2021","Alfredo Fernandez","OAX","X",6,0,1,0,0,0,0,0,"-.--",".---","-.--",0,100,Inf,0.772,0.3,0,Inf
"596","2021","Brian Garcia","LAG","X",1,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"597","2021","Ivan Guerrero","VER","2B",1,3,4,6,0,0,3,0,"3.00",".000","-.--",0,0,NA,0.21,-0.7,0,Inf
"598","2021","Ulises Lopez","AGS","P",28,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"599","2021","Diego Manjarrez","PUE","X",2,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"600","2021","Daniel Morales","PUE","LF",2,1,1,2,0,0,0,0,"-.--",".---","-.--",100,0,0,0,-0.3,0,Inf
"601","2021","Efrain Morales","MTY","X",3,1,2,1,0,0,1,0,"1.00",".000","-.--",0,0,NA,0.419,0,0,Inf
"602","2021","Juan Ramon Noriega","TIG","P",14,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"603","2021","Garrett Ouellette","LAR","X",4,4,5,1,0,0,1,0,"1.00",".000","-.--",60,0,0,0.168,-1,0,Inf
"604","2021","Joey Rickard","MVA","LF",2,5,7,2,0,0,3,0,"3.00",".000","-.--",28.6,14.3,50,0.23,-1.1,0,Inf
"605","2021","Nestor Rios","AGS","X",2,2,2,1,0,0,1,0,"1.00",".000","-.--",50,0,0,0,-0.7,0,Inf
"606","2021","Rafael Rodriguez","LEO","X",3,2,2,0,0,0,1,0,"1.00",".000","-.--",50,0,0,0,-0.7,0,Inf
"607","2021","Luis Santos","SLT","P",11,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"608","2021","Alejandro Urias","DUR","X",1,0,1,0,0,0,0,0,"-.--",".---","-.--",0,100,Inf,0.772,0.3,0,Inf
"609","2021","Rosman Verdugo","MEX","X",2,3,3,0,0,0,0,1,"0.00",".000","-.--",66.7,0,0,0,-1,-1,74
"610","2021","Ivan Zavala","VER","P",31,0,0,0,0,0,0,0,"-.--",".---","-.--",NA,NA,NA,NA,NA,NA,NA
"611","2022","Ivan Terrazas","MEX","LF",1,1,1,0,0,0,0,0,"-.--","1.000","-.--",0,0,NA,1.106,0.7,1,80
"612","2022","Lazaro Alonso","YUC","1B",4,12,13,4,0,0,0,2,"0.00",".750","12.00",23.1,7.7,33.3,0.681,4,6,111
"613","2022","Antonio Castaneda","MEX","X",12,7,7,2,0,0,2,0,"2.00",".667","-.--",14.3,0,0,0.542,1.4,2,104
"614","2022","Andres Moreno","OAX","C",5,4,7,1,0,0,1,0,"1.00",".667","-.--",14.3,28.6,200,0.625,1.8,3,93
"615","2022","Marco Avena","CAM","C",10,23,26,9,0,0,4,4,"1.00",".556","-.--",19.2,11.5,60,0.46,3.2,7,115
"616","2022","Allen Córdoba","LAG","3B",30,102,115,43,0,2,30,25,"1.20",".409","17.00",4.3,6.1,140,0.507,18.8,37,109
"617","2022","Henry Urrutia","SLT","1B",90,333,376,138,0,3,90,66,"1.36",".424","13.32",10.6,9.6,90,0.524,66.8,128,97
"618","2022","Alberth Martinez","DUR","RF",89,344,381,168,0,1,75,70,"1.07",".471","24.57",15,8.4,56.1,0.495,58.3,120,88
"619","2022","Roel Santos","TAB","CF",68,253,293,75,3,3,78,45,"1.73",".444","31.62",10.9,11.6,106.2,0.486,42.6,90,120
"620","2022","Alfredo Lopez","DUR","CF",82,297,349,96,2,3,79,66,"1.20",".454","297.00",10.6,12.6,118.9,0.461,43.4,100,87
"621","2022","Cristian Mejia","VER","X",11,30,34,15,0,0,7,3,"2.33",".500","15.00",23.5,8.8,37.5,0.501,5.4,11,105
"622","2022","Jose Robledo","MTY","X",5,5,5,1,0,0,1,0,"1.00",".500","5.00",40,0,0,0.605,1.2,2,98
"623","2022","Jesus Fabela","MEX","CF",48,167,200,73,2,2,45,35,"1.29",".431","23.86",12.5,12,96,0.487,29.3,62,79
"624","2022","Justin Byrd","OAX","LF",34,116,139,52,0,2,27,25,"1.08",".429","19.33",15.1,14.4,95.2,0.485,20.1,43,93
"625","2022","Aneury Tavárez","DUR","DH",85,325,378,126,0,3,91,68,"1.34",".393","14.13",11.4,8.5,74.4,0.503,60.4,122,88
"626","2022","Missael Rivera","SLT","SS",87,302,350,117,3,4,74,65,"1.14",".440","30.20",15.1,10.9,71.7,0.46,43.2,100,97
"627","2022","Sebastián Elizalde","MTY","RF",83,299,354,107,1,5,57,88,"0.65",".417","24.92",12.7,13.3,104.4,0.47,46.7,104,97
"628","2022","Ruben Sosa","CAM","LF",11,34,42,7,1,0,11,2,"5.50",".520","-.--",21.4,14.3,66.7,0.444,4.6,11,113
"629","2022","Ramón Flores","MEX","RF",78,288,334,146,0,4,72,66,"1.09",".420","28.80",13.2,11.7,88.6,0.464,42.4,96,78
"630","2022","Michael Robles","DUR","3B",35,97,111,52,1,1,28,24,"1.17",".400","32.33",9,9,100,0.453,13,31,87
"631","2022","Nicholas Torres","LAG","RF",73,268,305,108,0,0,59,36,"1.64",".478","19.14",23.6,10.5,44.4,0.47,40.2,90,108
"632","2022","Rainel Rosario","SLT","CF",90,341,401,150,0,4,67,96,"0.70",".353","8.97",13.7,13.2,96.4,0.53,73.3,138,98
"633","2022","Leo Heras","TAB","RF",61,243,269,92,1,1,42,53,"0.79",".450","18.69",22.3,8.9,40,0.46,33.2,77,121
"634","2022","Nick Williams","TIJ","RF",84,319,372,133,0,2,63,64,"0.98",".412","11.00",20.4,9.4,46.1,0.517,63.9,124,112
"635","2022","Ramon Hernandez","TAB","3B",68,242,280,126,0,2,50,63,"0.79",".389","14.24",15,11.1,73.8,0.483,40,85,121
"636","2022","Tomo Otosaka","SLT","CF",78,305,358,91,5,2,104,60,"1.73",".407","101.67",10.1,10.3,102.8,0.432,35.7,94,97
"637","2022","Alex D. Mejia","MVA","2B",81,292,313,138,2,5,77,83,"0.93",".385","36.50",10.2,3.8,37.5,0.404,23.8,74,106
"638","2022","Bruce Maxwell","MVA","C",44,148,180,51,0,1,34,27,"1.26",".419","14.80",18.9,17.2,91.2,0.486,26.2,55,105
"639","2022","Kyle Martin","OAX","1B",39,121,152,44,0,2,14,32,"0.44",".361","6.72",21.7,17.1,78.8,0.568,32.7,57,95
"640","2022","Edgar Robles","LAG","CF",87,341,386,110,3,3,92,78,"1.18",".422","170.50",13.7,9.8,71.7,0.407,30.3,93,111
"641","2022","Juan Carlos Gamboa","MEX","SS",74,248,291,90,0,4,51,65,"0.78",".389","15.50",15.8,12.4,78.3,0.477,40.1,87,79
"642","2022","Angel Reyes","AGS","CF",61,219,250,109,0,5,51,47,"1.09",".391","13.69",18.8,9.6,51.1,0.467,32.3,73,95
"643","2022","Anthony Giansanti","VER","LF",53,186,203,89,0,0,51,35,"1.46",".403","20.67",16.3,7.4,45.5,0.444,22.3,55,107
"644","2022","Luis Sardinas","LAG","SS",84,312,358,134,1,5,81,77,"1.05",".379","19.50",13.4,10.1,75,0.45,41.1,99,109
