"","total_splits","season","num_teams","rank","games_played","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","ground_into_double_play","number_of_pitches","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","babip","ground_outs_to_airouts","catchers_interference","at_bats_per_home_run","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"14",450,"2024",1,14,43,22,38,16,5,0,6,17,11,2,45,3,".372",121,".434",".562",".996",0,1,"1.000",3,480,136,68,25,52,0,1,".394","0.58",0,"20.17",442,"Olmecas de Tabasco","/api/v1/teams/442",591977,"Felix Perez","/api/v1/people/591977","Felix","Perez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","10","Designated Hitter","Hitter","DH","ALL","season","hitting"
"15",450,"2024",1,15,12,12,3,11,6,0,4,7,6,0,13,0,".371",35,".463",".886","1.349",0,0,".---",1,159,41,31,9,14,0,0,".375","4.00",0,"8.75",6303,"Conspiradores de Queretaro","/api/v1/teams/6303",664583,"Beder Gutierrez","/api/v1/people/664583","Beder","Gutierrez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"16",450,"2024",1,15,87,101,93,72,19,2,7,28,39,0,130,4,".371",350,".440",".497",".937",5,4,".444",13,1450,395,174,44,115,2,0,".390","1.09",0,"50.00",528,"Rieleros de Aguascalientes","/api/v1/teams/528",541600,"Wilfredo Tovar","/api/v1/people/541600","Wilfredo","Tovar",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","6","Shortstop","Infielder","SS","ALL","season","hitting"
"17",450,"2024",1,17,26,17,17,33,1,0,19,26,13,1,34,0,".366",93,".439",".989","1.428",0,2,"1.000",3,400,107,92,36,44,0,1,".306","1.00",0,"4.90",579,"Guerreros de Oaxaca","/api/v1/teams/579",666464,"Jerar Encarnacion","/api/v1/people/666464","Jerar","Encarnacion",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","7","Outfielder","Outfielder","LF","ALL","season","hitting"
"18",450,"2024",1,18,31,14,7,9,3,0,1,12,4,0,19,1,".365",52,".421",".481",".902",0,0,".---",5,213,57,25,6,27,0,0,".462","2.00",0,"52.00",528,"Rieleros de Aguascalientes","/api/v1/teams/528",547375,"Sergio Perez","/api/v1/people/547375","Sergio","Perez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"19",450,"2024",1,19,70,55,71,64,17,2,10,45,55,4,95,1,".364",261,".470",".559","1.029",2,3,".600",6,1312,322,146,48,122,1,4,".405","0.77",0,"26.10",532,"Diablos Rojos del Mexico","/api/v1/teams/532",592530,"José Marmolejos","/api/v1/people/592530","José","Marmolejos",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","hitting"
"20",450,"2024",1,20,7,0,8,7,1,0,2,6,3,0,8,0,".364",22,".440",".682","1.122",0,1,"1.000",0,98,25,15,5,9,0,0,".429","0.00",0,"11.00",528,"Rieleros de Aguascalientes","/api/v1/teams/528",665940,"Moisés Castillo","/api/v1/people/665940","Moisés","Castillo",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"21",450,"2024",1,21,87,104,97,67,25,5,15,41,23,1,133,3,".361",368,".402",".579",".981",3,1,".250",5,1548,401,213,57,151,5,2,".376","1.07",0,"24.53",579,"Guerreros de Oaxaca","/api/v1/teams/579",506560,"Alexi Amarista","/api/v1/people/506560","Alexi","Amarista",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","hitting"
"22",450,"2024",1,22,52,12,7,9,3,1,1,8,4,0,14,0,".359",39,".419",".564",".983",0,0,".---",0,166,45,22,6,11,2,0,".433","1.71",0,"39.00",562,"Sultanes de Monterrey","/api/v1/teams/562",696535,"Brayan Mendoza","/api/v1/people/696535","Brayan","Mendoza",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","8","Outfielder","Outfielder","CF","ALL","season","hitting"
"23",450,"2024",2,23,79,68,71,46,18,1,7,48,34,5,103,2,".358",288,".426",".500",".926",1,2,".667",7,1217,326,144,48,109,0,2,".409","0.96",0,"41.14",434,"Bravos de Leon","/api/v1/teams/434",625329,"Henry Urrutia","/api/v1/people/625329","Henry","Urrutia",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","hitting"
"24",450,"2024",1,24,9,2,3,2,0,0,0,4,1,0,5,1,".357",14,".438",".357",".795",1,2,".667",0,50,16,5,1,9,0,0,".500","0.67",0,"-.--",560,"Acereros del Norte","/api/v1/teams/560",800096,"Aldo Nunez","/api/v1/people/800096","Aldo","Nunez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","hitting"
