"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"77","BRAULIO TORRES-PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"78","BRAXTON MARTINEZ",43,6,10,3,0,3,9,8,11,1,0,0,0
"79","BRAYAN QUINTERO",1,0,0,0,0,0,0,0,0,0,0,0,0
"80","BRIAN HERNANDEZ",63,6,22,7,0,0,14,6,2,1,0,1,0
"81","BRYAN EVANS",0,0,0,0,0,0,0,0,0,0,0,0,0
"82","C.J. RETHERFORD",54,5,12,2,0,1,2,2,13,0,0,0,0
"83","CARLOS ALBERTO GASTELUM",64,10,12,3,0,0,6,5,10,1,0,1,0
"84","CARLOS ALVAREZ",9,1,1,0,0,0,1,1,3,0,0,0,0
"85","CARLOS CHAVEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"86","CARLOS COLMENARES",49,4,10,3,0,0,2,5,11,0,0,0,1
"87","CARLOS CORPORAN",29,6,11,1,0,1,9,7,6,1,0,0,0
"88","CARLOS DE LEON",0,0,0,0,0,0,0,0,0,0,0,0,0
"89","CARLOS EDUARDO GONZALEZ",3,1,0,0,0,0,0,1,1,0,0,0,0
"90","CARLOS FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"91","CARLOS FIGUEROA",61,14,15,4,0,1,7,12,6,0,6,0,0
"92","CARLOS FISHER",0,0,0,0,0,0,0,0,0,0,0,0,0
"93","CARLOS GARZON",13,8,5,0,0,1,3,2,3,0,0,0,1
"94","CARLOS HERNANDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"95","CARLOS LOPEZ",50,9,14,2,1,2,11,9,9,1,0,3,1
"96","CARLOS MENDIVIL",11,1,3,0,0,0,1,0,2,0,0,0,0
"97","CARLOS MORALES",24,1,4,0,0,0,0,2,8,1,1,0,0
"98","CARLOS MUNOZ",49,6,11,1,0,0,5,5,11,1,0,0,0
"99","CARLOS PAULINO",59,11,19,5,1,2,21,4,12,4,1,1,0
"100","CARLOS PECH",0,0,0,0,0,0,0,0,0,0,0,0,0
"101","CARLOS PENUELAS",29,3,4,1,0,0,2,2,4,0,0,1,3
"102","CARLOS RIVERO",58,6,14,5,0,1,8,6,15,0,0,0,0
"103","CARLOS RODRIGUEZ",47,5,10,3,0,0,3,3,13,0,0,0,2
"104","CARLOS TELLER",0,0,0,0,0,0,0,0,0,0,0,0,0
"105","CARLOS ZUNIGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"106","CEDRIC HUNTER",64,12,18,3,0,3,12,3,15,1,1,1,0
"107","CESAR TAPIA",47,5,11,3,0,0,5,4,10,0,1,1,3
"108","CESAR VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"109","CHAD GAUDIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"110","CHRIS ROBERSON",54,10,12,4,0,2,5,3,7,1,1,1,0
"111","CHRIS ROCHA",0,0,0,0,0,0,0,0,0,0,0,0,0
"112","CHRIS VALENCIA",36,3,10,1,0,0,5,2,8,1,2,0,2
"113","CHRISTIAN ZAZUETA",31,5,9,3,0,0,6,1,7,0,2,1,0
"114","CIRO NORZAGARAY",4,1,0,0,0,0,0,2,0,0,0,0,0
"115","CONFESOR LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"116","COREY BROWN",50,8,13,0,1,3,8,12,12,0,2,0,0
"117","CRISTHIAN PRESICHI",49,10,17,2,0,2,11,7,7,0,2,2,1
"118","CYLE HANKERD",56,8,13,4,0,3,9,9,9,2,0,0,0
"119","DAN JOHNSON",48,9,10,1,0,3,9,10,8,2,0,0,0
"120","DANIEL BRITO",0,0,0,0,0,0,0,0,0,0,0,0,0
"121","DANIEL CORNEJO",19,2,5,2,1,0,2,2,2,0,0,0,0
