"","Season","Name","Team","POS","GP","GS","INN","A","PO","E","F%","DP","TP","CS","SB","CS%","PB","PK"
"53","2024","Engel Beltre","CAM","CF",5,5,"42.0",0,9,0,"1.000",0,0,NA,NA,NA,NA,NA
"54","2024","Carlos Betancourt","OAX","P",7,0,"6.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"55","2024","Daniel Bies","LEO","P",23,5,"40.0",4,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"56","2024","Bryan Blanton","SLT","P",13,0,"11.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"57","2024","Esteban Bloch","OAX","P",48,0,"57.0",7,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"58","2024","Anthony Boix","CHI","P",5,1,"5.1",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"59","2024","Ronald Bolaños","LAG","P",9,7,"26.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"60","2024","Rigoberto Borbolla","TIG","P",23,0,"19.0",0,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"61","2024","Ernesto Borges","CAM","P",18,0,"29.1",3,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"62","2024","Manuel Boscan","DUR","1B",3,3,"26.0",3,30,0,"1.000",4,0,NA,NA,NA,NA,NA
"63","2024","Wilfredo Boscan","QRO","P",15,12,"52.0",6,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"64","2024","Michael Boyle","YUC","P",22,0,"19.2",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"65","2024","Silvino Bracho","TIJ","P",44,0,"41.2",2,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"66","2024","Bobby Bradley","TIJ","RF",4,3,"23.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"67","2024","Edgar Bravo","CAM","1B",1,0,"1.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"68","2024","Edgar Bravo","CAM","CF",6,3,"26.2",0,7,0,"1.000",0,0,NA,NA,NA,NA,NA
"69","2024","Edgar Bravo","CAM","RF",15,11,"98.0",0,36,0,"1.000",0,0,NA,NA,NA,NA,NA
"70","2024","Jose Bravo","MEX","P",11,11,"52.1",7,7,0,"1.000",0,0,NA,NA,NA,NA,NA
"71","2024","Liarvis Breto","CHI","P",39,0,"34.1",4,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"72","2024","Lewis Brinson","TAB","LF",6,2,"23.0",0,7,0,"1.000",0,0,NA,NA,NA,NA,NA
"73","2024","Lewis Brinson","AGS","CF",1,1,"9.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"74","2024","Lewis Brinson","AGS","RF",4,4,"32.0",0,8,0,"1.000",0,0,NA,NA,NA,NA,NA
"75","2024","Geoff Broussard","LAR","P",45,0,"42.0",5,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"76","2024","Victor Buelna","VER","P",14,0,"15.2",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"77","2024","Enrique Burgos","OAX","P",9,0,"10.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"78","2024","Samuel Burgos","MVA","P",3,0,"5.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"79","2024","Fernando Burgueno","TIG","P",16,0,"21.2",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"80","2024","Sergio Burruel","CHI","C",34,33,"270.2",10,221,0,"1.000",2,0,9,15,0.375,2,0
"81","2024","Carlos Bustamante","MVA","P",25,0,"22.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"82","2024","Omar Bustamante","MVA","C",2,1,"4.0",0,4,0,"1.000",0,0,0,3,0,0,0
"83","2024","Leobaldo Cabrera","AGS","CF",9,7,"65.0",0,21,0,"1.000",0,0,NA,NA,NA,NA,NA
"84","2024","Leobaldo Cabrera","AGS","RF",2,2,"15.0",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"85","2024","Ramón Cabrera","YUC","C",3,3,"27.0",5,22,0,"1.000",1,0,1,0,1,0,0
"86","2024","Angel Camacho","YUC","1B",2,0,"4.0",0,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"87","2024","Angel Camacho","YUC","3B",5,3,"33.0",9,4,0,"1.000",2,0,NA,NA,NA,NA,NA
"88","2024","Angel Camacho","YUC","SS",7,4,"40.0",14,6,0,"1.000",0,0,NA,NA,NA,NA,NA
"89","2024","Angel Camacho","YUC","LF",12,0,"24.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"90","2024","Angel Camacho","YUC","RF",8,1,"22.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"91","2024","Jose Camacho","LEO","1B",2,0,"5.1",1,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"92","2024","Juan Camacho","JAL","C",6,5,"37.1",2,39,0,"1.000",1,0,1,5,0.166666666666667,0,0
"93","2024","A.J. Candelario","QRO","P",35,0,"36.0",0,2,0,"1.000",2,0,NA,NA,NA,NA,NA
"94","2024","Malquin Canelo","VER","2B",3,2,"20.0",8,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"95","2024","Malquin Canelo","VER","3B",4,1,"15.0",4,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"96","2024","Malquin Canelo","VER","SS",3,0,"5.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"97","2024","Roberto Caro","TIG","LF",18,17,"146.1",4,33,0,"1.000",1,0,NA,NA,NA,NA,NA
"98","2024","Roberto Caro","TIG","CF",4,4,"37.1",1,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"99","2024","Roberto Caro","TIG","RF",11,10,"89.0",0,16,0,"1.000",0,0,NA,NA,NA,NA,NA
"100","2024","Alberto Carreon","VER","2B",8,6,"54.0",16,13,0,"1.000",4,0,NA,NA,NA,NA,NA
"101","2024","Alberto Carreon","VER","3B",2,0,"3.0",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"102","2024","Raul Carrillo","TIG","P",16,14,"63.0",4,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"103","2024","Erick Casillas","VER","P",43,0,"39.2",5,5,0,"1.000",2,0,NA,NA,NA,NA,NA
"104","2024","Antonio Castaneda","OAX","LF",6,0,"17.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"105","2024","Gerardo Castaneda","PUE","C",3,0,"4.0",0,4,0,"1.000",0,0,0,0,NA,0,0
"106","2024","Ryan Castellani","LAG","P",7,7,"27.0",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"107","2024","Pedro Castellano","OAX","2B",2,0,"3.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"108","2024","Pedro Castellano","OAX","SS",5,0,"6.1",4,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"109","2024","Enrique Castillo","MTY","P",14,0,"17.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
