"","Season","Name","Team","POS","GP","GS","INN","A","PO","E","F%","DP","TP","CS","SB","CS%","PB","PK"
"228","2024","Ti'Quan Forbes","QRO","SS",6,2,"30.2",17,3,0,"1.000",4,0,NA,NA,NA,NA,NA
"229","2024","Antonio Frias","CAM","P",13,4,"22.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"230","2024","Jose Frutos","OAX","P",24,0,"26.1",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"231","2024","Balbino Fuenmayor","MVA","1B",6,6,"48.0",4,47,0,"1.000",4,0,NA,NA,NA,NA,NA
"232","2024","Steven Fuentes","JAL","P",18,11,"53.0",1,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"233","2024","Jose Gaitan","VER","CF",3,0,"9.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"234","2024","Jose Gaitan","VER","RF",9,7,"59.0",0,11,0,"1.000",0,0,NA,NA,NA,NA,NA
"235","2024","Jesse Galindo","TIG","P",27,0,"29.2",4,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"236","2024","Pablo Garabitos","CHI","P",7,3,"17.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"237","2024","Alan Garcia","LEO","LF",4,2,"20.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"238","2024","Alan Garcia","LEO","CF",2,2,"19.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"239","2024","Anhuar Garcia","YUC","P",11,0,"12.2",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"240","2024","Bryan Garcia","JAL","P",18,0,"15.2",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"241","2024","Edson Garcia","TIG","2B",3,2,"13.0",6,4,0,"1.000",2,0,NA,NA,NA,NA,NA
"242","2024","Edson Garcia","TIG","LF",10,6,"59.0",1,11,0,"1.000",0,0,NA,NA,NA,NA,NA
"243","2024","Freylin Garcia","PUE","P",10,0,"9.1",2,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"244","2024","Manny Garcia","CHI","LF",14,14,"114.0",1,29,0,"1.000",0,0,NA,NA,NA,NA,NA
"245","2024","Manny Garcia","CHI","CF",2,2,"11.0",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"246","2024","Mario Garcia","AGS","P",4,0,"5.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"247","2024","Pedro Garcia","PUE","P",29,0,"26.1",4,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"248","2024","Sebastian Garcia","OAX","2B",7,0,"11.0",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"249","2024","Anthony García","PUE","LF",4,4,"31.0",0,10,0,"1.000",0,0,NA,NA,NA,NA,NA
"250","2024","Anthony García","AGS","1B",11,7,"56.0",4,48,0,"1.000",9,0,NA,NA,NA,NA,NA
"251","2024","Edgar García","MVA","P",12,0,"7.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"252","2024","Jason García","OAX","P",16,0,"14.0",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"253","2024","Jonas Garibay","VER","P",31,0,"33.1",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"254","2024","Saul Garza","CHI","RF",1,1,"9.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"255","2024","Saul Garza","TIJ","1B",19,16,"142.0",17,124,0,"1.000",19,0,NA,NA,NA,NA,NA
"256","2024","Carlos Alberto Gastelum","TIG","2B",1,1,"1.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"257","2024","Christopher Gastelum","JAL","3B",4,0,"8.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"258","2024","Christopher Gastelum","JAL","SS",7,0,"13.2",7,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"259","2024","Christopher Gastelum","JAL","LF",1,0,"3.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"260","2024","Christopher Gastelum","JAL","RF",2,1,"10.2",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"261","2024","Leo German","PUE","LF",3,1,"10.2",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"262","2024","Leo German","PUE","RF",1,1,"9.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"263","2024","Anthony Giansanti","TIJ","CF",2,2,"18.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"264","2024","Anthony Giansanti","TIJ","RF",13,8,"62.0",1,15,0,"1.000",1,0,NA,NA,NA,NA,NA
"265","2024","Robbie Glendinning","TAB","1B",3,1,"16.0",0,13,0,"1.000",1,0,NA,NA,NA,NA,NA
"266","2024","Amilcar Gomez","AGS","LF",6,0,"12.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"267","2024","Amilcar Gomez","AGS","RF",16,1,"27.1",0,9,0,"1.000",0,0,NA,NA,NA,NA,NA
"268","2024","Yapson Gomez","DUR","P",6,0,"3.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"269","2024","Alejandro Gonzalez","OAX","RF",5,1,"13.1",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"270","2024","Felipe Gonzalez","LEO","P",15,12,"55.2",5,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"271","2024","Jorge Gonzalez","AGS","1B",1,0,"3.0",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"272","2024","Jorge Gonzalez","AGS","RF",7,3,"28.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"273","2024","Santiago Gonzalez","DUR","2B",1,0,"0.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"274","2024","Santiago Gonzalez","DUR","LF",6,4,"39.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"275","2024","Santiago Gonzalez","DUR","RF",5,0,"11.0",1,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"276","2024","Yariel Gonzalez","OAX","1B",4,0,"9.0",1,12,0,"1.000",1,0,NA,NA,NA,NA,NA
"277","2024","Yariel Gonzalez","OAX","2B",1,1,"9.0",3,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"278","2024","Harol González","TIG","P",10,10,"44.0",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"279","2024","Severino González","JAL","P",25,0,"23.0",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"280","2024","Cade Gotta","LAR","LF",3,3,"25.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"281","2024","Ashton Goudeau","AGS","P",9,9,"31.1",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"282","2024","Ariel Gracia","CHI","P",31,3,"43.2",3,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"283","2024","A.J. Griffin","TIG","P",8,4,"19.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"284","2024","Ryan Grotjohn","TAB","SS",2,2,"15.0",8,7,0,"1.000",2,0,NA,NA,NA,NA,NA
"285","2024","Zac Grotz","MVA","P",14,14,"76.2",10,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"286","2024","Norwith Gudiño","MTY","P",15,10,"48.2",5,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"287","2024","Deolis Guerra","SLT","P",42,0,"37.1",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"288","2024","Alberto Guerrero","LEO","P",30,0,"42.2",3,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"289","2024","Jesus Guerrero","LEO","C",6,5,"39.0",4,38,0,"1.000",0,0,3,7,0.3,2,0
"290","2024","Adrian Gusman","QRO","P",8,0,"9.1",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"291","2024","Alfred Gutierrez","PUE","P",47,0,"44.0",3,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"292","2024","Beder Gutierrez","QRO","CF",5,3,"31.0",0,6,0,"1.000",0,0,NA,NA,NA,NA,NA
"293","2024","Beder Gutierrez","QRO","RF",5,5,"43.0",0,9,0,"1.000",0,0,NA,NA,NA,NA,NA
"294","2024","David Gutierrez","TIJ","P",39,0,"36.2",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"295","2024","Demetrio Gutierrez","OAX","P",23,3,"42.0",8,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"296","2024","Gabriel Gutierrez","MEX","C",27,23,"201.1",12,167,0,"1.000",2,0,4,13,0.235294117647059,2,0
"297","2024","Vladimir Gutierrez","PUE","P",8,8,"40.0",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"298","2024","Kelvin Gutiérrez","QRO","1B",1,0,"1.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"299","2024","Gael Guzman","LAG","C",8,2,"18.2",2,21,0,"1.000",0,0,2,1,0.666666666666667,0,0
"300","2024","Marco Guzman","CAM","2B",2,2,"14.0",4,4,0,"1.000",2,0,NA,NA,NA,NA,NA
"301","2024","Marco Guzman","CAM","3B",1,1,"8.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"302","2024","Miguel Guzman","PUE","1B",43,13,"177.1",15,177,0,"1.000",25,0,NA,NA,NA,NA,NA
"303","2024","Miguel Guzman","PUE","RF",13,12,"93.2",1,24,0,"1.000",1,0,NA,NA,NA,NA,NA
"304","2024","Juan Gámez","MTY","P",27,0,"23.1",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"305","2024","Tom Hackimer","LAR","P",47,0,"45.0",8,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"306","2024","Brooks Hall","MEX","P",3,3,"13.0",1,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"307","2024","Billy Hamilton","JAL","CF",60,59,"486.2",1,132,0,"1.000",0,0,NA,NA,NA,NA,NA
"308","2024","Alen Hanson","QRO","LF",3,2,"13.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"309","2024","Alen Hanson","QRO","RF",2,1,"15.1",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"310","2024","Scott Harkin","CAM","P",6,6,"27.0",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"311","2024","Esteban Haro","JAL","P",23,0,"19.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"312","2024","Alonzo Harris","LAR","CF",5,1,"16.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"313","2024","Matt Hartman","JAL","P",11,7,"25.1",2,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"314","2024","Kent Hasler","DUR","P",36,0,"32.1",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"315","2024","Adeiny Hechavarría","TAB","3B",9,6,"55.1",10,5,0,"1.000",2,0,NA,NA,NA,NA,NA
"316","2024","Adeiny Hechavarría","TAB","RF",1,1,"9.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"317","2024","Nolberto Henriquez","OAX","P",2,0,"1.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"318","2024","Leo Heras","TAB","LF",16,11,"105.2",0,31,0,"1.000",0,0,NA,NA,NA,NA,NA
"319","2024","Leo Heras","TAB","CF",8,7,"63.1",2,19,0,"1.000",0,0,NA,NA,NA,NA,NA
"320","2024","Alemao Hernandez","MEX","P",18,4,"41.0",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"321","2024","Arnaldo Hernandez","LAR","P",37,0,"34.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"322","2024","David Hernandez","LEO","P",1,0,"0.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"323","2024","Francisco Hernandez","LAG","C",1,0,"1.0",0,1,0,"1.000",0,0,0,0,NA,0,0
"324","2024","Francisco Hernandez","LAG","LF",10,1,"22.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"325","2024","Francisco Hernandez","LAG","CF",6,0,"14.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"326","2024","Francisco Hernandez","LAG","RF",14,6,"64.0",0,12,0,"1.000",0,0,NA,NA,NA,NA,NA
"327","2024","Josuan Hernandez","TIG","3B",1,1,"7.0",3,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"328","2024","Josuan Hernandez","TIG","LF",1,0,"2.0",1,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"329","2024","Kenny Hernandez","PUE","P",26,1,"24.0",1,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"330","2024","Ramon Hernandez","MVA","1B",6,2,"28.2",0,30,0,"1.000",3,0,NA,NA,NA,NA,NA
"331","2024","Ricardo Hernandez","DUR","P",7,0,"6.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"332","2024","Yadiel Hernandez","LAR","1B",4,2,"18.0",2,13,0,"1.000",1,0,NA,NA,NA,NA,NA
"333","2024","Ariel Hernández","JAL","P",7,0,"6.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"334","2024","Anthony Herrera","AGS","P",9,0,"10.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"335","2024","Carlos Herrera","CHI","2B",3,3,"24.0",7,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"336","2024","Kurt Heyer","SLT","P",29,0,"27.0",5,7,0,"1.000",0,0,NA,NA,NA,NA,NA
"337","2024","Jesus Higuera","CAM","SS",2,2,"16.0",5,4,0,"1.000",3,0,NA,NA,NA,NA,NA
"338","2024","Yaramil Hiraldo","DUR","P",24,0,"22.0",3,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"339","2024","Adam Hofacket","LEO","P",38,0,"31.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"340","2024","Jesus Huerta","PUE","P",29,0,"29.0",5,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"341","2024","Niko Hulsizer","TIG","RF",7,7,"52.1",0,17,0,"1.000",0,0,NA,NA,NA,NA,NA
"342","2024","Alfredo Hurtado","JAL","1B",1,0,"2.2",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"343","2024","Alfredo Hurtado","JAL","2B",7,0,"9.0",3,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"344","2024","Alfredo Hurtado","JAL","3B",7,3,"29.0",11,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"345","2024","Alfredo Hurtado","JAL","SS",1,0,"1.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"346","2024","Jeff Ibarra","LAG","P",39,0,"28.1",5,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"347","2024","Walter Ibarra","YUC","1B",3,2,"19.0",0,15,0,"1.000",0,0,NA,NA,NA,NA,NA
"348","2024","Walter Ibarra","YUC","2B",7,2,"30.0",10,3,0,"1.000",2,0,NA,NA,NA,NA,NA
"349","2024","Walter Ibarra","YUC","3B",1,0,"2.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"350","2024","Ivan Izaguirre","SLT","P",17,0,"20.0",1,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"351","2024","Marco Jaime","AGS","3B",1,0,"2.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"352","2024","Odalvi Javier","OAX","P",29,7,"52.2",7,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"353","2024","Williams Jerez","OAX","P",32,1,"27.0",2,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"354","2024","Domingo Jimenez","PUE","P",18,0,"16.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"355","2024","Isaac Jimenez","DUR","P",37,0,"33.0",2,4,0,"1.000",1,0,NA,NA,NA,NA,NA
"356","2024","Keone Kela","LAR","P",42,0,"40.0",4,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"357","2024","Kevin Kelly","MTY","P",16,11,"52.0",6,3,0,"1.000",2,0,NA,NA,NA,NA,NA
"358","2024","Gunnar Kines","DUR","P",10,4,"23.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"359","2024","Nolan Kingham","MTY","P",14,8,"42.0",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"360","2024","Max Kuhns","LEO","P",41,1,"39.0",2,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"361","2024","Alay Lago","TIG","3B",7,6,"55.0",6,6,0,"1.000",1,0,NA,NA,NA,NA,NA
"362","2024","Alay Lago","TIG","SS",2,1,"11.0",2,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"363","2024","Mitch Lambson","SLT","P",11,8,"40.2",7,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"364","2024","Albert Lara","LAG","3B",11,8,"73.0",13,7,0,"1.000",4,0,NA,NA,NA,NA,NA
"365","2024","Stevie Ledesma","MVA","P",5,2,"10.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"366","2024","Khalil Lee","CHI","CF",2,2,"16.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"367","2024","Julian Leon","LAG","C",32,29,"228.0",8,177,0,"1.000",0,0,4,23,0.148148148148148,0,0
"368","2024","Alberto Leyva","CHI","P",29,0,"24.2",5,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"369","2024","Gabriel Lino","OAX","1B",7,3,"27.2",3,27,0,"1.000",5,0,NA,NA,NA,NA,NA
"370","2024","Elvin Liriano","MVA","P",22,3,"23.1",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"371","2024","Walker Lockett","TAB","P",3,3,"14.0",1,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"372","2024","Shed Long Jr.","TAB","2B",2,2,"12.0",4,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"373","2024","Derrick Loop","SLT","P",37,0,"30.1",6,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"374","2024","Alan Lopez","LEO","1B",3,0,"7.0",1,7,0,"1.000",0,0,NA,NA,NA,NA,NA
"375","2024","Alfredo Lopez","DUR","2B",2,0,"3.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"376","2024","Elmer Lopez","DUR","LF",2,0,"4.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"377","2024","Elmer Lopez","DUR","CF",6,1,"14.0",0,6,0,"1.000",0,0,NA,NA,NA,NA,NA
"378","2024","Irving Lopez","PUE","2B",19,18,"143.2",42,43,0,"1.000",17,0,NA,NA,NA,NA,NA
"379","2024","Ulises Lopez","AGS","P",1,0,"1.0",0,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"380","2024","Zac Lowther","TIJ","P",5,4,"24.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"381","2024","Jesus Loya","CHI","1B",1,1,"9.0",1,6,0,"1.000",1,0,NA,NA,NA,NA,NA
"382","2024","Jesus Loya","CHI","LF",19,18,"146.0",1,26,0,"1.000",0,0,NA,NA,NA,NA,NA
"383","2024","Ivan Lozano","VER","2B",2,0,"3.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"384","2024","Dawel Lugo","TAB","2B",1,1,"9.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"385","2024","Francisco Lugo","TAB","1B",5,1,"13.1",1,15,0,"1.000",1,0,NA,NA,NA,NA,NA
"386","2024","Francisco Lugo","TAB","LF",6,2,"27.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"387","2024","Francisco Lugo","TAB","RF",8,4,"39.0",0,8,0,"1.000",0,0,NA,NA,NA,NA,NA
"388","2024","Rito Lugo","PUE","P",12,7,"27.2",5,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"389","2024","Eduardo Luna","LAR","C",3,0,"5.0",0,7,0,"1.000",0,0,0,0,NA,0,0
"390","2024","Jose Luna","VER","LF",5,2,"24.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"391","2024","Jose Luna","VER","RF",4,0,"8.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"392","2024","Jose Luna","AGS","P",27,0,"22.2",5,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"393","2024","Yoan López","LAG","P",49,0,"53.1",6,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"394","2024","Diago Machado","TIJ","RF",3,0,"6.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"395","2024","Irving Machuca","CAM","P",32,0,"33.1",3,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"396","2024","Vimael Machín","JAL","1B",3,3,"27.0",0,31,0,"1.000",3,0,NA,NA,NA,NA,NA
"397","2024","Diego Madero","SLT","2B",8,5,"46.2",17,10,0,"1.000",3,0,NA,NA,NA,NA,NA
"398","2024","Diego Madero","SLT","SS",2,0,"8.0",2,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"399","2024","Terance Marin","SLT","P",4,0,"6.2",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"400","2024","Emilio Marquez","PUE","P",9,5,"17.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"401","2024","Jose Isidro Marquez","TIG","P",38,0,"29.2",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"402","2024","Luis Marquez","VER","P",4,0,"4.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"403","2024","Victor Marquez","DUR","2B",2,0,"4.0",2,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"404","2024","Ignacio Marrujo","CAM","P",15,0,"13.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"405","2024","Alberth Martinez","LEO","LF",18,11,"111.2",0,19,0,"1.000",0,0,NA,NA,NA,NA,NA
"406","2024","Jorge Martinez","QRO","P",16,11,"70.0",4,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"407","2024","Jose Martinez","LAR","2B",2,1,"2.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"408","2024","Luis Martinez","AGS","P",3,1,"7.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"409","2024","Luis Carlos Martinez","SLT","2B",2,0,"7.0",3,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"410","2024","R.J. Martinez","TAB","P",26,5,"40.1",5,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"411","2024","Rogelio Martinez","CHI","P",31,0,"36.2",2,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"412","2024","Yordi Martinez","CAM","LF",10,0,"26.1",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"413","2024","Yordi Martinez","CAM","CF",2,1,"8.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"414","2024","Yordi Martinez","CAM","RF",9,3,"35.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"415","2024","Carlos Martínez","CHI","1B",4,4,"38.0",3,33,0,"1.000",4,0,NA,NA,NA,NA,NA
"416","2024","José A. Martínez","YUC","1B",3,1,"17.0",2,16,0,"1.000",2,0,NA,NA,NA,NA,NA
"417","2024","José A. Martínez","YUC","LF",11,11,"77.0",1,12,0,"1.000",0,0,NA,NA,NA,NA,NA
"418","2024","Oliver Mateo","TAB","P",5,0,"5.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"419","2024","Seuly Matias","CHI","CF",14,14,"107.2",0,35,0,"1.000",0,0,NA,NA,NA,NA,NA
"420","2024","J.J. Matijevic","DUR","RF",2,2,"19.0",0,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"421","2024","Zach Matson","CAM","P",18,17,"76.2",8,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"422","2024","Jack Mayfield","TIJ","3B",2,1,"13.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"423","2024","Patrick Mazeika","MEX","C",13,12,"114.0",4,119,0,"1.000",1,0,3,5,0.375,1,1
"424","2024","Kevin McGovern","JAL","P",6,3,"14.1",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"425","2024","Thomas McIlraith","LAG","P",40,0,"43.1",7,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"426","2024","Ian McKinney","MVA","P",5,5,"18.1",1,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"427","2024","Carlos Medina","MTY","P",2,0,"3.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"428","2024","Jose Carlos Medina","AGS","P",16,2,"23.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"429","2024","Luis Medina","LEO","2B",9,3,"33.1",14,10,0,"1.000",3,0,NA,NA,NA,NA,NA
"430","2024","Luis Medina","LEO","3B",2,0,"3.2",2,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"431","2024","Luis Medina","PUE","2B",3,0,"5.0",2,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"432","2024","Kevin Medrano","LAR","3B",2,0,"3.0",1,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"433","2024","Ronald Medrano","AGS","P",15,15,"81.1",12,5,0,"1.000",1,0,NA,NA,NA,NA,NA
"434","2024","Alex D. Mejia","SLT","1B",4,1,"11.1",1,12,0,"1.000",2,0,NA,NA,NA,NA,NA
"435","2024","Cristian Mejia","OAX","C",8,4,"34.0",3,24,0,"1.000",0,0,3,1,0.75,0,0
"436","2024","Manuel Melendez","VER","CF",2,0,"5.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"437","2024","Keury Mella","MTY","P",33,0,"29.2",4,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"438","2024","Ozzie Mendez","DUR","P",39,0,"22.0",3,0,0,"1.000",1,0,NA,NA,NA,NA,NA
"439","2024","Roman Mendez","QRO","P",46,0,"43.1",11,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"440","2024","Brayan Mendoza","MTY","RF",5,0,"11.0",1,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"441","2024","Drew Mendoza","CHI","1B",1,1,"8.0",0,7,0,"1.000",0,0,NA,NA,NA,NA,NA
"442","2024","Drew Mendoza","CHI","LF",3,2,"18.0",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"443","2024","Jonathan Mendoza","CAM","3B",1,0,"1.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"444","2024","Daniel Mercado","PUE","C",6,1,"12.0",0,5,0,"1.000",0,0,0,0,NA,0,0
"445","2024","Melvin Mercedes","TIG","CF",15,9,"81.0",0,23,0,"1.000",0,0,NA,NA,NA,NA,NA
"446","2024","Yermín Mercedes","SLT","RF",2,0,"7.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"447","2024","José Mesa Jr.","VER","P",23,0,"24.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"448","2024","Mario Meza","SLT","P",36,0,"31.0",4,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"449","2024","Kevin Milam","TAB","P",6,2,"11.1",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"450","2024","Tommy Milone","SLT","P",14,13,"63.0",7,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"451","2024","Javier Mirabal","LEO","P",11,0,"14.1",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"452","2024","Aríel Miranda","CAM","P",15,15,"72.2",2,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"453","2024","Luis Miranda","OAX","P",16,16,"72.0",5,6,0,"1.000",0,0,NA,NA,NA,NA,NA
"454","2024","Daniel Missaki","MEX","P",5,0,"6.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"455","2024","Hector Mora","CHI","3B",2,0,"2.1",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"456","2024","Jose Mora","MVA","P",7,0,"9.1",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"457","2024","Juan Mora","MVA","2B",9,5,"50.0",17,8,0,"1.000",4,0,NA,NA,NA,NA,NA
