"","Year","Name","Team","POS","GP","GS","INN","TC","RF/G","RF/9","TE","CERA","CI"
"64","2019","Arquimedes Caminero","MEX","P",33,0,"38.0",6,"0.18","1.42",0,NA,NA
"65","2019","Francisco Campos","CAM","P",9,7,"40.0",11,"1.22","2.48",0,NA,NA
"66","2019","Vicente Campos","PUE","P",11,0,"8.2",1,"0.09","1.13",0,NA,NA
"67","2019","Gilberto Carrera","MTY","2B",9,1,"28.0",17,"1.89","5.46",0,NA,NA
"68","2019","Steve Carrillo","TAB","1B",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"69","2019","Anthony Carter","AGS","P",51,0,"61.1",10,"0.20","1.48",0,NA,NA
"70","2019","Erick Casillas","OAX","P",55,0,"44.1",3,"0.05","0.61",0,NA,NA
"71","2019","Jonathan Castellanos","PUE","P",25,12,"67.1",15,"0.60","2.01",0,NA,NA
"72","2019","Saul Castellanos","LAG","P",21,9,"59.0",6,"0.29","0.92",0,NA,NA
"73","2019","Jorge Castillo","TIG","P",25,23,"119.1",31,"1.24","2.34",0,NA,NA
"74","2019","Julian Castro","AGS","SS",3,0,"8.0",5,"1.67","5.63",0,NA,NA
"75","2019","Leandro Castro","TIJ","CF",1,1,"8.0",1,"1.00","1.13",0,NA,NA
"76","2019","Amaury Cazana","LAR","LF",3,1,"14.0",1,"0.33","0.64",0,NA,NA
"77","2019","Amaury Cazana","LAR","RF",5,2,"20.0",8,"1.60","3.60",0,NA,NA
"78","2019","Alejandro Chavarria","LAG","P",52,0,"35.1",1,"0.02","0.26",0,NA,NA
"79","2019","Carlos Chavez","AGS","P",24,5,"44.2",5,"0.21","1.02",0,NA,NA
"80","2019","Manuel Chavez","YUC","P",44,0,"22.2",2,"0.05","0.82",0,NA,NA
"81","2019","Matt Clark","LEO","RF",7,6,"54.0",17,"2.43","2.83",0,NA,NA
"82","2019","Maikel Cleto","AGS","P",53,0,"50.0",7,"0.13","1.26",0,NA,NA
"83","2019","Aaron Colmenares","TAB","3B",6,4,"43.0",19,"3.17","3.98",0,NA,NA
"84","2019","Rafael Cordova","TAB","P",34,0,"29.0",6,"0.18","1.86",0,NA,NA
"85","2019","Daniel Cornejo","LEO","LF",4,2,"17.0",3,"0.75","1.59",0,NA,NA
"86","2019","Daniel Cornejo","LEO","RF",24,21,"185.0",48,"2.00","2.34",0,NA,NA
"87","2019","Joshua Corrales","TIG","P",49,1,"51.1",7,"0.14","1.24",0,NA,NA
"88","2019","Juan Cossio","TIG","P",16,0,"17.2",1,"0.06","0.53",0,NA,NA
"89","2019","Fabian Cota","MEX","P",48,0,"32.1",1,"0.02","0.28",0,NA,NA
"90","2019","Dustin Crenshaw","YUC","P",7,7,"43.0",7,"1.00","1.47",0,NA,NA
"91","2019","Michael Crouse","LAG","RF",2,2,"14.0",2,"1.00","1.29",0,NA,NA
"92","2019","Daniel Cruz","MTY","P",19,0,"23.2",4,"0.21","1.57",0,NA,NA
"93","2019","Manuel Cruz","OAX","C",22,5,"74.0",57,"2.59","6.93",0,"5.96",0
"94","2019","Manuel Cruz","OAX","1B",1,0,"2.0",1,"1.00","4.50",0,NA,NA
"95","2019","Manuel Cruz","OAX","3B",3,1,"11.0",2,"0.67","1.64",0,NA,NA
"96","2019","Manuel Cruz","OAX","RF",2,0,"4.0",1,"0.50","2.25",0,NA,NA
"97","2019","Brandon Cumpton","PUE","P",6,5,"13.1",3,"0.50","2.08",0,NA,NA
"98","2019","Tiago Da Silva","DUR","P",41,12,"93.1",19,"0.46","1.84",0,NA,NA
"99","2019","Logan Darnell","MTY","P",11,8,"47.0",5,"0.45","0.96",0,NA,NA
"100","2019","Carlos De Leon","CAM","P",41,8,"80.0",11,"0.27","1.24",0,NA,NA
"101","2019","Jon Del Campo","MTY","LF",1,1,"6.0",1,"1.00","1.50",0,NA,NA
"102","2019","Jose Del Palacio","TIJ","LF",11,0,"36.0",11,"1.00","2.75",0,NA,NA
"103","2019","Juan Delgadillo","TAB","P",8,0,"9.1",1,"0.13","1.00",0,NA,NA
"104","2019","Kristian Delgado","SLT","2B",9,3,"32.0",23,"2.56","6.47",0,NA,NA
"105","2019","Kristian Delgado","SLT","3B",1,1,"7.0",1,"1.00","1.29",0,NA,NA
"106","2019","Kristian Delgado","SLT","LF",1,0,"3.0",1,"1.00","3.00",0,NA,NA
"107","2019","Alberto Diaz","TIG","C",2,1,"11.0",9,"4.50","7.36",0,"5.73",0
"108","2019","Daniel Diaz","AGS","P",53,0,"44.1",13,"0.25","2.66",0,NA,NA
"109","2019","Frank Diaz","TIG","1B",10,5,"51.0",50,"5.00","8.82",0,NA,NA
"110","2019","Frank Diaz","TIG","2B",1,1,"9.0",4,"4.00","4.00",0,NA,NA
"111","2019","Frank Diaz","TIG","LF",3,3,"23.0",5,"1.67","1.96",0,NA,NA
"112","2019","Frank Diaz","TIG","RF",12,12,"97.0",17,"1.42","1.58",0,NA,NA
"113","2019","Jumbo Díaz","TIJ","P",58,0,"56.0",7,"0.12","1.13",0,NA,NA
"114","2019","O'Koyea Dickson","DUR","LF",21,21,"178.2",46,"2.19","2.33",0,NA,NA
"115","2019","Yadir Drake","MTY","LF",30,27,"243.2",42,"1.40","1.56",0,NA,NA
"116","2019","Yadir Drake","MTY","CF",1,1,"7.0",4,"4.00","5.14",0,NA,NA
"117","2019","Yadir Drake","MTY","RF",41,34,"315.0",62,"1.51","1.77",0,NA,NA
"118","2019","Marco Antonio Duarte","DUR","P",21,6,"45.1",9,"0.43","1.80",0,NA,NA
"119","2019","Edgar Duran","TAB","3B",3,0,"4.0",1,"0.33","2.25",0,NA,NA
"120","2019","Logan Duran","PUE","P",10,6,"29.0",6,"0.60","1.86",0,NA,NA
"121","2019","Norman Elenes","LEO","P",46,0,"36.2",5,"0.11","1.25",0,NA,NA
"122","2019","Sebastián Elizalde","MTY","LF",24,17,"152.2",28,"1.17","1.66",0,NA,NA
"123","2019","Sebastián Elizalde","MTY","RF",8,3,"37.0",11,"1.38","2.68",0,NA,NA
"124","2019","Angel Erro","TIG","1B",11,7,"66.0",70,"6.36","9.55",0,NA,NA
"125","2019","Angel Erro","TIG","3B",7,1,"19.1",6,"0.86","2.84",0,NA,NA
"126","2019","Miguel Esparza","LAG","P",16,0,"12.0",2,"0.13","1.50",0,NA,NA
"127","2019","Roberto Espinosa","PUE","P",4,0,"3.1",1,"0.25","3.00",0,NA,NA
"128","2019","Alan Espinoza","TAB","1B",1,0,"3.0",2,"2.00","6.00",0,NA,NA
"129","2019","Jesse Estrada","YUC","P",23,16,"85.1",13,"0.57","1.38",0,NA,NA
"130","2019","Jesus Estrada","OAX","P",4,1,"8.0",3,"0.75","3.38",0,NA,NA
"131","2019","Ricky Eusebio","TIG","P",3,0,"4.1",2,"0.67","4.50",0,NA,NA
"132","2019","Jesus Fabela","MEX","CF",9,8,"65.0",16,"1.78","2.22",0,NA,NA
"133","2019","Andrew Faulkner","MEX","P",33,0,"17.2",6,"0.18","3.18",0,NA,NA
"134","2019","Samuel Favela","OAX","C",4,0,"7.0",5,"1.25","6.43",0,"9.00",0
"135","2019","Samuel Favela","OAX","1B",1,0,"1.0",2,"2.00","18.00",0,NA,NA
"136","2019","Oscar Felix","YUC","P",31,0,"16.0",3,"0.10","1.69",0,NA,NA
"137","2019","Jose Augusto Figueroa","OAX","LF",4,0,"6.0",1,"0.25","1.50",0,NA,NA
"138","2019","Jose Augusto Figueroa","OAX","CF",5,1,"20.2",7,"1.40","3.15",0,NA,NA
"139","2019","Jose Augusto Figueroa","OAX","RF",8,0,"16.0",1,"0.13","0.56",0,NA,NA
