"","Year","Name","Team","POS","GP","GS","INN","TC","RF/G","RF/9","TE","CERA","CI"
"730","2021","Joshua Rodriguez","LAR","LF",3,3,"21.0",5,"1.67","2.14",0,NA,NA
"731","2021","Juan Rodriguez","LAR","P",9,0,"9.2",4,"0.44","4.00",0,NA,NA
"732","2021","Luis Rodriguez","LAR","2B",15,10,"98.0",56,"3.73","5.14",0,NA,NA
"733","2021","Luis Rodriguez","LAR","SS",3,1,"14.0",8,"2.67","5.14",0,NA,NA
"734","2021","Luis Rodriguez","LAR","LF",3,0,"4.0",1,"0.33","2.25",0,NA,NA
"735","2021","Luis Ivan Rodriguez","MEX","P",12,9,"43.0",5,"0.42","1.05",0,NA,NA
"736","2021","Pedro Rodriguez","VER","P",15,0,"15.0",4,"0.27","2.40",0,NA,NA
"737","2021","Rafael Rodriguez","LEO","C",1,0,"2.0",2,"2.00","9.00",0,"9.00",0
"738","2021","Ricky Rodriguez","MVA","1B",9,7,"64.0",48,"5.33","6.75",0,NA,NA
"739","2021","Ricky Rodriguez","MVA","LF",2,2,"14.0",3,"1.50","1.93",0,NA,NA
"740","2021","Ricky Rodriguez","MVA","RF",40,35,"320.1",83,"2.08","2.33",0,NA,NA
"741","2021","Jorge Rondon","AGS","P",29,0,"28.2",9,"0.31","2.89",0,NA,NA
"742","2021","Adonis Rosa","TAB","P",3,2,"6.0",1,"0.33","1.50",0,NA,NA
"743","2021","Rainel Rosario","SLT","1B",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"744","2021","Wilin Rosario","PUE","1B",6,6,"45.0",44,"7.33","8.80",0,NA,NA
"745","2021","Heriberto Ruelas","YUC","P",23,0,"19.2",4,"0.17","1.89",0,NA,NA
"746","2021","Gustavo Ruiz","GDL","C",2,0,"3.0",6,"3.00","18.00",0,"0.00",0
"747","2021","James Russell","LAG","P",7,7,"34.1",9,"1.29","2.38",0,NA,NA
"748","2021","Fernando Salas","TAB","P",21,0,"21.1",5,"0.24","2.14",0,NA,NA
"749","2021","Issmael Salas","GDL","1B",10,9,"74.0",81,"8.10","9.85",0,NA,NA
"750","2021","Issmael Salas","GDL","2B",8,8,"56.0",32,"4.00","5.14",0,NA,NA
"751","2021","Issmael Salas","GDL","SS",2,0,"3.0",2,"1.00","6.00",0,NA,NA
"752","2021","Ivan Salas","MTY","P",29,0,"28.2",2,"0.07","0.64",0,NA,NA
"753","2021","Roque Salinas","GDL","1B",3,1,"17.1",20,"6.67","10.59",0,NA,NA
"754","2021","Roque Salinas","GDL","LF",17,12,"108.0",24,"1.41","2.00",0,NA,NA
"755","2021","Roque Salinas","GDL","CF",7,2,"30.0",9,"1.29","2.70",0,NA,NA
"756","2021","Roque Salinas","GDL","RF",13,4,"54.2",10,"0.77","1.67",0,NA,NA
"757","2021","Oscar Sanay","MVA","2B",4,0,"7.0",5,"1.25","6.43",0,NA,NA
"758","2021","Oscar Sanay","MVA","SS",2,0,"6.0",2,"1.00","3.00",0,NA,NA
"759","2021","Alan Sanchez","LAR","LF",2,1,"10.0",2,"1.00","1.80",0,NA,NA
"760","2021","Alan Sanchez","LAR","RF",4,0,"12.0",2,"0.50","1.50",0,NA,NA
"761","2021","Asael Sanchez","MTY","1B",2,0,"4.0",5,"2.50","11.25",0,NA,NA
"762","2021","Asael Sanchez","MTY","LF",3,1,"11.0",1,"0.33","0.82",0,NA,NA
"763","2021","Asael Sanchez","MTY","RF",7,5,"46.1",8,"1.14","1.57",0,NA,NA
"764","2021","Christian Sanchez","PUE","1B",1,0,"2.0",2,"2.00","9.00",0,NA,NA
"765","2021","Christian Sanchez","PUE","LF",1,0,"3.0",1,"1.00","3.00",0,NA,NA
"766","2021","Gerardo Sanchez","TIJ","P",14,3,"19.0",7,"0.50","3.32",0,NA,NA
"767","2021","Jake Sanchez","TIJ","P",27,0,"27.2",4,"0.15","1.33",0,NA,NA
"768","2021","Javier Sanchez","DUR","2B",2,2,"17.0",5,"2.50","2.65",0,NA,NA
"769","2021","Javier Sanchez","DUR","SS",11,6,"49.0",21,"1.91","3.86",0,NA,NA
"770","2021","Carlos Sano","LEO","P",9,7,"37.1",8,"0.89","1.95",0,NA,NA
"771","2021","Juan Santana","MVA","LF",1,1,"7.0",1,"1.00","1.29",0,NA,NA
"772","2021","Juan Santana","MVA","RF",2,2,"14.0",2,"1.00","1.29",0,NA,NA
"773","2021","Nathanael Santiago","OAX","P",27,0,"28.0",2,"0.07","0.64",0,NA,NA
"774","2021","Eduardo Santos","CAM","C",20,9,"93.1",88,"4.40","8.52",0,"5.98",0
"775","2021","Jaime Santos","DUR","3B",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"776","2021","Luis Santos","SLT","P",10,9,"42.1",5,"0.50","1.07",0,NA,NA
"777","2021","Gonzalo Sanudo","OAX","P",20,0,"18.0",6,"0.30","3.00",0,NA,NA
"778","2021","Jorge Sauceda","GDL","P",2,0,"3.2",2,"1.00","6.00",0,NA,NA
"779","2021","Robby Scott","MTY","P",24,1,"27.0",7,"0.29","2.33",0,NA,NA
"780","2021","Maikel Serrano","TAB","LF",9,8,"66.1",6,"0.67","0.82",0,NA,NA
"781","2021","Mark Serrano","GDL","P",13,2,"20.1",3,"0.23","1.35",0,NA,NA
"782","2021","Jorge Sesma","LAG","LF",11,4,"53.0",10,"0.91","1.70",0,NA,NA
"783","2021","Jorge Sesma","LAG","CF",6,5,"40.0",12,"2.00","2.70",0,NA,NA
"784","2021","Jorge Sesma","LAG","RF",9,3,"37.0",3,"0.33","0.73",0,NA,NA
"785","2021","Braden Shipley","MVA","P",3,2,"9.2",3,"1.00","3.00",0,NA,NA
"786","2021","Moisés Sierra","LAR","1B",1,0,"2.0",2,"2.00","9.00",0,NA,NA
"787","2021","Moisés Sierra","LAR","LF",34,34,"271.1",59,"1.74","1.96",0,NA,NA
"788","2021","Walter Silva","DUR","P",8,7,"27.2",3,"0.38","1.00",0,NA,NA
"789","2021","Hector Silvestre","VER","P",6,3,"16.0",2,"0.33","1.13",0,NA,NA
"790","2021","Yoen Socarras","PUE","P",11,6,"37.0",7,"0.64","1.70",0,NA,NA
"791","2021","Javier Solano","TIG","P",12,10,"54.1",5,"0.42","0.83",0,NA,NA
"792","2021","Yangervis Solarte","MEX","3B",3,1,"12.0",1,"0.33","0.75",0,NA,NA
"793","2021","Sammy Solís","MVA","P",25,0,"21.0",5,"0.20","2.14",0,NA,NA
"794","2021","Humberto Sosa","YUC","C",18,14,"121.0",125,"6.94","9.30",0,"3.27",0
"795","2021","Ruben Sosa","TIG","CF",13,13,"112.0",29,"2.23","2.33",0,NA,NA
"796","2021","Vidal Sotelo","MEX","P",4,0,"4.2",1,"0.25","2.25",0,NA,NA
"797","2021","Jackson Stephens","LAR","P",12,11,"65.0",14,"1.17","1.94",0,NA,NA
"798","2021","Nick Struck","MTY","P",19,0,"18.1",4,"0.21","2.00",0,NA,NA
"799","2021","Jose Tabata","MTY","LF",13,13,"98.0",15,"1.15","1.38",0,NA,NA
"800","2021","Jose Tabata","MTY","RF",16,12,"101.0",11,"0.69","0.98",0,NA,NA
"801","2021","Cesar Tapia","MVA","1B",2,1,"7.1",6,"3.00","7.71",0,NA,NA
"802","2021","Vinnie Tarantola","CAM","P",18,0,"15.1",4,"0.22","2.40",0,NA,NA
"803","2021","Jorge Tartabull","PUE","CF",3,2,"21.0",5,"1.67","2.14",0,NA,NA
"804","2021","Aneury Tavárez","DUR","CF",1,0,"6.2",2,"2.00","3.00",0,NA,NA
"805","2021","Isaias Tejeda","LAG","C",2,2,"16.0",13,"6.50","7.31",0,"3.38",0
"806","2021","Hector Tellez","TAB","LF",5,1,"13.2",3,"0.60","2.08",0,NA,NA
"807","2021","Hector Tellez","TAB","CF",5,0,"19.0",13,"2.60","6.16",0,NA,NA
"808","2021","Hector Tellez","TAB","RF",7,1,"16.1",4,"0.57","2.25",0,NA,NA
"809","2021","Pablo Tellez","VER","P",14,0,"22.2",3,"0.21","1.23",0,NA,NA
"810","2021","Joey Terdoslavich","LEO","1B",23,19,"173.2",203,"8.83","10.56",0,NA,NA
"811","2021","Ivan Terrazas","MEX","LF",12,11,"81.0",8,"0.67","0.89",0,NA,NA
"812","2021","Rigoberto Terrazas","OAX","1B",5,2,"13.2",6,"1.20","4.15",0,NA,NA
"813","2021","Miguel Torrero","PUE","3B",15,5,"56.1",21,"1.40","3.38",0,NA,NA
"814","2021","Miguel Torrero","PUE","SS",4,4,"26.0",7,"1.75","2.42",0,NA,NA
"815","2021","Carlos Torres","TIJ","P",16,0,"21.0",5,"0.31","2.14",0,NA,NA
"816","2021","Edgar Torres","MEX","P",11,11,"53.1",17,"1.55","2.89",0,NA,NA
"817","2021","Jose Torres","PUE","P",15,4,"26.1",3,"0.20","1.04",0,NA,NA
"818","2021","José Torres","LAR","P",24,0,"40.2",7,"0.29","1.58",0,NA,NA
"819","2021","Alexandro Tovalin","GDL","P",30,0,"29.1",4,"0.13","1.24",0,NA,NA
"820","2021","West Tunnell","MVA","P",3,0,"2.2",1,"0.33","4.50",0,NA,NA
"821","2021","Dylan Unsworth","VER","P",8,8,"42.0",6,"0.75","1.29",0,NA,NA
"822","2021","Adolfo Valdez","YUC","LF",3,2,"18.0",3,"1.00","1.50",0,NA,NA
"823","2021","Adolfo Valdez","YUC","RF",2,0,"2.0",1,"0.50","4.50",0,NA,NA
"824","2021","Manuel Valdez","TIG","P",31,0,"20.1",1,"0.03","0.45",0,NA,NA
"825","2021","Nomar Valdez","GDL","2B",2,1,"6.0",4,"2.00","6.00",0,NA,NA
"826","2021","Nomar Valdez","GDL","3B",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"827","2021","Nomar Valdez","GDL","SS",3,2,"17.0",8,"2.67","4.24",0,NA,NA
"828","2021","Rolando Valdez","YUC","P",8,8,"30.0",6,"0.75","1.80",0,NA,NA
"829","2021","Jesus Valenzuela","MEX","P",4,0,"4.1",1,"0.25","2.25",0,NA,NA
"830","2021","Sebastian Valle","YUC","C",45,44,"372.0",302,"6.71","7.31",0,"3.94",0
"831","2021","César Vargas","MTY","P",2,2,"10.0",1,"0.50","0.90",0,NA,NA
"832","2021","Jonathan Vargas","LEO","P",12,11,"47.2",9,"0.75","1.72",0,NA,NA
"833","2021","Jose Vargas","MVA","1B",36,34,"301.0",281,"7.81","8.40",0,NA,NA
"834","2021","Jose Vargas","MVA","3B",3,3,"30.0",9,"3.00","2.70",0,NA,NA
"835","2021","Jose Vargas","MVA","RF",5,5,"35.0",5,"1.00","1.29",0,NA,NA
"836","2021","Danry Vasquez","AGS","LF",1,1,"6.0",1,"1.00","1.50",0,NA,NA
"837","2021","Danry Vasquez","AGS","RF",22,22,"184.1",43,"1.95","2.10",0,NA,NA
"838","2021","Niko Vasquez","GDL","1B",2,1,"12.0",8,"4.00","6.00",0,NA,NA
"839","2021","Niko Vasquez","GDL","SS",1,0,"5.0",2,"2.00","3.60",0,NA,NA
"840","2021","Niko Vasquez","GDL","LF",8,6,"49.0",12,"1.50","2.20",0,NA,NA
"841","2021","Niko Vasquez","GDL","RF",9,7,"65.0",12,"1.33","1.66",0,NA,NA
"842","2021","Jorge Vazquez","AGS","1B",2,2,"19.0",10,"5.00","4.74",0,NA,NA
"843","2021","Marcos Vechionacci","TIG","1B",1,0,"4.0",4,"4.00","9.00",0,NA,NA
"844","2021","Mario Vega","GDL","3B",4,2,"20.0",8,"2.00","3.60",0,NA,NA
"845","2021","Eduardo Vera","MVA","P",3,3,"10.1",1,"0.33","0.90",0,NA,NA
"846","2021","Luis Angel Verdugo","CAM","P",18,5,"44.0",7,"0.39","1.43",0,NA,NA
"847","2021","Rosman Verdugo","MEX","SS",1,0,"5.0",2,"2.00","3.60",0,NA,NA
"848","2021","Hector Villalobos","PUE","P",3,1,"9.1",2,"0.67","2.00",0,NA,NA
"849","2021","Brandon Villarreal","LEO","LF",2,0,"4.0",1,"0.50","2.25",0,NA,NA
"850","2021","Brandon Villarreal","LEO","RF",2,0,"2.0",2,"1.00","9.00",0,NA,NA
"851","2021","Fernando Villegas","SLT","RF",3,3,"27.0",6,"2.00","2.00",0,NA,NA
"852","2021","Francisco Villegas","MEX","P",19,0,"20.1",6,"0.32","2.70",0,NA,NA
"853","2021","Kender Villegas","LAG","P",30,0,"30.0",4,"0.13","1.20",0,NA,NA
"854","2021","Anthony Vizcaya","AGS","P",33,1,"38.1",5,"0.15","1.18",0,NA,NA
"855","2021","T.J. White","MVA","1B",6,3,"25.0",29,"4.83","10.44",0,NA,NA
"856","2021","T.J. White","MVA","2B",2,2,"19.0",14,"7.00","6.63",0,NA,NA
"857","2021","T.J. White","MVA","SS",4,1,"16.0",10,"2.50","5.63",0,NA,NA
"858","2021","T.J. White","MVA","LF",1,1,"5.0",1,"1.00","1.80",0,NA,NA
"859","2021","Francisco Williams","CAM","1B",9,3,"33.2",43,"4.78","11.73",0,NA,NA
"860","2021","Francisco Williams","CAM","LF",2,0,"3.0",1,"0.50","3.00",0,NA,NA
"861","2021","Francisco Williams","CAM","RF",2,0,"4.0",1,"0.50","2.25",0,NA,NA
"862","2021","Jared Wilson","TIG","P",12,11,"47.1",7,"0.58","1.34",0,NA,NA
"863","2021","Tyler Wilson","MTY","P",11,0,"14.2",1,"0.09","0.64",0,NA,NA
"864","2021","Kevin Zamudio","LAG","C",4,2,"15.0",14,"3.50","8.40",0,"9.60",0
"865","2021","Kevin Zamudio","LAG","1B",4,0,"6.0",7,"1.75","10.50",0,NA,NA
"866","2021","Amadeo Zazueta","MTY","3B",16,16,"138.0",44,"2.75","2.87",0,NA,NA
"867","2021","Christian Zazueta","SLT","3B",4,4,"36.0",17,"4.25","4.25",0,NA,NA
"868","2021","Christian Zazueta","SLT","LF",2,1,"9.0",2,"1.00","2.00",0,NA,NA
"869","2021","Christian Zazueta","SLT","CF",1,1,"9.0",2,"2.00","2.00",0,NA,NA
"870","2021","Irving Zazueta","TIG","LF",7,4,"37.0",9,"1.29","2.19",0,NA,NA
"871","2021","Irving Zazueta","TIG","CF",15,11,"102.0",23,"1.53","2.03",0,NA,NA
"872","2021","Irving Zazueta","TIG","RF",4,1,"15.2",3,"0.75","1.80",0,NA,NA
"873","2021","Leonel Zazueta","LEO","P",10,2,"19.0",3,"0.30","1.42",0,NA,NA
"874","2021","Jose Zepeda","OAX","2B",19,15,"118.0",71,"3.74","5.42",0,NA,NA
"875","2021","Jose Zepeda","OAX","3B",6,1,"20.0",3,"0.50","1.35",0,NA,NA
"876","2021","Jose Zepeda","OAX","SS",6,2,"23.0",14,"2.33","5.48",0,NA,NA
"877","2021","Tom de Blok","PUE","P",1,1,"5.0",1,"1.00","1.80",0,NA,NA
"878","2021","Carlos Munoz","DUR","1B",64,64,"525.0",518,"8.08","8.86",0,NA,NA
"879","2021","Fernando Flores","SLT","C",42,37,"316.0",298,"7.07","8.46",1,"6.18",0
"880","2021","Reynaldo Rodriguez","TIG","1B",55,55,"463.2",503,"9.11","9.74",0,NA,NA
"881","2021","Erick Aybar","MVA","2B",51,51,"426.1",238,"4.65","5.01",0,NA,NA
"882","2021","Daniel Sanchez","LEO","C",33,32,"266.2",229,"6.91","7.71",0,"6.41",0
"883","2021","Isaac Rodriguez","TIJ","2B",47,47,"385.2",213,"4.51","4.96",0,NA,NA
"884","2021","Henry Urrutia","SLT","1B",52,52,"433.0",415,"7.94","8.58",0,NA,NA
"885","2021","Maxwell Leon","VER","1B",23,21,"187.2",201,"8.70","9.63",1,NA,NA
"886","2021","Jeremy Martinez","MVA","C",27,24,"218.0",200,"7.37","8.22",0,"5.16",0
"887","2021","Omar Renteria","MTY","C",34,21,"195.1",178,"5.21","8.17",1,"5.94",0
"888","2021","Francisco Cordoba","AGS","C",21,21,"182.2",177,"8.38","8.70",1,"4.53",0
"889","2021","Balbino Fuenmayor","LAR","1B",44,44,"366.1",348,"7.86","8.51",0,NA,NA
"890","2021","Arturo Rodriguez","LAR","C",62,57,"486.0",513,"8.23","9.44",3,"5.02",0
"891","2021","Fernando Perez","YUC","1B",21,20,"159.0",162,"7.67","9.11",0,NA,NA
"892","2021","Alex Valdez","LAR","1B",19,16,"154.0",162,"8.47","9.41",0,NA,NA
"893","2021","Bernardo Heras","GDL","C",23,21,"168.1",156,"6.74","8.30",1,"4.22",0
"894","2021","Victor Mendoza","MTY","1B",55,55,"443.1",465,"8.40","9.39",1,NA,NA
"895","2021","Miguel Guzman","PUE","1B",38,35,"279.1",299,"7.82","9.58",0,NA,NA
"896","2021","Felix Perez","LEO","1B",17,17,"142.0",145,"8.47","9.13",0,NA,NA
"897","2021","Eric Meza","OAX","1B",17,15,"132.2",143,"8.35","9.68",0,NA,NA
"898","2021","Paulo Orlando","VER","CF",61,60,"497.0",137,"2.23","2.46",1,NA,NA
"899","2021","Alexis Wilson","TIG","C",39,39,"320.0",274,"6.97","7.65",2,"4.70",0
"900","2021","Maikel Serrano","TAB","1B",17,16,"135.2",135,"7.88","8.93",0,NA,NA
"901","2021","Walter Ibarra","YUC","2B",53,53,"433.2",268,"5.02","5.53",0,NA,NA
"902","2021","Jesse Castillo","GDL","1B",31,31,"245.0",261,"8.35","9.51",1,NA,NA
"903","2021","Kevin Garcia","PUE","C",24,17,"141.2",129,"5.33","8.17",1,"6.48",0
"904","2021","Juan Camacho","OAX","1B",30,28,"221.1",253,"8.37","10.22",0,NA,NA
"905","2021","Tito Polo","DUR","CF",45,45,"351.0",126,"2.78","3.21",1,NA,NA
"906","2021","Alan Espinoza","VER","C",57,55,"423.2",367,"6.39","7.74",3,"4.93",0
"907","2021","Cesar Tapia","MVA","C",43,42,"364.1",360,"8.30","8.83",3,"5.51",0
"908","2021","Matt Clark","LEO","1B",28,26,"221.1",233,"8.25","9.41",0,NA,NA
"909","2021","Alejandro Flores","LAG","C",55,53,"454.0",343,"6.18","6.74",3,"5.17",0
"910","2021","Alejandro Ortiz","VER","1B",29,28,"211.2",227,"7.76","9.60",2,NA,NA
"911","2021","Carlos M. Rodriguez","SLT","C",32,29,"251.0",225,"6.97","8.00",1,"4.45",0
"912","2021","Ricardo Valenzuela","MEX","C",34,30,"262.2",224,"6.53","7.63",2,"5.38",0
"913","2021","Jon Singleton","MEX","1B",40,40,"322.0",328,"8.13","9.08",2,NA,NA
"914","2021","Juan Kirk","PUE","C",19,13,"109.0",108,"5.63","8.83",1,"5.70",0
"915","2021","Gabriel Gutierrez","TIJ","C",41,35,"313.0",319,"7.71","9.09",3,"3.71",0
"916","2021","Adrián González","GDL","1B",21,21,"178.0",201,"9.48","10.06",1,NA,NA
"917","2021","Carlos Mendivil","GDL","C",42,42,"358.0",298,"7.02","7.42",2,"5.20",1
"918","2021","Chris Mariscal","LAG","2B",17,17,"148.0",95,"5.53","5.72",0,NA,NA
"919","2021","Juan Martinez","LAR","2B",43,39,"328.2",189,"4.35","5.13",1,NA,NA
"920","2022","Jose Acosta","LEO","P",3,3,"9.2",3,"1.00","3.00",0,NA,NA
"921","2022","Cristhian Adames","YUC","1B",14,7,"77.0",101,"7.21","11.81",0,NA,NA
"922","2022","Cristhian Adames","YUC","3B",34,34,"255.0",70,"2.06","2.47",0,NA,NA
"923","2022","Cane Agis","LEO","2B",1,1,"6.0",4,"4.00","6.00",0,NA,NA
"924","2022","Jose Aguilar","YUC","LF",3,1,"11.0",2,"0.67","1.64",0,NA,NA
"925","2022","Miguel Aguilar","MTY","P",19,1,"22.0",2,"0.11","0.82",0,NA,NA
"926","2022","Rodolfo Aguilar","VER","P",15,5,"26.2",3,"0.20","1.04",0,NA,NA
"927","2022","Jesus Alcantar","VER","P",15,4,"24.1",4,"0.27","1.50",0,NA,NA
"928","2022","Tyler Alexander","TIJ","P",11,11,"51.0",3,"0.27","0.53",0,NA,NA
"929","2022","Lazaro Alonso","YUC","1B",4,2,"23.0",22,"5.50","8.61",0,NA,NA
"930","2022","Herman Alvarado","PUE","3B",1,0,"3.0",2,"2.00","6.00",0,NA,NA
"931","2022","Samuel Alvarado","PUE","P",34,1,"33.2",1,"0.03","0.27",0,NA,NA
"932","2022","Carlos Alvarez","GDL","1B",2,0,"1.0",1,"0.50","9.00",0,NA,NA
"933","2022","Carlos Alvarez","GDL","3B",2,0,"4.0",1,"0.50","2.25",0,NA,NA
"934","2022","Carlos Alvarez","GDL","SS",1,0,"3.0",3,"3.00","9.00",0,NA,NA
"935","2022","Carlos Alvarez","GDL","RF",4,1,"14.0",4,"1.00","2.57",0,NA,NA
"936","2022","Jose Alvarez","VER","RF",8,6,"49.0",9,"1.13","1.65",0,NA,NA
"937","2022","Beau Amaral","GDL","CF",28,28,"211.0",63,"2.25","2.69",0,NA,NA
"938","2022","Alexi Amarista","VER","2B",78,78,"602.2",355,"4.55","5.31",0,NA,NA
"939","2022","Alexi Amarista","VER","SS",3,3,"23.0",8,"2.67","3.13",0,NA,NA
"940","2022","Tanner Anderson","TIJ","P",9,9,"47.2",13,"1.44","2.49",0,NA,NA
"941","2022","Fabian Anguamea","TIG","P",37,0,"34.2",8,"0.22","2.12",0,NA,NA
"942","2022","Nestor Anguamea","GDL","P",22,6,"45.2",11,"0.50","2.20",0,NA,NA
"943","2022","Bryan Araiza","OAX","1B",4,0,"8.0",5,"1.25","5.63",0,NA,NA
"944","2022","Bryan Araiza","OAX","LF",23,9,"101.0",18,"0.78","1.60",0,NA,NA
"945","2022","Bryan Araiza","OAX","CF",14,5,"54.0",13,"0.93","2.17",0,NA,NA
"946","2022","Bryan Araiza","OAX","RF",2,2,"11.0",1,"0.50","0.82",0,NA,NA
"947","2022","Carlos Arellano","VER","LF",3,1,"8.0",1,"0.33","1.13",0,NA,NA
"948","2022","Carlos Arellano","VER","RF",1,0,"4.0",3,"3.00","6.75",0,NA,NA
"949","2022","Kevin Armenta","SLT","2B",1,0,"2.0",1,"1.00","4.50",0,NA,NA
"950","2022","Oscar Armenta","LEO","P",19,0,"11.2",1,"0.05","0.82",0,NA,NA
"951","2022","Rogelio Armenteros","OAX","P",5,2,"15.0",1,"0.20","0.60",0,NA,NA
"952","2022","Felipe Arredondo","TIG","P",36,0,"38.1",13,"0.36","3.08",0,NA,NA
"953","2022","Jesus Arredondo","GDL","1B",9,3,"45.1",52,"5.78","10.40",0,NA,NA
"954","2022","Jesus Arredondo","GDL","3B",4,2,"13.0",3,"0.75","2.08",0,NA,NA
"955","2022","Jesus Arredondo","GDL","LF",5,1,"9.0",3,"0.60","3.00",0,NA,NA
"956","2022","Jesus Arredondo","GDL","RF",16,14,"96.1",20,"1.25","1.88",0,NA,NA
"957","2022","Yeison Asencio","CAM","1B",2,2,"16.0",20,"10.00","11.25",0,NA,NA
"958","2022","Jasson Atondo","MEX","2B",1,1,"9.0",6,"6.00","6.00",0,NA,NA
"959","2022","Jasson Atondo","MEX","3B",6,4,"36.0",13,"2.17","3.25",0,NA,NA
"960","2022","Marco Avena","CAM","C",9,6,"54.0",32,"3.56","5.33",0,"4.83",0
"961","2022","Andres Ayon","SLT","LF",7,0,"17.0",2,"0.29","1.06",0,NA,NA
"962","2022","Andres Ayon","SLT","RF",28,14,"137.0",34,"1.21","2.23",0,NA,NA
"963","2022","Wladimir Balentien","SLT","LF",11,11,"83.1",20,"1.82","2.17",0,NA,NA
"964","2022","Andrew Banuelos","OAX","C",6,2,"25.1",24,"4.00","8.64",0,"11.37",0
"965","2022","Griffin Barnes","SLT","C",1,0,"3.0",4,"4.00","12.00",0,"3.00",0
"966","2022","Arturo Barradas","VER","P",36,0,"29.1",5,"0.14","1.55",0,NA,NA
"967","2022","Manuel Barradas","TAB","C",1,0,"1.0",2,"2.00","18.00",0,"0.00",0
"968","2022","Alejandro Barraza","LAR","P",29,0,"25.2",3,"0.10","1.08",0,NA,NA
"969","2022","Jesus Barraza","VER","P",36,0,"30.2",7,"0.19","2.10",0,NA,NA
"970","2022","Manny Barreda","TIJ","P",17,17,"88.1",10,"0.59","1.02",0,NA,NA
"971","2022","Luis Barrera","TAB","LF",6,2,"20.0",4,"0.67","1.80",0,NA,NA
"972","2022","Luis Barrera","TAB","RF",2,0,"7.0",1,"0.50","1.29",0,NA,NA
"973","2022","Raul Barron","TIG","P",30,0,"28.0",4,"0.13","1.29",0,NA,NA
"974","2022","Sergio Barthelemy","VER","CF",1,1,"6.0",2,"2.00","3.00",0,NA,NA
"975","2022","Sergio Barthelemy","VER","RF",5,5,"39.2",8,"1.60","1.85",0,NA,NA
"976","2022","Esteban Bloch","OAX","P",28,1,"47.0",9,"0.32","1.72",0,NA,NA
"977","2022","Ramon Bramasco","TIG","LF",2,0,"6.0",3,"1.50","4.50",0,NA,NA
"978","2022","Edgar Bravo","LAG","LF",4,3,"23.0",2,"0.50","0.78",0,NA,NA
"979","2022","Edgar Bravo","LAG","RF",11,8,"71.0",17,"1.55","2.15",0,NA,NA
"980","2022","Brandon Brennan","LAR","P",3,2,"10.0",2,"0.67","1.80",0,NA,NA
"981","2022","Geoff Broussard","LAR","P",43,0,"46.2",9,"0.21","1.76",0,NA,NA
"982","2022","Victor Buelna","DUR","P",8,7,"29.1",7,"0.88","2.17",0,NA,NA
"983","2022","Enrique Burgos","YUC","P",8,0,"7.1",1,"0.13","1.29",0,NA,NA
"984","2022","Justin Byrd","OAX","RF",2,2,"18.0",2,"1.00","1.00",0,NA,NA
"985","2022","Mario Cabrera","MEX","RF",2,1,"7.0",1,"0.50","1.29",0,NA,NA
"986","2022","Angel Camacho","YUC","LF",4,1,"19.1",4,"1.00","1.89",0,NA,NA
"987","2022","Angel Camacho","YUC","CF",2,0,"3.0",1,"0.50","3.00",0,NA,NA
"988","2022","Jose Camacho","LEO","LF",21,19,"154.0",27,"1.29","1.58",0,NA,NA
"989","2022","Vicente Campos","PUE","P",12,0,"11.2",2,"0.17","1.64",0,NA,NA
"990","2022","Arel Campoy","LAG","2B",3,0,"10.0",2,"0.67","1.80",0,NA,NA
"991","2022","Arel Campoy","LAG","3B",1,0,"4.0",2,"2.00","4.50",0,NA,NA
"992","2022","Ichiro Cano","MEX","3B",2,0,"6.0",1,"0.50","1.50",0,NA,NA
"993","2022","Ichiro Cano","MEX","SS",1,0,"2.0",1,"1.00","4.50",0,NA,NA
"994","2022","Jorge Cantu","MEX","1B",13,9,"77.0",90,"6.92","10.52",0,NA,NA
"995","2022","Jorge Cantu","MEX","SS",1,0,"1.0",2,"2.00","18.00",0,NA,NA
"996","2022","Manuel Carranza","LEO","P",8,0,"8.1",1,"0.13","1.13",0,NA,NA
"997","2022","Joshua Carreno","LEO","2B",3,0,"3.0",3,"1.00","9.00",0,NA,NA
"998","2022","Joshua Carreno","LEO","3B",3,2,"12.0",4,"1.33","3.00",0,NA,NA
"999","2022","Gilberto Carrera","MTY","3B",1,0,"3.0",2,"2.00","6.00",0,NA,NA
"1000","2022","Adalberto Carrillo","LEO","LF",2,1,"10.0",1,"0.50","0.90",0,NA,NA
"1001","2022","Alex Carrillo","TIG","P",21,3,"29.2",3,"0.14","0.93",0,NA,NA
"1002","2022","Marco Carrillo","TIG","P",16,15,"62.2",9,"0.56","1.31",0,NA,NA
"1003","2022","Raul Carrillo","TIG","P",16,15,"76.0",13,"0.81","1.54",0,NA,NA
"1004","2022","Anthony Carter","SLT","P",12,0,"10.0",3,"0.25","2.70",0,NA,NA
"1005","2022","Chris Carter","MVA","1B",10,10,"71.0",63,"6.30","7.99",0,NA,NA
"1006","2022","Erick Casillas","OAX","P",25,0,"24.1",3,"0.12","1.13",0,NA,NA
"1007","2022","Antonio Castaneda","MEX","LF",2,0,"7.0",1,"0.50","1.29",0,NA,NA
"1008","2022","Antonio Castaneda","MEX","RF",3,0,"5.0",3,"1.00","5.40",0,NA,NA
"1009","2022","Felipe Castaneda","LEO","P",23,2,"27.2",3,"0.13","1.00",0,NA,NA
