"","Year","Name","Team","POS","GP","GS","IP","GO","AO","NP","O","CG","SHO","BK","GO/AO","P/INN","K/BB","K/9","W/9","H/9","R/9","HR/9","K%","BB%","K-BB%","FIP"
"279","2021","André Rienzo","LAR","P",5,5,"21.0",27,16,366,63,0,0,0,"1.69","17.43","1.67","8.57","5.14","6.43","2.57","0.43",22,13.2,8.8,4.38
"280","2021","Sammy Solís","MVA","P",25,0,"21.0",19,19,330,63,0,0,0,"1.00","15.71","6.00","10.29","1.71","9.43","2.57","1.71",27.3,4.5,22.8,4.57
"281","2021","Dylan Unsworth","VER","P",8,8,"42.0",62,33,554,126,1,1,0,"1.88","13.19","6.75","5.79","0.86","7.93","2.57","0.64",16.4,2.4,14,3.88
"282","2021","Mario Jimenez","TAB","P",24,0,"24.0",30,25,402,72,0,0,0,"1.20","16.75","1.45","6.00","4.13","9.75","2.63","0.38",14.8,10.2,4.6,4.4
"283","2021","Oliver Pérez","TIJ","P",21,0,"24.0",17,16,335,72,0,0,1,"1.06","13.96","7.00","13.13","1.88","6.00","2.63","1.13",38,5.4,32.6,3.52
"284","2021","Lester Oliveros","CAM","P",26,0,"27.1",18,27,483,82,0,0,0,"0.67","17.67","3.50","11.52","3.29","7.24","2.96","1.65",31,8.8,22.2,4.85
"285","2021","Carlos Vazquez","TAB","P",18,0,"13.2",8,16,223,41,0,0,0,"0.50","16.32","3.75","9.88","2.63","8.56","3.95","1.32",26.3,7,19.3,4.65
"286","2021","Gerardo Ramirez","TIG","X",15,1,"37.1",44,45,570,112,0,0,0,"0.98","15.27","1.31","4.10","3.13","7.71","3.86","0.24",11,8.4,2.6,4.62
"287","2021","Adam Choplick","TAB","P",23,0,"23.2",27,18,394,71,0,0,0,"1.50","16.65","4.17","9.51","2.28","9.13","3.42","0.76",25,6,19,3.55
"288","2021","César Vargas","MTY","P",2,2,"10.0",12,6,150,30,0,0,0,"2.00","15.00","3.33","9.00","2.70","10.80","2.70","0.00",23.3,7,16.3,2.71
"289","2021","Fernando Cruz","GDL","P",26,0,"26.1",18,22,394,79,0,0,0,"0.82","14.96","6.17","12.65","2.05","6.49","2.73","0.68",36.3,5.9,30.4,2.66
"290","2021","Jonathan Partida","OAX","P",20,0,"13.0",12,11,250,39,0,0,0,"1.09","19.23","1.75","9.69","5.54","10.38","4.85","0.69",23.3,13.3,10,4.51
"291","2021","Al Alburquerque","MVA","P",24,0,"22.2",22,13,369,68,0,0,0,"1.69","16.28","5.20","10.32","1.99","12.31","2.78","0.79",26.8,5.2,21.6,3.32
"292","2021","Francisco Moreno","TAB","P",30,0,"25.1",26,33,409,76,0,0,0,"0.79","16.14","1.80","6.39","3.55","7.82","5.68","0.36",16.2,9,7.2,4.33
"293","2021","Ivan Zavala","VER","P",30,0,"31.2",40,27,391,95,0,0,0,"1.48","12.35","5.00","7.11","1.42","5.97","3.13","1.14",21,4.2,16.8,4.45
"294","2021","Jesus Pirela","TIJ","P",22,0,"25.0",23,26,390,75,0,0,0,"0.88","15.60","2.78","9.00","3.24","6.84","2.88","0.72",24.5,8.8,15.7,3.93
"295","2021","Mario Meza","SLT","P",26,0,"24.2",20,26,395,74,0,0,1,"0.77","16.01","2.70","9.85","3.65","5.84","3.28","0.36",26.7,9.9,16.8,3.61
"296","2021","Jake Sanchez","TIJ","P",27,0,"27.2",18,28,476,83,0,0,0,"0.64","17.20","1.63","10.08","6.18","6.18","3.58","0.98",26.7,16.4,10.3,5.17
"297","2021","Luis Ivan Rodriguez","MEX","P",12,9,"43.0",39,59,639,129,1,0,0,"0.66","14.86","7.50","6.28","0.84","9.00","3.35","1.05",16.9,2.3,14.6,4.35
"298","2021","Raul Barron","TIG","P",18,0,"15.1",20,13,235,46,0,0,0,"1.54","15.33","1.33","4.70","3.52","10.57","2.93","0.59",12.1,9.1,3,5.01
"299","2021","Andres E. Perez","OAX","P",14,0,"15.1",14,20,301,46,0,0,0,"0.70","19.63","1.63","7.63","4.70","9.39","4.11","0.00",17.8,11,6.8,4.08
"300","2021","Norman Elenes","MTY","P",38,0,"36.2",49,33,506,110,0,0,0,"1.48","13.80","2.56","5.65","2.21","8.35","3.19","0.98",15.3,6,9.3,4.89
"301","2021","Wendolyn Bautista","DUR","P",15,7,"48.0",44,47,774,144,0,0,0,"0.94","16.13","2.82","9.00","3.19","9.75","3.56","0.75",23.1,8.2,14.9,3.96
"302","2021","Luis Marquez","VER","P",11,0,"15.0",10,11,257,45,0,0,0,"0.91","17.13","4.00","14.40","3.60","7.80","3.00","1.20",37.5,9.4,28.1,3.55
"303","2021","Gonzalo Sanudo","OAX","P",20,0,"18.0",21,19,301,54,0,0,0,"1.11","16.72","3.25","6.50","2.00","11.00","6.00","0.50",16.2,5,11.2,3.92
"304","2021","Jake Thompson","YUC","P",11,11,"59.2",72,60,814,179,0,0,0,"1.20","13.64","2.19","5.28","2.41","7.24","3.47","0.45",14.8,6.8,8,4.4
"305","2021","Wilfredo Boscan","TIG","P",8,8,"35.2",45,30,535,107,0,0,0,"1.50","15.00","1.92","5.80","3.03","9.84","3.28","0.00",15.1,7.9,7.2,3.78
"306","2021","Jose Carlos Medina","AGS","P",6,5,"23.2",31,24,350,71,1,0,0,"1.29","14.79","1.25","3.80","3.04","9.13","3.42","0.76",10.3,8.2,2.1,5.11
"307","2021","Carlos Stiff Rodriguez","VER","P",36,0,"35.1",32,29,574,106,0,0,0,"1.10","16.25","3.82","10.70","2.80","5.86","3.06","0.51",29.4,7.7,21.7,3.61
"308","2021","Alexandro Tovalin","GDL","P",30,0,"29.1",31,20,484,88,0,0,0,"1.55","16.50","2.46","9.82","3.99","6.44","3.38","0.61",26.7,10.8,15.9,4.16
"309","2021","Wirfin Obispo","MVA","P",25,0,"26.1",16,29,480,79,0,0,0,"0.55","18.23","2.27","11.62","5.13","7.18","3.76","0.34",28.6,12.6,16,3.89
