"","Year","Name","Team","POS","GP","GS","IP","ERA","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","HBP","GIDP","WP"
"491","2021","Orlando Lara","SLT","P",13,13,"63.1","6.68",3,7,0,0,0,59,22,0,298,89,7,47,1,5,8
"492","2021","Jaime Beltran","SLT","P",2,0,"1.1","6.75",0,0,0,0,0,0,2,0,7,1,0,1,0,0,1
"493","2021","Raul Carrillo","SLT","P",11,11,"45.1","6.75",2,6,0,0,0,27,14,0,210,68,8,34,1,7,1
"494","2021","Rafael Cordova","TAB","P",6,0,"5.1","6.75",0,0,0,0,1,5,1,0,23,6,0,4,0,0,2
"495","2021","Irwin Delgado","VER","P",12,10,"38.2","6.75",2,4,0,0,0,31,29,1,183,46,6,29,0,6,3
"496","2021","Greg Mahle","LAR","P",3,3,"14.2","6.75",0,1,0,0,0,10,4,0,66,18,2,11,2,0,0
"497","2021","Rogelio Martinez","OAX","P",6,0,"5.1","6.75",0,0,0,0,1,3,2,0,29,11,1,4,0,0,1
"498","2021","Angel Olivas","MTY","P",5,0,"5.1","6.75",0,0,0,0,0,3,4,0,23,4,1,4,0,0,3
"499","2021","Nicolas Ortiz","TAB","P",2,0,"1.1","6.75",0,0,0,0,0,0,0,0,6,2,1,1,0,0,0
"500","2021","Hector Silvestre","VER","P",6,3,"16.0","6.75",1,1,0,1,0,10,4,0,70,21,4,12,0,2,0
"501","2021","Jordan Suarez","LAG","P",20,0,"20.0","6.75",1,0,0,0,0,12,7,0,100,33,3,15,4,2,2
"502","2021","Hector Villalobos","PUE","P",3,1,"9.1","6.75",1,0,0,0,1,5,6,0,43,10,0,7,0,2,1
"503","2021","Jorge Leo","MEX","P",16,4,"26.1","6.84",2,0,0,1,0,18,21,0,129,29,4,20,1,2,2
"504","2021","Jesus Huerta","PUE","P",19,0,"23.2","6.85",0,0,0,1,1,17,7,0,109,32,8,18,1,1,1
"505","2021","Alex Reyes","LEO","P",25,1,"34.0","6.88",2,2,0,0,0,17,19,2,169,50,3,26,3,8,4
"506","2021","Rolando Valdez","YUC","P",8,8,"30.0","6.90",3,1,0,0,0,14,7,0,134,41,7,23,0,3,1
"507","2021","Juan Delgadillo","TAB","P",13,3,"26.0","6.92",0,2,0,0,1,17,6,1,118,38,4,20,1,1,0
"508","2021","Henry Omana","LAR","P",17,6,"37.2","6.93",3,5,0,0,1,39,28,2,191,47,4,29,4,1,6
"509","2021","Jesse Estrada","GDL","P",10,10,"48.0","6.94",3,2,0,0,0,24,19,0,228,63,15,37,6,6,6
"510","2021","Edgar De La Rosa","CAM","P",2,2,"10.1","6.97",0,1,0,0,0,5,2,0,47,16,3,8,0,0,0
"511","2021","Alex Gallegos","LAG","P",19,0,"20.2","6.97",2,1,0,0,0,10,12,0,97,27,1,16,1,4,6
"512","2021","Ryan Garton","MVA","P",8,0,"9.0","7.00",0,0,0,0,0,7,4,1,49,17,1,7,0,0,1
"513","2021","Luis Heredia","OAX","P",7,1,"9.0","7.00",0,0,0,0,0,4,6,0,42,11,2,7,0,4,1
"514","2021","Bryan Menendez","PUE","P",12,0,"15.1","7.04",0,0,0,0,0,16,4,0,74,27,2,12,0,3,0
"515","2021","Koby Gauna","DUR","P",33,0,"28.0","7.07",1,2,0,2,5,12,9,0,127,37,2,22,1,5,3
"516","2021","Francisco Villegas","MEX","P",19,0,"20.1","7.08",1,2,1,1,1,16,12,0,99,31,1,16,2,3,0
"517","2021","Ruddy Acosta","OAX","P",11,11,"50.2","7.11",1,5,0,0,0,54,20,0,232,66,7,40,0,1,6
"518","2021","Javier Solano","TIG","P",12,10,"54.1","7.12",2,6,0,0,0,26,19,1,258,77,14,43,4,5,1
"519","2021","Edwyn Valle","DUR","P",12,0,"11.1","7.15",0,0,0,0,0,6,3,0,50,13,2,9,0,1,2
"520","2021","Zach Phillips","MVA","P",17,0,"16.1","7.16",1,0,0,0,2,18,7,0,70,15,3,13,3,1,1
"521","2021","Yordy Cabrera","TIG","P",5,1,"10.0","7.20",1,2,0,0,0,4,7,0,47,9,0,8,2,1,1
"522","2021","Conor Harber","TIG","P",14,13,"55.0","7.20",0,5,0,0,0,37,28,0,251,72,6,44,2,6,5
"523","2021","Romario Gil","CAM","P",8,8,"36.0","7.25",1,2,0,0,0,25,8,0,161,49,9,29,0,3,3
"524","2021","Yosshel Hurtado","PUE","P",28,0,"22.1","7.25",3,2,0,1,6,22,13,3,107,29,6,18,2,1,6
"525","2021","Rogelio Bernal","DUR","P",13,11,"50.2","7.28",3,5,0,0,0,30,20,0,247,73,11,41,2,4,2
"526","2021","Edwin Fierro","MEX","P",28,0,"24.2","7.30",4,2,0,4,9,26,14,0,108,25,2,20,0,2,2
"527","2021","Ruben Molina","TAB","P",18,1,"19.2","7.32",0,0,0,0,1,10,8,1,94,31,2,16,1,2,2
"528","2021","Aldo Nuno","LEO","P",4,0,"3.2","7.36",0,0,0,0,1,4,1,0,15,4,0,3,0,1,0
"529","2021","Manuel Flores","CAM","P",8,8,"37.2","7.41",3,3,0,0,0,32,8,0,180,57,5,31,1,2,0
"530","2021","Carlos Felix","SLT","P",12,0,"13.1","7.43",0,0,0,0,0,9,8,0,72,24,1,11,0,0,2
"531","2021","Arturo Barradas","PUE","P",25,0,"18.0","7.50",0,3,0,1,6,8,14,2,92,26,2,15,1,3,1
"532","2021","Jesus Juarez","AGS","P",17,0,"18.0","7.50",0,0,0,1,0,11,8,0,88,24,6,15,1,2,1
"533","2021","Santiago Gutierrez","SLT","P",28,3,"26.1","7.52",2,2,0,0,3,16,20,0,136,39,3,22,1,2,6
"534","2021","Antonio Guzman","TAB","P",9,0,"14.1","7.53",0,1,0,0,0,18,10,0,68,18,2,12,1,2,1
"535","2021","Edgar Gonzalez","MVA","P",14,12,"50.0","7.56",2,7,0,0,0,33,20,0,241,72,8,42,6,6,3
"536","2021","Alejandro Chavez","GDL","P",11,8,"38.0","7.58",2,2,1,1,0,23,25,0,186,55,6,32,2,8,6
"537","2021","Leonel Zazueta","LEO","P",10,2,"19.0","7.58",0,1,0,0,0,8,7,0,93,32,1,16,2,5,3
"538","2021","Dallas Martinez","MTY","P",7,7,"31.2","7.67",2,2,0,0,0,20,9,0,153,46,4,27,3,1,3
"539","2021","Valentin De Luna","LAG","P",6,2,"7.0","7.71",0,0,0,0,0,5,7,0,37,7,1,6,2,0,2
"540","2021","Julio Hernandez","PUE","P",22,0,"23.1","7.71",1,0,0,1,2,14,13,1,117,34,5,20,1,2,2
"541","2021","Luis Martinez","AGS","P",2,1,"4.2","7.71",0,0,0,0,0,5,3,0,20,3,0,4,0,0,2
"542","2021","Brayan Mumulmea","TIG","P",9,0,"14.0","7.71",0,1,0,0,0,10,4,0,63,21,2,12,1,2,0
"543","2021","Jesus Rios","DUR","P",9,1,"15.0","7.80",0,0,0,0,0,10,6,0,76,24,1,13,5,2,3
"544","2021","Ferrol Heredia","VER","P",9,1,"12.2","7.82",0,1,0,0,0,6,13,0,72,23,1,11,0,2,1
"545","2021","Benjamin Sandoval","CAM","P",14,0,"10.1","7.84",0,1,0,0,1,3,10,2,60,17,3,9,0,0,0
"546","2021","Eduardo Vera","MVA","P",3,3,"10.1","7.84",0,2,0,0,0,3,4,0,48,13,0,9,1,1,0
"547","2021","Jose Torres","PUE","P",15,4,"26.1","7.86",1,2,0,0,0,14,7,0,126,40,6,23,4,3,3
"548","2021","Luis Morales","SLT","P",9,0,"8.0","7.88",0,0,0,0,0,2,3,0,39,14,2,7,0,1,0
"549","2021","Marco Tovar","MTY","P",9,6,"29.2","7.89",1,1,0,0,0,21,12,0,140,42,8,26,0,2,3
"550","2021","Richelson Peña","LAR","P",8,7,"35.1","7.90",1,3,0,0,1,29,17,0,171,53,8,31,1,3,1
"551","2021","Elian Leyva","CAM","P",11,10,"46.2","7.91",3,6,0,0,0,34,17,0,219,67,3,41,2,5,5
"552","2021","Hector Galvan","GDL","P",12,7,"30.2","7.92",3,2,0,0,0,19,16,0,153,47,2,27,3,3,2
"553","2021","Brandon Cumpton","OAX","P",17,9,"46.1","7.96",0,6,1,3,2,34,24,2,228,68,3,41,5,9,5
"554","2021","Brayan Munoz","TIG","P",22,0,"15.2","8.04",0,1,0,0,2,8,14,1,78,19,3,14,2,2,1
"555","2021","Nattino Diplan","MVA","P",4,1,"10.0","8.10",0,1,0,0,0,5,6,0,53,18,2,9,0,0,0
"556","2021","Jonathan Vargas","LEO","P",12,11,"47.2","8.12",1,6,0,0,0,33,21,0,233,69,7,43,3,3,5
"557","2021","Zack Dodson","GDL","P",10,7,"29.2","8.19",1,2,0,0,0,22,17,0,149,44,3,27,4,4,3
"558","2021","Vinnie Tarantola","CAM","P",18,0,"15.1","8.22",0,1,0,0,3,11,12,0,74,15,3,14,0,0,1
"559","2021","Edgar Osuna","LAG","P",21,2,"20.2","8.27",0,0,0,1,1,13,7,1,99,33,7,19,1,5,0
"560","2021","Alejandro Martinez","VER","P",17,3,"27.0","8.33",2,2,1,1,0,22,10,1,129,35,11,25,1,0,2
"561","2021","Frank Garces","PUE","P",3,2,"9.2","8.38",0,1,0,0,0,7,1,0,46,16,2,9,0,1,0
"562","2021","Braden Shipley","MVA","P",3,2,"9.2","8.38",0,2,0,0,0,5,8,0,51,14,1,9,1,0,3
"563","2021","Octavio Acosta","OAX","P",14,7,"33.0","8.45",0,4,1,2,2,43,17,0,172,53,4,31,1,1,6
"564","2021","Abel Amaya","CAM","P",5,0,"6.1","8.53",1,0,0,0,0,2,3,0,31,10,1,6,0,1,0
"565","2021","Jason Gurka","GDL","P",16,0,"13.2","8.56",0,1,0,0,2,9,8,0,67,19,5,13,0,1,1
"566","2021","Marco Antonio Duarte","VER","P",10,0,"17.2","8.66",0,0,0,0,0,12,10,0,93,29,4,17,1,2,3
"567","2021","Ranfi Casimiro","DUR","P",13,12,"59.2","8.75",1,6,0,0,0,25,17,0,282,91,7,58,2,11,4
"568","2021","Ryan Verdugo","VER","P",14,5,"28.2","8.79",3,0,0,0,0,32,11,1,142,49,4,28,1,3,3
"569","2021","Rodolfo Aguilar","CAM","P",20,1,"19.0","9.00",1,2,0,0,2,14,11,1,97,31,4,19,2,1,1
"570","2021","Miguel Esparza","LAG","P",2,0,"2.0","9.00",0,0,0,0,0,1,2,0,11,3,0,2,0,0,1
"571","2021","Wilfredo Ledezma","LAR","P",3,3,"11.0","9.00",0,1,0,0,0,7,8,0,52,13,2,11,0,2,1
"572","2021","Israel Moreno","LEO","P",2,0,"2.0","9.00",0,0,0,0,0,0,0,0,8,3,1,2,0,1,0
"573","2021","Alexis Vera","MTY","P",1,0,"2.0","9.00",0,0,0,0,0,0,1,0,9,4,1,2,0,2,1
"574","2021","Esteban Bloch","OAX","P",13,4,"27.2","9.11",0,3,0,0,0,14,11,0,136,42,5,28,2,4,0
"575","2021","Walter Silva","DUR","P",8,7,"27.2","9.11",0,5,0,0,0,11,11,0,136,48,5,28,0,4,3
"576","2021","Armando Anguis","OAX","P",11,0,"11.1","9.53",1,0,0,2,0,12,7,0,54,16,2,12,0,2,0
"577","2021","Isaac Jimenez","DUR","P",28,0,"25.0","9.72",1,1,0,7,4,20,11,1,132,47,6,27,0,2,8
"578","2021","Leonel Campos","LEO","P",9,0,"7.1","9.82",0,0,0,0,4,4,7,1,37,9,1,8,1,0,3
"579","2021","Ronald Ramirez","VER","P",3,0,"2.2","10.13",0,0,0,0,1,5,2,0,15,5,0,3,0,0,0
"580","2021","Marco Antonio Rivas","DUR","P",22,0,"18.2","10.61",1,2,0,2,6,14,8,1,93,31,4,22,0,1,1
"581","2021","Edison Frias","VER","P",3,3,"10.0","10.80",1,2,0,0,0,9,3,0,49,17,2,12,0,1,3
"582","2021","Jorge Gallegos","SLT","P",2,1,"1.2","10.80",0,0,0,0,0,1,2,0,9,3,1,2,0,0,0
"583","2021","Carlos Morales","OAX","P",12,2,"24.2","10.95",0,1,0,0,0,18,14,0,134,44,8,30,0,2,3
"584","2021","Salvador Valdez","GDL","P",6,3,"14.2","11.05",1,1,0,0,0,11,9,0,76,25,5,18,0,3,2
"585","2021","Octavio Cordova","TIG","P",4,1,"6.1","11.37",0,0,0,0,0,5,7,0,34,8,1,8,0,0,1
"586","2021","Victor Buelna","DUR","P",20,0,"22.0","11.45",0,1,0,1,1,9,10,0,123,48,3,28,2,3,2
"587","2021","Carlos Diaz","TIJ","P",6,0,"4.2","11.57",0,1,0,0,1,6,7,0,27,6,0,6,1,1,1
"588","2021","Felipe Acosta","DUR","P",3,1,"3.0","12.00",0,1,0,0,0,1,4,0,16,3,1,4,0,1,1
"589","2021","Seth Davis","LAG","P",7,0,"6.2","12.15",0,0,0,0,0,5,4,0,37,12,2,9,1,0,0
"590","2021","William Ouellette","LAR","P",3,0,"3.2","12.27",0,0,0,0,0,2,1,0,17,6,2,5,0,0,0
"591","2021","Kurt Heyer","PUE","P",3,1,"4.1","12.46",2,0,0,0,0,6,2,0,22,7,0,6,0,0,0
"592","2021","Eduardo Paredes","DUR","P",6,0,"5.2","12.71",0,0,0,0,0,6,5,0,30,9,2,8,0,1,0
"593","2021","Henry Centeno","AGS","P",4,4,"12.2","12.79",1,2,0,0,0,10,6,0,70,28,6,18,1,1,0
"594","2021","Nestor Anguamea","LAG","P",6,0,"6.2","13.50",0,0,0,0,0,3,7,0,37,10,2,10,0,1,1
"595","2021","Mauricio Cabrera","OAX","P",3,0,"2.2","13.50",0,1,0,0,1,3,6,0,14,1,0,4,1,1,0
"596","2021","Felipe Hernandez","TIG","P",4,1,"4.2","13.50",0,0,0,0,0,3,9,0,27,3,0,7,2,1,0
"597","2021","Miguel Martinez","AGS","P",5,0,"6.2","13.50",0,0,0,0,0,5,4,0,38,12,1,10,1,0,1
"598","2021","Edgar Rodriguez","LEO","P",4,0,"4.0","13.50",0,0,0,0,0,5,0,0,21,9,1,6,0,0,0
"599","2021","Adonis Rosa","TAB","P",3,2,"6.0","13.50",0,1,0,0,0,4,5,0,35,13,2,9,0,0,0
"600","2021","Jonas Garibay","YUC","P",8,0,"7.2","14.09",0,0,0,0,0,4,6,0,47,16,1,12,1,0,1
"601","2021","Adam Quintana","MVA","P",7,3,"12.2","14.21",0,2,0,0,0,7,5,0,69,27,2,20,0,0,1
"602","2021","Maikel Cleto","LAG","P",7,0,"5.0","14.40",0,1,0,0,4,4,5,0,26,7,1,8,0,1,1
"603","2021","Hendrick Briones","DUR","P",5,1,"5.1","15.19",0,0,0,0,0,7,2,0,29,11,2,9,0,0,0
"604","2021","Adrian Ramirez","DUR","P",5,0,"4.2","15.43",0,0,0,0,0,6,3,0,28,11,2,8,0,0,0
"605","2021","Marco Ramirez","PUE","P",4,0,"2.1","15.43",0,0,0,0,1,1,2,0,13,5,1,4,0,0,0
"606","2021","Teddy Stankiewicz","TIJ","P",1,1,"2.1","15.43",0,1,0,0,0,4,0,0,13,4,1,4,1,0,1
"607","2021","Daniel Guerrero","AGS","P",4,2,"6.0","16.50",0,1,0,0,0,2,4,0,36,14,3,11,0,0,1
"608","2021","Jose Oyervides","PUE","P",5,3,"10.1","16.55",0,2,0,0,0,13,15,0,65,18,5,19,0,0,1
"609","2021","Martin Buitimea","AGS","P",14,2,"16.1","17.08",0,1,0,0,0,8,11,0,96,32,5,31,5,2,0
"610","2021","Juan Alvarado","PUE","P",3,1,"6.1","18.47",0,1,0,0,0,1,6,0,39,15,2,13,1,2,2
"611","2021","Edwin Salas","AGS","P",3,0,"3.2","19.64",0,0,0,0,0,1,1,0,27,13,2,8,0,0,1
"612","2021","Jesus Valenzuela","MEX","P",4,0,"4.1","20.77",0,0,0,0,0,0,7,0,30,9,2,10,1,0,0
"613","2021","Joseph Camacho","PUE","P",4,0,"3.1","21.60",0,0,0,1,0,2,2,0,19,5,1,8,2,0,1
"614","2021","Jonathan Castellanos","TIG","P",2,2,"3.1","21.60",0,1,0,0,0,0,4,1,22,10,0,8,0,1,1
"615","2021","Oliver Cervantes","LEO","P",2,0,"1.2","21.60",0,0,0,0,0,1,3,0,12,3,2,4,1,0,0
"616","2021","Irving Rodriguez","VER","P",1,0,"1.2","21.60",0,0,0,0,0,1,1,0,11,6,1,4,0,0,0
"617","2021","Trevor Clifton","MVA","P",1,1,"2.0","22.50",0,1,0,0,0,1,2,0,14,7,1,5,0,1,1
"618","2021","Eder Llamas","AGS","P",3,0,"2.2","23.63",0,0,0,0,0,2,1,0,17,8,0,7,0,0,0
"619","2021","Samuel Adames","DUR","P",6,0,"4.1","24.92",0,2,0,0,1,3,4,0,28,12,0,12,0,0,0
"620","2021","Daniel De La Fuente","AGS","P",6,0,"4.2","25.07",0,0,0,0,0,1,8,0,35,12,1,13,1,1,2
"621","2021","Isaac Hernandez","MTY","P",2,0,"2.0","27.00",0,0,0,0,0,2,1,0,13,6,3,6,0,0,0
"622","2021","Fernando Irazoqui","AGS","P",1,0,"0.2","27.00",0,0,0,0,0,0,0,0,4,2,1,2,0,0,0
"623","2021","Refugio Marin","TAB","P",1,0,"0.1","54.00",0,0,0,0,0,0,0,0,3,2,0,2,0,0,0
"624","2021","Mario Morales","LEO","P",1,0,"0.2","54.00",0,0,0,0,0,1,1,0,6,3,2,4,0,0,0
"625","2021","Yoanys Quiala","SLT","P",1,0,"0.1","54.00",0,0,0,0,0,1,0,0,5,3,0,2,0,0,0
"626","2021","Ryan Kussmaul","VER","P",2,0,"0.2","67.50",0,0,0,0,0,0,1,0,10,6,3,5,0,0,0
"627","2021","Juan Rodriguez Savin","PUE","P",1,0,"0.1","81.00",0,1,0,0,1,1,0,0,4,3,0,3,0,0,0
"628","2021","Oscar Armenta","DUR","P",1,0,"0.0","-.--",0,0,0,0,0,0,0,0,3,3,0,3,0,0,0
"629","2021","Ryan Luna","PUE","P",1,0,"0.0","-.--",0,0,0,0,0,0,1,0,6,5,0,5,0,0,1
"630","2021","Alfredo Simon","MVA","P",1,0,"0.0","-.--",0,1,0,0,0,0,0,0,3,3,0,3,0,0,0
"631","2021","George Valenzuela","SLT","P",1,0,"0.0","-.--",0,0,0,0,0,0,4,0,4,0,0,4,0,0,0
"632","2022","Andres Avila","YUC","P",1,0,"1.0","0.00",0,0,0,0,0,1,0,0,5,3,0,0,0,0,0
"633","2022","Emmanuel Barba","LEO","P",1,0,"0.2","0.00",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"634","2022","Brandon Brennan","LAR","P",3,2,"10.0","0.00",2,0,0,0,0,7,2,0,37,4,0,0,0,0,0
"635","2022","Carlos Bustamante","MVA","P",5,0,"4.1","0.00",0,0,0,0,1,3,1,0,17,3,0,0,0,0,1
"636","2022","Daniel Cruz","LEO","P",2,0,"2.0","0.00",0,0,0,0,0,0,1,0,6,0,0,0,0,1,0
"637","2022","Roberto Espinosa","MVA","P",4,0,"4.1","0.00",0,0,0,0,0,3,7,0,21,1,0,0,0,0,2
"638","2022","Adan Favela","DUR","P",1,0,"0.1","0.00",0,0,0,0,0,1,2,0,3,0,0,0,0,0,0
"639","2022","Randy Galvez","SLT","P",1,0,"2.0","0.00",0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
"640","2022","Romario Gil","CAM","P",1,0,"1.0","0.00",0,0,0,0,0,0,1,0,3,0,0,0,0,1,0
"641","2022","Brandon Gutierrez","SLT","P",1,0,"1.0","0.00",0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
"642","2022","Jair Jurrjens","MVA","P",1,0,"3.2","0.00",0,0,1,1,0,2,1,0,12,1,0,0,0,1,0
"643","2022","Jose Palafox","GDL","P",1,0,"0.2","0.00",0,0,0,0,0,0,0,0,2,1,0,0,0,1,2
"644","2022","Sergio Romo","MVA","P",2,0,"2.0","0.00",0,0,0,0,0,1,0,0,8,2,0,0,0,0,0
"645","2022","Edgar Velazquez","SLT","P",2,0,"1.2","0.00",0,0,0,0,0,3,1,0,7,1,0,0,0,0,0
"646","2022","Williams Ramirez","MEX","P",19,0,"26.1","0.68",2,1,1,2,4,44,23,0,111,12,1,2,1,2,1
"647","2022","Wirfin Obispo","MVA","P",30,0,"32.2","0.83",2,2,17,19,0,54,10,0,131,18,1,3,1,1,4
"648","2022","Lester Oliveros","CAM","P",9,0,"9.0","1.00",0,1,5,5,0,8,5,0,34,4,0,1,0,2,0
"649","2022","Roel Ramírez","TIJ","P",16,0,"15.1","1.17",1,0,0,1,4,22,1,0,55,8,1,2,1,0,1
"650","2022","Holden Bernhardt","MVA","P",5,0,"7.1","1.23",0,0,0,0,1,3,1,0,27,5,0,1,0,0,1
"651","2022","Vidal Nuño","TIJ","P",7,0,"6.2","1.35",1,0,0,1,0,6,2,0,28,6,0,1,0,0,0
"652","2022","Roberto Osuna","MEX","P",12,0,"13.1","1.35",2,0,6,6,0,15,2,0,48,6,2,2,0,0,0
"653","2022","Carlos Vega","MVA","P",11,0,"11.1","1.59",1,1,0,1,2,10,6,0,48,7,2,2,0,0,0
"654","2022","Joe Riley","MVA","P",17,0,"20.0","1.80",0,0,1,1,5,12,4,0,79,19,2,4,0,4,0
"655","2022","Ernesto Zaragoza","MVA","P",33,0,"34.2","1.82",4,0,1,4,9,38,19,1,147,24,2,7,5,8,4
"656","2022","Donnie Hart","LAR","P",30,0,"28.2","1.88",1,1,5,6,7,22,9,0,116,25,2,6,1,5,0
"657","2022","Yapson Gomez","VER","P",40,0,"41.1","1.96",3,1,21,22,0,30,8,0,162,33,2,9,2,5,2
"658","2022","Wilking Rodríguez","LAR","P",46,0,"44.2","2.01",6,2,17,19,9,73,13,0,169,27,4,10,0,3,3
"659","2022","Tiago Da Silva","DUR","P",12,12,"39.2","2.04",2,2,0,0,0,25,8,0,162,42,1,9,1,6,1
"660","2022","Ricardo Chapa","LAR","P",13,0,"22.0","2.05",1,0,0,0,1,9,10,0,87,17,3,5,1,8,3
"661","2022","Andrew Case","CAM","P",5,0,"4.1","2.08",1,0,0,2,1,1,1,0,17,4,1,1,0,1,0
"662","2022","Tim Peterson","YUC","P",37,0,"37.1","2.17",2,1,13,14,5,46,9,0,144,23,3,9,0,2,3
"663","2022","Josh Lueke","LAG","P",36,0,"40.2","2.21",0,4,22,23,0,35,14,2,169,30,3,10,6,2,1
"664","2022","Fernando Abad","SLT","P",4,0,"4.0","2.25",2,0,0,1,1,7,1,0,17,4,0,1,0,0,0
"665","2022","Anthony Herrera","TIJ","P",28,0,"31.2","2.27",0,0,1,1,0,30,7,0,121,23,2,8,3,6,0
"666","2022","Jose Luna","AGS","P",41,0,"46.0","2.35",5,1,0,2,9,47,15,0,177,32,4,12,3,5,2
"667","2022","Luis Marquez","VER","P",27,1,"53.0","2.38",9,1,0,0,1,71,15,1,211,37,4,14,2,2,0
"668","2022","Jesus Pirela","TIJ","P",40,0,"33.2","2.41",2,1,0,1,5,33,15,2,142,26,3,9,2,2,2
"669","2022","Alexandro Tovalin","YUC","P",47,0,"48.0","2.44",8,4,0,2,8,52,19,8,199,36,2,13,1,1,4
"670","2022","Alejandro Barraza","LAR","P",29,0,"25.2","2.45",4,0,0,0,3,25,5,0,106,23,2,7,1,1,0
"671","2022","Carlos Vazquez","SLT","P",6,0,"3.2","2.45",0,0,0,1,0,6,4,1,20,5,1,1,1,1,0
"672","2022","Tyler Wilson","YUC","P",42,0,"39.1","2.52",4,1,10,12,4,48,12,0,153,27,3,11,1,4,1
"673","2022","Sam Dyson","TIJ","P",41,0,"40.2","2.66",5,3,0,2,20,45,12,0,169,37,5,12,4,4,3
"674","2022","Jaime Beltran","SLT","P",2,0,"3.1","2.70",0,0,0,0,0,3,2,0,17,5,0,1,0,0,0
"675","2022","Kevin Quackenbush","TIJ","P",11,0,"10.0","2.70",1,0,0,0,2,10,3,0,41,9,1,3,0,1,0
"676","2022","Tomas Solis","PUE","P",29,0,"23.0","2.74",2,0,0,1,4,10,7,1,100,26,3,7,3,4,7
"677","2022","Yohander Méndez","MTY","P",15,15,"74.1","2.78",7,0,0,0,0,61,24,0,308,70,8,23,3,4,2
"678","2022","Bruce Rondón","MEX","P",35,0,"35.1","2.80",1,3,11,15,1,46,24,1,162,31,2,11,2,1,5
"679","2022","Mike Fiers","YUC","P",8,8,"44.1","2.84",3,2,0,0,0,19,7,0,183,47,2,14,1,4,1
"680","2022","Deunte Heath","MVA","P",25,0,"25.1","2.84",3,0,0,1,10,33,11,0,97,13,2,8,2,4,1
"681","2022","Wander Suero","MTY","P",7,0,"6.1","2.84",1,1,0,1,2,8,4,0,26,3,0,2,0,1,0
"682","2022","Neftalí Feliz","MTY","P",41,0,"43.2","2.89",4,2,24,28,0,51,23,1,188,36,2,14,1,3,1
"683","2022","Alberto Leyva","LAG","P",38,0,"36.2","2.95",2,0,0,1,5,34,10,1,149,34,3,12,2,2,4
"684","2022","Mario Jimenez","TAB","P",31,0,"27.1","2.96",0,0,0,1,6,15,9,2,115,24,5,9,1,4,1
"685","2022","Julio Teheran","MTY","P",13,13,"66.1","2.98",5,3,0,0,0,70,13,0,277,64,8,22,4,7,1
"686","2022","Victor Garcia","TIG","P",1,1,"3.0","3.00",0,0,0,0,0,2,1,0,12,1,0,1,0,0,3
"687","2022","Fernando Rodney","TIJ","P",39,0,"39.0","3.00",6,1,22,26,0,50,21,2,165,32,4,13,1,7,3
"688","2022","Michael Ynoa","GDL","P",25,0,"24.0","3.00",2,2,0,1,4,28,11,2,105,22,4,8,0,3,2
"689","2022","Yoennis Yera","TAB","P",17,17,"86.2","3.01",8,2,0,0,0,88,34,0,372,82,7,29,4,6,6
"690","2022","Nestor Molina","AGS","P",5,5,"26.2","3.04",3,2,0,0,0,14,7,1,114,24,3,9,2,1,3
"691","2022","Brennan Bernardino","TIJ","P",9,9,"44.0","3.07",5,0,0,0,0,49,16,1,190,43,5,15,6,3,0
"692","2022","Vicente Campos","PUE","P",12,0,"11.2","3.09",0,1,4,5,0,11,4,0,47,10,2,4,0,2,0
"693","2022","Carlos Morales","MTY","P",43,0,"40.2","3.10",6,1,0,1,16,36,16,0,160,26,2,14,2,2,3
"694","2022","Yoimer Camacho","PUE","P",35,1,"46.0","3.13",6,2,9,13,3,41,17,3,192,44,5,16,1,5,2
"695","2022","Alejandro Soto","VER","P",27,0,"25.1","3.20",4,2,0,4,7,24,9,1,108,25,3,9,1,1,2
"696","2022","Samuel Alvarado","PUE","P",34,1,"33.2","3.21",3,3,0,2,5,39,16,2,143,26,3,12,3,3,2
"697","2022","Javy Guerra","TIJ","P",31,0,"28.0","3.21",2,2,0,3,5,31,15,0,116,19,3,10,1,2,2
"698","2022","Nicolas Heredia","VER","P",10,5,"22.1","3.22",0,4,0,0,0,15,12,0,97,18,2,8,2,2,2
"699","2022","Arturo Barradas","VER","P",36,0,"29.1","3.38",1,1,0,1,5,15,6,0,123,34,4,11,1,8,1
"700","2022","Jeff Ibarra","LAG","P",22,0,"16.0","3.38",2,0,0,1,4,12,6,2,72,18,1,6,2,2,1
"701","2022","Juan Macias","TAB","P",16,0,"21.1","3.38",0,2,0,0,1,13,14,1,99,25,0,8,2,4,0
"702","2022","Oliver Pérez","TIJ","P",32,0,"29.1","3.38",3,1,1,3,5,35,7,0,122,25,3,11,2,2,2
"703","2022","Kenneth Sigman","SLT","P",33,0,"31.0","3.48",5,1,1,3,7,23,13,2,141,32,1,12,3,1,2
"704","2022","Erick Leal","AGS","P",17,17,"90.0","3.50",7,6,0,0,0,100,31,0,384,86,9,35,6,11,6
"705","2022","Derrick Loop","TAB","P",43,0,"41.0","3.51",6,1,0,5,22,35,11,2,177,46,4,16,4,6,3
"706","2022","Nathanael Santiago","MVA","P",8,0,"7.2","3.52",0,0,0,0,1,11,4,0,31,4,0,3,2,1,2
"707","2022","José Torres","LAR","P",38,0,"40.2","3.54",2,2,11,16,5,47,14,0,185,45,5,16,6,3,3
