"","Year","Name","Team","POS","GP","GS","IP","ERA","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","HBP","GIDP","WP"
"43","2019","Andres Avila","YUC","P",59,0,"56.0","3.38",3,1,3,5,12,49,16,1,226,48,5,21,1,5,3
"44","2019","Anthony Carter","AGS","P",51,0,"61.1","3.38",12,5,14,20,0,58,27,5,266,57,9,23,3,9,2
"45","2019","Gabriel Arias","PUE","P",19,11,"66.0","3.41",3,3,0,1,2,44,18,0,279,70,7,25,3,9,5
"46","2019","Adam Quintana","MVA","P",40,11,"84.2","3.51",8,4,1,1,4,76,40,0,359,77,7,33,2,7,8
"47","2019","Jesus Pirela","TIJ","P",71,0,"64.0","3.52",4,3,0,3,30,66,16,3,258,54,6,25,4,6,6
"48","2019","Juan Gámez","MTY","P",46,0,"46.0","3.52",2,1,0,0,9,31,24,0,196,38,1,18,4,10,10
"49","2019","Mario Meza","SLT","P",61,0,"58.2","3.53",6,2,6,8,16,82,24,4,259,59,4,23,2,5,4
"50","2019","Gerardo Sanchez","TIJ","P",62,0,"56.0","3.54",4,2,0,0,15,54,13,1,232,54,6,22,4,7,2
"51","2019","Manny Parra","YUC","P",23,1,"27.0","3.67",0,2,0,0,5,23,9,2,117,26,0,11,0,1,7
"52","2019","Scott Harkin","PUE","P",17,14,"83.1","3.67",4,0,0,0,0,69,22,3,350,90,9,34,1,7,6
"53","2019","Joshua Corrales","TIG","P",49,1,"51.1","3.68",4,3,4,8,6,58,18,4,218,45,4,21,3,4,6
"54","2019","Jose Martinez","SLT","P",9,0,"9.2","3.72",0,0,0,0,0,9,5,0,40,8,1,4,0,1,2
"55","2019","Ruddy Acosta","OAX","P",12,12,"62.1","3.75",3,4,0,0,0,41,21,0,280,78,10,26,2,8,2
"56","2019","Roman Mendez","LAR","P",59,0,"62.1","3.75",1,7,32,34,3,65,34,5,275,55,7,26,1,3,6
"57","2019","Felipe Arredondo","TIG","P",43,2,"64.0","3.80",4,3,0,1,3,49,23,5,266,60,8,27,2,6,4
"58","2019","Daniel Cruz","MTY","P",19,0,"23.2","3.80",0,0,0,1,1,24,8,0,101,22,3,10,1,1,3
"59","2019","Francisco Haro","CAM","P",76,0,"70.2","3.82",5,3,0,1,12,54,18,3,298,69,8,30,9,7,2
"60","2019","Juan Pablo Oramas","TAB","P",23,23,"140.1","3.85",6,10,0,0,0,145,52,6,603,146,11,60,1,6,3
"61","2019","Manny Acosta","LEO","P",43,0,"44.1","3.86",3,3,17,19,0,52,26,1,197,37,1,19,3,1,4
"62","2019","Juan Alvarado","PUE","P",1,0,"2.1","3.86",0,0,0,0,0,0,2,0,12,3,0,1,0,0,0
"63","2019","Jumbo Díaz","TIJ","P",58,0,"56.0","3.86",2,6,7,11,14,66,20,3,232,46,4,24,3,6,7
"64","2019","Miguel Socolovich","OAX","P",40,0,"42.0","3.86",0,3,23,27,0,37,10,2,177,47,4,18,1,5,3
"65","2019","Josh Lowey","MVA","P",9,9,"53.0","3.91",8,0,0,0,0,55,14,0,216,48,5,23,0,2,2
"66","2019","Carlos Hernandez","TIJ","P",18,17,"73.0","3.95",6,3,0,0,0,66,17,0,325,89,3,32,5,11,2
"67","2019","Devin Raftery","MVA","P",19,0,"20.1","3.98",1,0,0,0,3,23,5,0,82,20,2,9,0,2,1
"68","2019","Roman Pena","LAG","RF",70,0,"44.2","4.03",3,2,0,1,11,29,15,1,194,50,4,20,2,6,6
"69","2019","Jose Samayoa","YUC","P",22,22,"115.2","4.05",9,5,0,0,0,109,33,0,494,118,11,52,7,12,9
"70","2019","Erick Casillas","OAX","P",55,0,"44.1","4.06",7,1,1,4,13,42,13,1,183,42,6,20,1,3,4
"71","2019","Lisalverto Bonilla","TIG","P",4,2,"11.0","4.09",0,0,0,1,1,9,7,1,50,10,1,5,1,2,2
"72","2019","Gabriel Garcia","TIJ","P",11,11,"55.0","4.09",4,3,0,0,0,52,17,1,238,59,8,25,1,5,1
"73","2019","Rodolfo Aguirre","PUE","P",11,0,"15.1","4.11",0,0,0,0,0,15,4,1,62,13,3,7,0,1,4
"74","2019","Francisco Rios","MEX","P",21,1,"34.1","4.19",2,1,0,0,1,25,16,0,149,32,4,16,2,2,1
"75","2019","Wilfredo Boscan","TIG","P",20,20,"108.2","4.22",9,4,0,0,0,67,26,1,456,107,6,51,11,12,1
"76","2019","Thomas Melgarejo","MTY","P",40,0,"35.2","4.29",3,0,0,2,6,32,11,0,154,34,1,17,5,3,4
"77","2019","Francisco Rodríguez","MVA","P",10,0,"8.1","4.32",0,0,0,0,6,9,4,1,38,7,2,4,2,0,1
"78","2019","Nick Struck","MTY","P",37,0,"37.1","4.34",6,1,1,5,14,29,15,2,170,44,2,18,4,3,3
"79","2019","César Vargas","MTY","P",32,18,"114.0","4.34",8,6,0,1,0,92,27,0,488,137,9,55,1,16,11
"80","2019","Eddie Gamboa","MTY","P",9,0,"12.1","4.38",1,0,0,0,0,6,2,0,53,17,3,6,0,1,2
"81","2019","Manny Barreda","TIJ","P",23,21,"104.1","4.40",8,3,0,0,0,95,42,0,462,116,19,51,4,4,2
"82","2019","Ernesto Zaragoza","AGS","P",14,8,"47.0","4.40",5,3,0,1,0,33,23,0,221,58,4,23,6,6,2
"83","2019","Jesus Juarez","AGS","P",14,1,"16.1","4.41",1,0,0,0,0,11,6,1,71,16,2,8,0,2,1
"84","2019","Jovany Lopez","CAM","P",26,0,"16.1","4.41",2,0,0,0,2,14,5,1,62,10,2,8,1,2,2
"85","2019","Dennis O'Grady","TAB","P",13,13,"65.1","4.41",2,4,0,0,0,58,24,1,297,77,4,32,2,1,2
"86","2019","Arcenio Leon","CAM","P",18,0,"18.1","4.42",1,1,7,10,1,19,6,0,78,18,2,9,0,3,0
"87","2019","Conor Harber","MVA","P",9,9,"46.2","4.44",2,2,0,0,0,36,15,0,206,56,5,23,4,7,8
"88","2019","Demetrio Gutierrez","SLT","P",49,1,"48.2","4.44",2,2,1,2,7,42,15,4,216,63,5,24,1,6,4
"89","2019","Nestor Anguamea","LAG","P",5,0,"6.0","4.50",1,0,0,0,0,4,2,0,25,6,1,3,0,1,1
"90","2019","Jairo Asencio","SLT","P",5,0,"4.0","4.50",0,1,0,0,0,2,2,0,22,6,1,2,1,0,0
"91","2019","Michael Bowden","PUE","P",2,2,"6.0","4.50",0,0,0,0,0,4,2,0,26,6,2,3,0,0,0
"92","2019","Ranfi Casimiro","PUE","P",16,0,"16.0","4.50",1,3,0,2,7,7,8,2,73,16,2,8,0,0,2
"93","2019","Jesus Estrada","OAX","P",4,1,"8.0","4.50",1,1,0,0,0,5,1,0,35,11,1,4,0,1,0
"94","2019","Juan Gonzalez","TIG","P",4,0,"4.0","4.50",0,0,0,0,0,3,1,0,17,5,1,2,0,0,0
