"","Season","Name","Team","POS","GP","AB","PA","H","RBI","SB","2B","3B","HR","R","TB","HBP","K","BB","IBB","AVG","OBP","SLG","OPS"
"377","2024","Manuel Melendez","VER","X",7,6,6,1,0,0,0,0,0,0,1,0,2,0,0,".167",".167",".167",".334"
"378","2024","Jorge Morales","SLT","C",5,6,7,1,1,0,0,0,0,1,1,1,2,0,0,".167",".286",".167",".453"
"379","2024","Alonzo Harris","LAR","X",63,67,81,11,7,5,2,0,1,17,16,0,16,12,0,".164",".288",".239",".527"
"380","2024","Carlos Villegas","CAM","3B",26,67,75,11,7,2,0,0,0,6,11,4,17,3,0,".164",".240",".164",".404"
"381","2024","Francisco Cordoba","MEX","C",14,31,37,5,5,0,1,0,2,7,12,2,9,4,0,".161",".297",".387",".684"
"382","2024","Courtney Hawkins","PUE","DH",7,25,28,4,1,0,1,0,0,3,5,0,13,3,1,".160",".250",".200",".450"
"383","2024","Mario Feliciano","PUE","C",30,63,72,10,5,1,2,0,1,3,15,3,20,4,0,".159",".243",".238",".481"
"384","2024","Noah Perio","TIG","1B",10,38,38,6,2,1,1,0,0,3,7,0,8,0,0,".158",".158",".184",".342"
"385","2024","Khalil Lee","CHI","CF",3,13,15,2,0,0,1,0,0,2,3,0,1,2,0,".154",".267",".231",".498"
"386","2024","Jose Luna","VER","LF",12,13,17,2,0,0,0,0,0,4,2,1,7,3,0,".154",".353",".154",".507"
"387","2024","Ronny Rodríguez","CAM","2B",15,46,50,7,3,0,2,0,1,4,12,1,15,3,0,".152",".220",".261",".481"
"388","2024","Max Murphy","SLT","RF",5,20,23,3,5,0,1,0,0,2,4,0,5,3,0,".150",".261",".200",".461"
"389","2024","Yeison Coca","YUC","X",45,90,96,13,5,3,1,1,1,5,19,0,28,2,0,".144",".163",".211",".374"
"390","2024","Lewis Brinson","AGS","RF",16,28,34,4,4,0,2,0,0,3,6,0,13,6,0,".143",".294",".214",".508"
"391","2024","Isboseth Morales","CAM","CF",7,7,7,1,0,0,0,0,0,1,1,0,2,0,0,".143",".143",".143",".286"
"392","2024","Channy Ortiz","CHI","2B",4,7,9,1,0,0,0,0,0,1,1,0,2,2,0,".143",".333",".143",".476"
"393","2024","Omar Renteria","MTY","C",36,49,60,7,2,0,2,0,0,8,9,0,19,8,0,".143",".263",".184",".447"
"394","2024","Dillon Thomas","OAX","CF",2,7,8,1,0,0,0,0,0,2,1,0,5,1,0,".143",".250",".143",".393"
"395","2024","Alejandro Urias","DUR","C",23,28,31,4,0,0,2,1,0,6,8,1,7,1,0,".143",".200",".286",".486"
"396","2024","Emiliano Valencia","TAB","X",14,7,9,1,0,0,0,0,0,3,1,0,0,2,0,".143",".333",".143",".476"
"397","2024","Hansen Lopez","CHI","C",19,36,42,5,3,0,2,0,0,4,7,1,18,5,0,".139",".262",".194",".456"
"398","2024","German Revilla","TIG","C",16,29,31,4,3,0,1,0,0,4,5,1,12,1,0,".138",".194",".172",".366"
"399","2024","Luis García","DUR","SS",17,45,50,6,2,1,0,0,0,2,6,0,15,4,0,".133",".204",".133",".337"
"400","2024","David Washington","SLT","LF",4,15,16,2,1,0,0,0,0,2,2,0,11,1,1,".133",".188",".133",".321"
"401","2024","Javier Sanchez","DUR","X",18,23,27,3,1,0,2,0,0,1,5,0,9,3,0,".130",".231",".217",".448"
"402","2024","Jose Sermo","DUR","1B",8,31,34,4,4,0,1,0,2,4,11,1,11,2,0,".129",".206",".355",".561"
"403","2024","Maikol Perez","TIG","RF",6,16,16,2,2,0,1,0,0,0,3,0,7,0,0,".125",".125",".188",".313"
"404","2024","Fernando Villalobos","MEX","DH",10,8,9,1,2,0,0,0,1,3,4,0,4,1,0,".125",".222",".500",".722"
"405","2024","Jose Orrantia","JAL","3B",22,25,29,3,1,0,0,0,0,1,3,0,12,4,0,".120",".241",".120",".361"
"406","2024","Marcus Chiu","TIG","LF",4,9,12,1,0,1,0,0,0,0,1,0,5,2,0,".111",".273",".111",".384"
"407","2024","Jesus Fabela","MEX","LF",5,9,10,1,0,0,1,0,0,1,2,0,3,1,0,".111",".200",".222",".422"
"408","2024","Carlos Pacheco","CHI","X",22,27,28,3,0,1,0,1,0,2,5,0,13,1,0,".111",".143",".185",".328"
"409","2024","Jorge Rivera","TIG","SS",19,30,31,3,1,1,0,0,0,0,3,0,9,1,0,".100",".129",".100",".229"
"410","2024","Alan Lopez","LEO","X",16,15,17,1,0,0,0,0,0,4,1,0,7,2,0,".067",".176",".067",".243"
"411","2024","Shane Skelly","TIG","3B",17,32,34,2,0,0,0,0,0,0,2,0,24,2,0,".063",".118",".063",".181"
"412","2024","Al Alburquerque","TAB","P",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"413","2024","Luis Amador","TIJ","X",4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,".000",".000",".000",".000"
"414","2024","Kevin Armenta","SLT","2B",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"415","2024","Eduardo Arredono Jr.","CAM","2B",4,7,7,0,0,0,0,0,0,1,0,0,2,0,0,".000",".000",".000",".000"
"416","2024","Jacob Barfield","TAB","X",3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,".000",".000",".000",".000"
"417","2024","Omar Bustamante","MVA","C",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"418","2024","Gerardo Castaneda","PUE","C",4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"419","2024","Braulio Cavero","MVA","X",10,9,10,0,0,0,0,0,0,1,0,0,5,1,0,".000",".100",".000",".100"
"420","2024","Ivan Chavez","VER","X",22,9,9,0,0,0,0,0,0,2,0,0,4,0,0,".000",".000",".000",".000"
"421","2024","Bryan Corral","MVA","X",16,5,5,0,0,0,0,0,0,3,0,0,1,0,0,".000",".000",".000",".000"
"422","2024","Aldo Flores","AGS","3B",4,3,3,0,0,0,0,0,0,2,0,0,1,0,0,".000",".000",".000",".000"
"423","2024","Carlos Garcia","OAX","X",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"424","2024","Carlos Alberto Gastelum","TIG","2B",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,".000","1.000",".000","1.000"
"425","2024","Junior Guerra","LAR","P",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"426","2024","Gael Guzman","LAG","X",11,10,11,0,0,0,0,0,0,1,0,0,3,1,0,".000",".091",".000",".091"
"427","2024","Donnie Hart","LAR","P",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"428","2024","Arnaldo Hernandez","LAR","P",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"429","2024","Josuan Hernandez","TIG","3B",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,".000",".000",".000",".000"
"430","2024","Jesus Higuera","CAM","DH",4,6,6,0,0,0,0,0,0,0,0,0,3,0,0,".000",".000",".000",".000"
"431","2024","Shed Long Jr.","TAB","2B",3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,".000",".000",".000",".000"
"432","2024","Elmer Lopez","DUR","CF",8,7,7,0,0,0,0,0,0,0,0,0,4,0,0,".000",".000",".000",".000"
"433","2024","Ivan Lozano","VER","X",5,2,2,0,0,0,0,0,0,0,0,0,2,0,0,".000",".000",".000",".000"
"434","2024","Eduardo Luna","LAR","C",5,2,3,0,0,0,0,0,0,0,0,1,2,0,0,".000",".333",".000",".333"
"435","2024","Christian Morales","SLT","X",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,".000",".000",".000",".000"
"436","2024","Ivan Morales","LEO","C",7,7,8,0,0,0,0,0,0,1,0,0,3,1,0,".000",".125",".000",".125"
"437","2024","Leonardo Ortiz","MEX","C",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,".000",".000",".000",".000"
"438","2024","Francisco Perez","MVA","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"439","2024","Gersel Pitre","PUE","X",4,6,6,0,0,0,0,0,0,0,0,0,1,0,0,".000",".000",".000",".000"
"440","2024","Victor Rodriguez","LAG","2B",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"441","2024","Gustavo Ruiz","JAL","C",5,7,7,0,0,0,0,0,0,0,0,0,2,0,0,".000",".000",".000",".000"
"442","2024","Axel Santos","AGS","X",5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,".000",".000",".000",".000"
"443","2024","Darnell Sweeney","PUE","X",5,2,2,0,0,1,0,0,0,2,0,0,2,0,0,".000",".000",".000",".000"
"444","2024","Curtis Taylor","LAG","P",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"445","2024","Marcos Valenzuela","LAR","X",6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"446","2024","Juan Vazquez","JAL","X",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"447","2024","Jose Verdugo","MEX","X",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,".000",".000",".000",".000"
"448","2024","Cam Vieaux","LAR","P",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"449","2024","Edwin Villavicencio","MEX","C",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000"
"450","2024","Yandy Yanes","TIG","SS",1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,".000",".000",".000",".000"
