"","Year","Team","GP","CS","SB","CS%","PB","PK","TC","RF/G","RF/9","TE","CI"
"62","2023","Diablos Rojos del Mexico",88,36,47,43.3734939759036,5,1,3434,"38.16","4.27",37,1
"63","2023","Pericos de Puebla",87,30,35,46.1538461538462,5,2,3165,"35.55","4.16",39,0
"64","2023","Bravos de Leon",90,36,70,33.9622641509434,10,1,3460,"37.57","4.27",33,0
"65","2023","Olmecas de Tabasco",83,35,45,43.75,5,4,3045,"35.80","4.14",32,0
"66","2023","Algodoneros Union Laguna",89,19,73,20.6521739130435,5,2,3345,"36.66","4.12",39,0
"67","2023","Saraperos de Saltillo",89,27,71,27.5510204081633,3,0,3359,"36.81","4.15",36,0
"68","2023","Piratas de Campeche",88,27,85,24.1071428571429,6,2,3058,"33.89","4.01",39,0
"69","2023","Tigres de Quintana Roo",90,42,59,41.5841584158416,9,0,3357,"36.34","4.12",39,1
"70","2023","Generales de Durango",86,39,58,40.2061855670103,2,4,3260,"36.65","4.23",54,1
"71","2024","Olmecas de Tabasco",93,35,65,35,5,0,3290,"34.78","4.04",34,3
"72","2024","Pericos de Puebla",89,27,38,41.5384615384615,3,2,3181,"35.13","4.17",24,0
"73","2024","Diablos Rojos del Mexico",90,23,49,31.9444444444444,5,2,3405,"37.18","4.18",27,0
"74","2024","Saraperos de Saltillo",92,24,97,19.8347107438017,10,3,3466,"37.01","4.21",32,0
"75","2024","Algodoneros Union Laguna",91,21,69,23.3333333333333,1,0,3272,"35.31","4.06",30,0
"76","2024","Sultanes de Monterrey",90,34,48,41.4634146341463,3,1,3411,"37.19","4.24",34,0
"77","2024","Tecos de los Dos Laredos",93,27,79,25.4716981132075,4,5,3381,"35.67","4.08",27,0
"78","2024","Guerreros de Oaxaca",90,34,56,37.7777777777778,5,2,3376,"36.72","4.17",33,0
"79","2024","Acereros del Norte",91,38,45,45.7831325301205,5,0,3430,"36.87","4.18",37,1
"80","2024","Toros de Tijuana",92,19,83,18.6274509803922,6,0,3375,"35.88","4.04",36,0
"81","2024","Tigres de Quintana Roo",89,38,53,41.7582417582418,5,0,3155,"34.66","4.02",41,0
"82","2024","Dorados de Chihuahua",93,27,54,33.3333333333333,8,0,3402,"35.76","4.11",32,0
"83","2024","El Aguila de Veracruz",90,16,42,27.5862068965517,9,1,3309,"35.93","4.10",38,0
"84","2024","Charros de Jalisco",92,32,65,32.9896907216495,4,0,3359,"35.67","4.16",39,1
"85","2024","Rieleros de Aguascalientes",91,51,52,49.5145631067961,14,4,3338,"35.82","4.17",35,1
"86","2024","Leones de Yucatan",86,17,54,23.943661971831,3,1,3164,"35.93","4.12",34,0
"87","2024","Piratas de Campeche",87,22,75,22.680412371134,6,0,3011,"33.78","4.04",41,0
"88","2024","Bravos de Leon",90,17,78,17.8947368421053,11,1,3292,"35.64","4.13",40,0
"89","2024","Conspiradores de Queretaro",89,26,54,32.5,4,2,3245,"35.45","4.15",44,1
"90","2024","Caliente de Durango",92,31,76,28.9719626168224,10,1,3402,"35.79","4.12",54,0
